Enrichment analysis report,,,,,,,,,
Enrichment by Pathway Maps,,,,,up_genes_070120_genelist,,,,
#,Maps,Total,pValue,Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",
148,Cytoskeleton remodeling_Keratin filaments,36,8.222E-02,5.958E-01,8.222E-02,5.958E-01,3,"Keratin 1, Tubulin alpha, Keratin 2",
149,Beta-catenin-dependent transcription regulation in colorectal cancer,36,8.222E-02,5.958E-01,8.222E-02,5.958E-01,3,"Mucin 2, NRCAM, YAP1 (YAp65)",
150,Development_Beta adrenergic receptors in brown adipocyte differentiation,36,8.222E-02,5.958E-01,8.222E-02,5.958E-01,3,"A-FABP, p38 MAPK, Adenylate cyclase",
151,Role of IL-8 in melanoma,36,8.222E-02,5.958E-01,8.222E-02,5.958E-01,3,"IL8RA, p38 MAPK, IL8RB",
152,Immune response_IL-12-induced IFN-gamma production,36,8.222E-02,5.958E-01,8.222E-02,5.958E-01,3,"STAT3, p38alpha (MAPK14), GADD45 gamma",
153,Signal transduction_Leptin signaling in non-neuronal cells,58,8.305E-02,5.958E-01,8.305E-02,5.958E-01,4,"STAT3, SUR1, Kir6.2, Bcl-2",
154,Involvement of VEGF signaling in the progression of lung cancer,17,8.318E-02,5.958E-01,8.318E-02,5.958E-01,2,"p38 MAPK, C/EBPalpha",
155,Cholehepatic circulation of bile acids / Rodent version,37,8.768E-02,6.082E-01,8.768E-02,6.082E-01,3,"ABCC11, OATP-C, OATP-A",
156,IL-6 signaling in colorectal cancer,37,8.768E-02,6.082E-01,8.768E-02,6.082E-01,3,"STAT3, TFF3, Clusterin",
157,Immune response_IL-7 signaling in T lymphocytes,37,8.768E-02,6.082E-01,8.768E-02,6.082E-01,3,"STAT3, TCR gamma locus, Bcl-2",
158,Development_Delta-type opioid receptor mediated cardioprotection,37,8.768E-02,6.082E-01,8.768E-02,6.082E-01,3,"STAT3, Kir6.1, Kir6.2",
159,Apoptosis and survival_Anti-apoptotic action of nuclear ESR1 and ESR2,37,8.768E-02,6.082E-01,8.768E-02,6.082E-01,3,"p38alpha (MAPK14), ESR1 (nuclear), Bcl-2",
160,Pro-oncogenic action of Estradiol/ Estrogen receptors in ovarian cancer,60,9.143E-02,6.161E-01,9.143E-02,6.161E-01,4,"STAT3, ESR1 (membrane), ESR1 (nuclear), TFF1",
161,FGF2 in multiple myeloma,18,9.188E-02,6.161E-01,9.188E-02,6.161E-01,2,"FGFR4, FGFR1",
162,Signal transduction_Cyclic AMP signaling,38,9.328E-02,6.161E-01,9.328E-02,6.161E-01,3,"Adenylate cyclase type IV, Adenylate cyclase type V, Adenylate cyclase type II",
163,Defective efferocytosis in COPD,38,9.328E-02,6.161E-01,9.328E-02,6.161E-01,3,"SP-A, SP-D, ELMO1",
164,Neutrophil chemotaxis in asthma,38,9.328E-02,6.161E-01,9.328E-02,6.161E-01,3,"IL8RA, Tissue kallikreins, IL8RB",
165,Impaired macrophage phagocytic function in asthma,38,9.328E-02,6.161E-01,9.328E-02,6.161E-01,3,"GSTM1, SP-A, SP-D",
166,Eosinophil-derived cytokines in airway remodeling in asthma,38,9.328E-02,6.161E-01,9.328E-02,6.161E-01,3,"Amphiregulin, MMP-17, p38 MAPK",
167,"Dysregulation of Adiponectin secretion from adipocytes in obesity, type 2 diabetes and metabolic syndrome X",38,9.328E-02,6.161E-01,9.328E-02,6.161E-01,3,"AP-2B, Adiponectin, C/EBPalpha",
168,"Immune response_Th17, Th22 and Th9 cell differentiation ",39,9.902E-02,6.283E-01,9.902E-02,6.283E-01,3,"STAT3, GATA-3, MHC class II",
169,Transport_Regulation of ATP-binding transporters by Retinoic acid and orphan nuclear receptor PXR,39,9.902E-02,6.283E-01,9.902E-02,6.283E-01,3,"OATP-C, ABCG1, PXR",
170,Signal transduction_Leptin signaling via JAK/STAT and MAPK cascade,39,9.902E-02,6.283E-01,9.902E-02,6.283E-01,3,"STAT3, Thyroliberin, CART",
171,PXR-mediated direct regulation of xenobiotic metabolizing enzymes / Rodent version,39,9.902E-02,6.283E-01,9.902E-02,6.283E-01,3,"OATP-A, S14 protein, PXR",
172,Regulation of CFTR activity (normal and CF),62,1.002E-01,6.283E-01,1.002E-01,6.283E-01,4,"PDZK1, EBP50, PP2A regulatory, Adenylate cyclase",
173,Role of IL-8 in colorectal cancer,19,1.008E-01,6.283E-01,1.008E-01,6.283E-01,2,"IL8RA, IL8RB",
174,Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 2 activity in muscle,19,1.008E-01,6.283E-01,1.008E-01,6.283E-01,2,"MYOG, MYOD",
175,Brca1 and Brca2 in breast cancer,19,1.008E-01,6.283E-01,1.008E-01,6.283E-01,2,"ESR1 (membrane), ESR1 (nuclear)",
176,Development_Schema: Adult neurogenesis in the Subventricular Zone,19,1.008E-01,6.283E-01,1.008E-01,6.283E-01,2,"TY3H, Doublecortin",
177,Ethanol/Acetaldehyde-dependent stimulation of MMP-9 expression in HCC,19,1.008E-01,6.283E-01,1.008E-01,6.283E-01,2,"p38 MAPK, ADH7",
178,Neurophysiological process_Glucose-excited neurons of arcuate nucleus (rodent model),40,1.049E-01,6.323E-01,1.049E-01,6.323E-01,3,"SUR1, Kir6.2, CART",
179,Transcription_Role of heterochromatin protein 1 (HP1) family in transcriptional silencing,40,1.049E-01,6.323E-01,1.049E-01,6.323E-01,3,"Rb protein, MYOG, MYOD",
180,Reproduction_Progesterone-mediated oocyte maturation,40,1.049E-01,6.323E-01,1.049E-01,6.323E-01,3,"ESR1 (membrane), Adenylate cyclase, PR (membrane)",
181,IFN-gamma and Th2 cytokines-induced inflammatory signaling in normal and asthmatic airway epithelium,40,1.049E-01,6.323E-01,1.049E-01,6.323E-01,3,"IL13RA2, CCL17, p38 MAPK",
182,Enterohepatic circulation of bile acids / Rodent version,40,1.049E-01,6.323E-01,1.049E-01,6.323E-01,3,"ABCC11, OATP-C, OATP-A",
183,IL-6 signaling in Prostate Cancer,40,1.049E-01,6.323E-01,1.049E-01,6.323E-01,3,"STAT3, Androgen receptor, Kallikrein 3 (PSA)",
184,Mechanism of Maraviroc action in HIV Infections,4,1.093E-01,6.405E-01,1.093E-01,6.405E-01,1,CCR5,
185,MAPK-independent proliferation of normal and asthmatic smooth muscle cells,64,1.093E-01,6.405E-01,1.093E-01,6.405E-01,4,"STAT3, Rb protein, Tryptase, FGFR1",
186,Role of Langerin+ dermal dendritic cells in contact hypersensitivity,20,1.100E-01,6.405E-01,1.100E-01,6.405E-01,2,"STAT3, FLT3",
187,Neurophysiological process_Olfactory transduction,20,1.100E-01,6.405E-01,1.100E-01,6.405E-01,2,"ANO2, Olfactory receptor",
188,PR action in breast cancer: stimulation of metastasis,20,1.100E-01,6.405E-01,1.100E-01,6.405E-01,2,"PR (membrane), PR (nuclear)",
189,Development_TGF-beta-induction of EMT via ROS,20,1.100E-01,6.405E-01,1.100E-01,6.405E-01,2,"p38alpha (MAPK14), p38 MAPK",
190,Regulation of metabolism_Bile acids regulation of glucose and lipid metabolism via FXR,41,1.109E-01,6.405E-01,1.109E-01,6.405E-01,3,"HNF3-alpha, HNF3, F16P",
191,Stem cells_Inhibition of Hedgehog signaling in medulloblastoma stem cells,41,1.109E-01,6.405E-01,1.109E-01,6.405E-01,3,"FGF4, FGFR4, FGFR1",
192,Transcription_FXR-regulated cholesterol and bile acids cellular transport,42,1.171E-01,6.551E-01,1.171E-01,6.551E-01,3,"ABCG8, LRH1, PXR",
193,Inhibition of GTPase prenylation by statins in asthma and COPD,42,1.171E-01,6.551E-01,1.171E-01,6.551E-01,3,"RhoB, p38 MAPK, Mucin 5AC",
194,Transcription targets of Androgen receptor involved in Prostate Cancer,42,1.171E-01,6.551E-01,1.171E-01,6.551E-01,3,"Androgen receptor, Kallikrein 3 (PSA), Clusterin",
195,Development_TGF-beta family mediated differentiation of embryonic stem cells,42,1.171E-01,6.551E-01,1.171E-01,6.551E-01,3,"SOX2, Transthyretin, SOX3",
196,Stromal-epithelial interaction in Prostate Cancer,42,1.171E-01,6.551E-01,1.171E-01,6.551E-01,3,"Androgen receptor, FGF10, FGFR1",
197,CFTR-dependent regulation of ion channels in CF,42,1.171E-01,6.551E-01,1.171E-01,6.551E-01,3,"EBP50, YAP1 (YAp65), CLCA2",
198,Development_Schema: Osteogenic and adipogenic differentiation of mesenchymal stem cells,21,1.194E-01,6.551E-01,1.194E-01,6.551E-01,2,"Rb protein, BMP7",
199,HCV-dependent transcription regulation leading to HCC,21,1.194E-01,6.551E-01,1.194E-01,6.551E-01,2,"STAT3, Rb protein",
200,Development_Generation of pancreatic beta-cells from embryonic stem cells (early stages),21,1.194E-01,6.551E-01,1.194E-01,6.551E-01,2,"SOX2, FGF10",
201,Development_Role of G-CSF in hematopoietic stem cell mobilization,21,1.194E-01,6.551E-01,1.194E-01,6.551E-01,2,"STAT3, G-CSF",
202,Prostaglandins and leukotrienes-mediated induction of expression of mucins in normal and asthmatic epithelium ,43,1.233E-01,6.564E-01,1.233E-01,6.564E-01,3,"Mucin 2, Mucin 5AC, Adenylate cyclase",
203,HGF receptor (Met) and MSP receptor (RON) signaling pathways in SCLC,43,1.233E-01,6.564E-01,1.233E-01,6.564E-01,3,"STAT3, p38alpha (MAPK14), Rb protein",
204,"Chemotaxis_CCL16-, CCL20-, CXCL16- and CCL25-mediated cell migration",43,1.233E-01,6.564E-01,1.233E-01,6.564E-01,3,"CCR5, CCR8, MLCK",
205,"NF-kB-, AP-1- and MAPKs-mediated proinflammatory cytokine production by eosinophils in asthma",43,1.233E-01,6.564E-01,1.233E-01,6.564E-01,3,"CCL17, Tryptase, p38 MAPK",
206,Immune response_IL-11 signaling pathway via MEK/ERK and PI3K/AKT cascades,67,1.237E-01,6.564E-01,1.237E-01,6.564E-01,4,"Rb protein, SFK, Bone sialoprotein, YAP1 (YAp65)",
207,"Role of microRNAs in cell migration, survival and angiogenesis in colorectal cancer",67,1.237E-01,6.564E-01,1.237E-01,6.564E-01,4,"RhoB, PDCD4, Bcl-2, Clusterin",
208,Development_Dopamine-induced expression of CNTF in adult neurogenesis,22,1.289E-01,6.564E-01,1.289E-01,6.564E-01,2,"STAT3, Adenylate cyclase type V",
209,Amitraz-induced inhibition of Insulin secretion,22,1.289E-01,6.564E-01,1.289E-01,6.564E-01,2,"Adenylate cyclase type V, Alpha-2A adrenergic receptor",
210,T regulatory cell migration in asthma,22,1.289E-01,6.564E-01,1.289E-01,6.564E-01,2,"CCL17, CCR8",
211,Immune response_IL-15 signaling via JAK-STAT cascade,22,1.289E-01,6.564E-01,1.289E-01,6.564E-01,2,"STAT3, Bcl-2",
212,LRRK2 and immune function in Parkinson's disease,22,1.289E-01,6.564E-01,1.289E-01,6.564E-01,2,"MHC class II, LRRK2",
213,Development_Ligand-independent activation of ESR1 and ESR2,44,1.297E-01,6.564E-01,1.297E-01,6.564E-01,3,"Adenylate cyclase type V, ESR1 (nuclear), TFF1",
214,Influence of smoking on activation of EGFR signaling in lung cancer cells,44,1.297E-01,6.564E-01,1.297E-01,6.564E-01,3,"p38alpha (MAPK14), Amphiregulin, Adenylate cyclase",
215,Role of CD8+ Tc1 cells in COPD,44,1.297E-01,6.564E-01,1.297E-01,6.564E-01,3,"STAT3, CCR5, Bcl-2",
216,Transport_cAMP/ Ca(2+)-dependent Insulin secretion,44,1.297E-01,6.564E-01,1.297E-01,6.564E-01,3,"SUR1, Kir6.2, CACNA1D",
217,Release of pro-inflammatory factors and proteases by alveolar macrophages in asthma,44,1.297E-01,6.564E-01,1.297E-01,6.564E-01,3,"SP-A, IL-30, SP-D",
218,Apoptosis and survival_Inhibition of ROS-induced apoptosis by 17beta-estradiol,44,1.297E-01,6.564E-01,1.297E-01,6.564E-01,3,"p38alpha (MAPK14), ESR1 (mitochondrial), Bcl-2",
219,Immune response_IL-4 signaling pathway,94,1.305E-01,6.571E-01,1.305E-01,6.571E-01,5,"STAT3, p38alpha (MAPK14), Tubulin alpha, p38 MAPK, Bcl-2",
220,Mucin expression in CF airways,69,1.337E-01,6.610E-01,1.337E-01,6.610E-01,4,"p38alpha (MAPK14), Mucin 2, p38 MAPK, Mucin 5AC",
221,Possible role of neonatal nicotine exposure in development of postnatal obesity,5,1.347E-01,6.610E-01,1.347E-01,6.610E-01,1,nAChR alpha-4,
222,Cell adhesion_Ephrin signaling,45,1.362E-01,6.610E-01,1.362E-01,6.610E-01,3,"Ephrin-A receptor 8, Ephrin-A receptors, RHO6",
223,Immune response_PGE2 signaling in immune response,45,1.362E-01,6.610E-01,1.362E-01,6.610E-01,3,"CCR5, G-CSF, Adenylate cyclase",
224,Differentiation of Th2 cells in asthma,45,1.362E-01,6.610E-01,1.362E-01,6.610E-01,3,"MHC class II, CCR5, CCL17",
225,G-protein signaling_Regulation of Cyclic AMP levels by ACM,45,1.362E-01,6.610E-01,1.362E-01,6.610E-01,3,"Adenylate cyclase type IV, Adenylate cyclase type V, Adenylate cyclase type II",
226,Role of DNA methylation in progression of multiple myeloma,45,1.362E-01,6.610E-01,1.362E-01,6.610E-01,3,"STAT3, ESR1 (nuclear), Dexras1",
227,FGF signaling in gastric cancer,23,1.387E-01,6.610E-01,1.387E-01,6.610E-01,2,"FGFR4, FGFR1",
228,Action of GSK3 beta in bipolar disorder,23,1.387E-01,6.610E-01,1.387E-01,6.610E-01,2,"Tau (MAPT), Bcl-2",
229,Role of Leptin in regulation of eating behavior in obesity,23,1.387E-01,6.610E-01,1.387E-01,6.610E-01,2,"STAT3, CART",
230,Hypertrophy of  asthmatic airway smooth muscle cells ,70,1.389E-01,6.610E-01,1.389E-01,6.610E-01,4,"STAT3, Rb protein, MLCK, C/EBPalpha",
231,Th2-cytokine-induced airway epithelium mucous metaplasia in COPD,70,1.389E-01,6.610E-01,1.389E-01,6.610E-01,4,"PP2A regulatory, HAG-2, Mucin 5AC, PDEF",
232,Tumor metabolic pathways promoting development of Treg cells,96,1.390E-01,6.610E-01,1.390E-01,6.610E-01,5,"STAT3, MHC class II, CCR5, CCL17, FGFR1",
233,Immune response_Naive CD4+ T cell differentiation,46,1.428E-01,6.620E-01,1.428E-01,6.620E-01,3,"STAT3, GATA-3, MHC class II",
234,Role of GIP in pathogenesis of type 2 diabetes,46,1.428E-01,6.620E-01,1.428E-01,6.620E-01,3,"p38alpha (MAPK14), p38 MAPK, Bcl-2",
235,Apoptosis and survival_IL-17-induced CIKS-independent signaling pathways,46,1.428E-01,6.620E-01,1.428E-01,6.620E-01,3,"STAT3, p38alpha (MAPK14), p38 MAPK",
236,Neurophysiological process_Receptor-mediated axon growth repulsion,46,1.428E-01,6.620E-01,1.428E-01,6.620E-01,3,"Ephrin-A receptors, Tau (MAPT), RHO6",
237,Transcription_Hypoxia- and receptor-mediated HIF-1 activation,46,1.428E-01,6.620E-01,1.428E-01,6.620E-01,3,"STAT3, LRRK2, p38 MAPK",
238,Transcription_Androgen Receptor nuclear signaling,46,1.428E-01,6.620E-01,1.428E-01,6.620E-01,3,"STAT3, Androgen receptor, Kallikrein 3 (PSA)",
239,Development_Stimulation of differentiation of mouse embryonic fibroblasts into adipocytes by extracellular factors,71,1.441E-01,6.637E-01,1.441E-01,6.637E-01,4,"A-FABP, p38 MAPK, Adenylate cyclase, C/EBPalpha",
240,Retinoic acid regulation of oligodendrocyte differentiation in multiple sclerosis,24,1.486E-01,6.637E-01,1.486E-01,6.637E-01,2,"OLIG1, Transthyretin",
241,Development_Schema: SMAD-dependent TGF-beta family signaling in embryonic stem cells,24,1.486E-01,6.637E-01,1.486E-01,6.637E-01,2,"BMP7, SOX2",
242,Immune response_PGE2 in immune and neuroendocrine system interactions,47,1.496E-01,6.637E-01,1.496E-01,6.637E-01,3,"p38alpha (MAPK14), PGE2R3, p38 MAPK",
243,Role of proinflammatory cytokines in activation of p53 in major depressive disorder,47,1.496E-01,6.637E-01,1.496E-01,6.637E-01,3,"Rb protein, Bcl-2, Reprimo",
244,Chemotaxis_Lipoxin inhibitory action on Formyl-Met-Leu-Phe-induced neutrophil chemotaxis,47,1.496E-01,6.637E-01,1.496E-01,6.637E-01,3,"Hck, p38 MAPK, PREX1",
245,Reproduction_Gonadotropin-releasing hormone (GnRH) signaling,73,1.547E-01,6.637E-01,1.547E-01,6.637E-01,4,"p38alpha (MAPK14), MKP-2, CG alpha, Adenylate cyclase",
246,Mast cell migration in asthma,73,1.547E-01,6.637E-01,1.547E-01,6.637E-01,4,"CCL17, IL8RA, p38 MAPK, FGFR1",
247,Regulation and signaling of HGF receptor (Met) and MSP receptor (RON) in lung cancer,73,1.547E-01,6.637E-01,1.547E-01,6.637E-01,4,"STAT3, p38alpha (MAPK14), Rb protein, Delta-catenin",
248,Common mechanisms of Th17 cell migration,48,1.564E-01,6.637E-01,1.564E-01,6.637E-01,3,"Collagen II, CCR5, CCL17",
249,Immune response_C3a signaling,48,1.564E-01,6.637E-01,1.564E-01,6.637E-01,3,"MHC class II, p38 MAPK, Adenylate cyclase",
250,Main genetic and epigenetic alterations in lung cancer,48,1.564E-01,6.637E-01,1.564E-01,6.637E-01,3,"Rb protein, IBP, Bcl-2",
251,Development_Adiponectin signaling,48,1.564E-01,6.637E-01,1.564E-01,6.637E-01,3,"STAT3, p38alpha (MAPK14), Adiponectin",
252,K-RAS signaling in lung cancer,48,1.564E-01,6.637E-01,1.564E-01,6.637E-01,3,"Amphiregulin, RhoB, PDCD4",
253,IL-17-induced mucin expression in CF airways,48,1.564E-01,6.637E-01,1.564E-01,6.637E-01,3,"MHC class II, p38 MAPK, Mucin 5AC",
254,Immune response_IL-12 signaling pathway,48,1.564E-01,6.637E-01,1.564E-01,6.637E-01,3,"STAT3, p38alpha (MAPK14), GADD45 gamma",
255,Macrophage and dendritic cell phenotype shift in cancer,100,1.569E-01,6.637E-01,1.569E-01,6.637E-01,5,"STAT3, MHC class II, ESR1 (nuclear), XBP1, p38 MAPK",
256,Development_Trophectoderm differentiation,25,1.586E-01,6.637E-01,1.586E-01,6.637E-01,2,"FGF4, SOX2",
257,Immune response_IL-2 signaling via JAK/ STAT,25,1.586E-01,6.637E-01,1.586E-01,6.637E-01,2,"STAT3, Bcl-2",
258,Transcription_Transcription regulation of aminoacid metabolism,25,1.586E-01,6.637E-01,1.586E-01,6.637E-01,2,"p38alpha (MAPK14), Rb protein",
259,HBV-dependent transcription regulation leading to HCC,25,1.586E-01,6.637E-01,1.586E-01,6.637E-01,2,"ESR1 (nuclear), EGR3",
260,Cytoskeleton remodeling_Neurofilaments,25,1.586E-01,6.637E-01,1.586E-01,6.637E-01,2,"Tubulin alpha, Peripherin",
261,Fenofibrate in treatment of type 2 diabetes and metabolic syndrome X,25,1.586E-01,6.637E-01,1.586E-01,6.637E-01,2,"Adiponectin, ABCG1",
262,Resolution of inflammation in healing myocardial infarction,25,1.586E-01,6.637E-01,1.586E-01,6.637E-01,2,"STAT3, G-CSF",
263,Development_Schema: Methods of somatic cell reprogramming into induced pluripotent stem cells,6,1.593E-01,6.637E-01,1.593E-01,6.637E-01,1,SOX2,
264,Signal transduction_mTORC1 upstream signaling,74,1.601E-01,6.637E-01,1.601E-01,6.637E-01,4,"p38alpha (MAPK14), DEPTOR, p38 MAPK, GHR",
265,Signal transduction_HTR2A signaling outside the nervous system,74,1.601E-01,6.637E-01,1.601E-01,6.637E-01,4,"STAT3, Rb protein, p38 MAPK, Adenylate cyclase",
266,SLE genetic marker-specific pathways in T cells,101,1.615E-01,6.637E-01,1.615E-01,6.637E-01,5,"STAT3, MHC class II, ESR1 (nuclear), MHC class II beta chain, Bcl-2",
267,Chemotaxis_Lysophosphatidic acid signaling via GPCRs,129,1.629E-01,6.637E-01,1.629E-01,6.637E-01,6,"Rho GTPase, IL13RA2, p38 MAPK, Bcl-2, YAP1 (YAp65), PREX1",
268,Regulation of lipid metabolism_Regulation of lipid metabolism by niacin and isoprenaline,49,1.633E-01,6.637E-01,1.633E-01,6.637E-01,3,"Adenylate cyclase type IV, Adenylate cyclase type V, Adenylate cyclase type II",
269,Th17 cells in CF (mouse model),49,1.633E-01,6.637E-01,1.633E-01,6.637E-01,3,"STAT3, MHC class II, G-CSF",
270,Transport_ACM3 signaling in lacrimal glands,75,1.656E-01,6.637E-01,1.656E-01,6.637E-01,4,"MaxiK alpha subunit, SP-A, SP-D, Lacritin",
271,EGFR family signaling in pancreatic cancer,75,1.656E-01,6.637E-01,1.656E-01,6.637E-01,4,"STAT3, Rb protein, p38 MAPK, Bcl-2",
272,Glyoxylate metabolism,26,1.688E-01,6.637E-01,1.688E-01,6.637E-01,2,"AGT2, AGXT",
273,G-protein signaling_Ras family GTPases in kinase cascades,26,1.688E-01,6.637E-01,1.688E-01,6.637E-01,2,"p38alpha (MAPK14), p38 MAPK",
274,Downregulation of MITF in melanoma,26,1.688E-01,6.637E-01,1.688E-01,6.637E-01,2,"STAT3, PAX3",
275,Immune response_Role of HMGB1 in dendritic cell maturation and migration,26,1.688E-01,6.637E-01,1.688E-01,6.637E-01,2,"MHC class II, p38 MAPK",
276,Signal transduction_HTR2A-dependent arachidonic acid production,26,1.688E-01,6.637E-01,1.688E-01,6.637E-01,2,"RhoA-related, p38 MAPK",
277,"Cigarette smoke-induced proliferation, metaplasia and survival of airway epithelial cells ",50,1.703E-01,6.637E-01,1.703E-01,6.637E-01,3,"p38alpha (MAPK14), Amphiregulin, nAChR alpha-4",
278,Rheumatoid arthritis (general schema),50,1.703E-01,6.637E-01,1.703E-01,6.637E-01,3,"MHC class II, Collagen II, MHC class II beta chain",
279,Proteases and EGFR-activated mucin production in airway epithelium in COPD,50,1.703E-01,6.637E-01,1.703E-01,6.637E-01,3,"p38 MAPK, Mucin 5AC, Bcl-2",
280,Survival pathways in Prostate Cancer,50,1.703E-01,6.637E-01,1.703E-01,6.637E-01,3,"STAT3, Androgen receptor, Bcl-2",
281,Immune response_IFN-gamma in macrophages activation,50,1.703E-01,6.637E-01,1.703E-01,6.637E-01,3,"IL-30, DEPTOR, Selenoprotein P",
282,The role of PTEN and PI3K signaling in melanoma,50,1.703E-01,6.637E-01,1.703E-01,6.637E-01,3,"STAT3, Tau (MAPT), Epo",
283,Immune response_C5a signaling,50,1.703E-01,6.637E-01,1.703E-01,6.637E-01,3,"p38 MAPK, Bcl-2, PREX1",
284,"Development_Hedgehog, BMP and Parathyroid hormone in osteogenesis",51,1.774E-01,6.817E-01,1.774E-01,6.817E-01,3,"BMP7, Bone sialoprotein, Adenylate cyclase",
285,Development_Oligodendrocyte differentiation from adult stem cells,51,1.774E-01,6.817E-01,1.774E-01,6.817E-01,3,"OATP-A, p38 MAPK, FGFR1",
286,Development_Beta-adrenergic receptors signaling via Cyclic AMP,51,1.774E-01,6.817E-01,1.774E-01,6.817E-01,3,"p38 MAPK, Adenylate cyclase, Perilipin",
287,Regulation of angiogenesis in prostate cancer,51,1.774E-01,6.817E-01,1.774E-01,6.817E-01,3,"Androgen receptor, IL8RA, IL8RB",
288,Activation of osteoclast differentiation in bone lesions formation in multiple myeloma,27,1.790E-01,6.833E-01,1.790E-01,6.833E-01,2,"CCR5, p38 MAPK",
289,Neurophysiological process_Sweet taste signaling,27,1.790E-01,6.833E-01,1.790E-01,6.833E-01,2,"P2X2, Gustducin",
290,Regulatory T cells in human allergic contact dermatitis,7,1.833E-01,6.843E-01,1.833E-01,6.843E-01,1,MHC class II,
291,Gamma-aminobutyrate (GABA) biosynthesis and metabolism,52,1.845E-01,6.843E-01,1.845E-01,6.843E-01,3,"GABT, ABP1, DHE4",
292,Development_Self-renewal of adult neural stem cells,52,1.845E-01,6.843E-01,1.845E-01,6.843E-01,3,"NeuroD2, NeuroD4, SOX2",
293,Nicotine signaling in cholinergic neurons,52,1.845E-01,6.843E-01,1.845E-01,6.843E-01,3,"Tau (MAPT), CHT1, nAChR alpha-4",
294,Impaired inhibition of Th17 cell differentiation by IFN-beta in multiple sclerosis,28,1.894E-01,6.843E-01,1.894E-01,6.843E-01,2,"STAT3, IL-30",
295,Neurophysiological process_Role of CDK5 in presynaptic signaling,28,1.894E-01,6.843E-01,1.894E-01,6.843E-01,2,"TY3H, Amphiphysin I",
296,GLP-1 in inhibition of insulin secretion in type 2 diabetes,28,1.894E-01,6.843E-01,1.894E-01,6.843E-01,2,"Kir6.2, CACNA1D",
297,Possible influence of low doses of Arsenite on glucose uptake in muscle,28,1.894E-01,6.843E-01,1.894E-01,6.843E-01,2,"MYOG, MYOD",
298,Regulation of Beta-catenin activity  in melanoma,28,1.894E-01,6.843E-01,1.894E-01,6.843E-01,2,"NRCAM, Bcl-2",
299,Role of Th17 cells in asthma,28,1.894E-01,6.843E-01,1.894E-01,6.843E-01,2,"p38 MAPK, IL8RB",
300,Chemotaxis_Inhibitory action of lipoxins on IL-8- and Leukotriene B4-induced neutrophil migration,53,1.918E-01,6.843E-01,1.918E-01,6.843E-01,3,"IL8RA, MLCK, PREX1",
301,Development_Role of HDAC and calcium/calmodulin-dependent kinase (CaMK) in control of skeletal myogenesis,53,1.918E-01,6.843E-01,1.918E-01,6.843E-01,3,"p38alpha (MAPK14), MYOG, MYOD",
302,Proinflammatory cytokine production by Th17 cells in asthma,53,1.918E-01,6.843E-01,1.918E-01,6.843E-01,3,"STAT3, GATA-3, MHC class II",
303,Chemotaxis_CCR1 signaling,53,1.918E-01,6.843E-01,1.918E-01,6.843E-01,3,"STAT3, p38 MAPK, Adenylate cyclase",
304,Non-genomic signaling of ESR2 (membrane) in lung cancer cells,53,1.918E-01,6.843E-01,1.918E-01,6.843E-01,3,"Amphiregulin, Adenylate cyclase, nAChR alpha-4",
305,EGFR signaling pathway in lung cancer,53,1.918E-01,6.843E-01,1.918E-01,6.843E-01,3,"STAT3, Amphiregulin, Bcl-2",
306,Main pathways of Schwann cells transformation in neurofibromatosis type 1 ,80,1.941E-01,6.843E-01,1.941E-01,6.843E-01,4,"Amphiregulin, B-FABP, p38 MAPK, Bcl-2",
307,GTP metabolism,54,1.991E-01,6.843E-01,1.991E-01,6.843E-01,3,"GUCY1B2, Guanylate cyclase beta, Guanylate cyclase 2D (RETGC1)",
308,Immune response_IFN-gamma actions on extracellular matrix and cell differentiation,54,1.991E-01,6.843E-01,1.991E-01,6.843E-01,3,"Collagen II, MYOG, MYOD",
309,"Disruption of apoptosis, proliferation and shedding of epithelial cells in asthma",54,1.991E-01,6.843E-01,1.991E-01,6.843E-01,3,"Amphiregulin, Rb protein, Bcl-2",
310,Eosinophil granule protein release in asthma,54,1.991E-01,6.843E-01,1.991E-01,6.843E-01,3,"Tryptase, p38 MAPK, CAMP",
311,Role of ER stress in obesity and type 2 diabetes,54,1.991E-01,6.843E-01,1.991E-01,6.843E-01,3,"Adiponectin, XBP1, C/EBPalpha",
312,ERBB family and HGF signaling in gastric cancer,54,1.991E-01,6.843E-01,1.991E-01,6.843E-01,3,"STAT3, Amphiregulin, p38 MAPK",
313,Apoptosis and survival_nAChR in apoptosis inhibition and cell cycle progression,29,1.998E-01,6.843E-01,1.998E-01,6.843E-01,2,"Rb protein, nAChR alpha",
314,Adiponectin in pathogenesis of type 2 diabetes,29,1.998E-01,6.843E-01,1.998E-01,6.843E-01,2,"p38alpha (MAPK14), Adiponectin",
315,Bone metastases in Prostate Cancer,29,1.998E-01,6.843E-01,1.998E-01,6.843E-01,2,"Bone sialoprotein, Kallikrein 3 (PSA)",
316,Apoptosis and survival_p53-dependent apoptosis,29,1.998E-01,6.843E-01,1.998E-01,6.843E-01,2,"p38alpha (MAPK14), Bcl-2",
317,Immune response_CD137 signaling in immune cell,29,1.998E-01,6.843E-01,1.998E-01,6.843E-01,2,"p38 MAPK, Bcl-2",
318,Development_Auditory hair cell differentiation in embryogenesis,29,1.998E-01,6.843E-01,1.998E-01,6.843E-01,2,"SOX2, FGFR1",
