Enrichment analysis report,,,,,,,,,,,,,
Enrichment by Pathway Maps,,,,,transformed_FC,,,,rna_all_FC,,,,
#,Maps,Total,min(pValue),Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",p-value,FDR,In Data,"Network Objects from
Active Data",
256,Aberrant production of IL-2 and IL-17 in SLE T cells,58,2.163E-03,1.674E-02,2.163E-03,1.674E-02,20,"MHC class II, GRB2, c-Fos, Fc epsilon RI gamma, ROR-gamma, H-Ras, ERK1/2, PKA-reg (cAMP-dependent), c-Raf-1, DNMT3A, I-kB, AP-1, Calmodulin, CD3, SAP, MEK1/2, CD3 epsilon, AKT(PKB), SP1, p70 S6 kinase2",1.418E-02,5.913E-02,21,"MHC class II, GRB2, c-Fos, NF-AT1(NFATC2), Fc epsilon RI gamma, H-Ras, ERK1/2, c-Jun/c-Fos, PKA-reg (cAMP-dependent), I-kB, ZAP70, AKT(PKB), CD229, ROR-gamma, DNMT3A, LAT, AP-1, Calmodulin, SP1, p70 S6 kinase2, TCR alpha/beta",
257,Immune response_Fc epsilon RI pathway: Lyn-mediated cytokine production,87,2.164E-03,1.823E-02,1.009E-02,4.369E-02,25,"CARD9, Calcineurin A (catalytic), GRB2, CCL1, c-Fos, Fc epsilon RI gamma, H-Ras, ERK1/2, c-Raf-1, PAK1, GATA-1, GATA-2, Btk, NFKBIA, NF-AT, IP3 receptor, AP-1, Calmodulin, PKC, IKK-beta, MEK6(MAP2K6), MEK1/2, JNK(MAPK8-10), IL-4, p38 MAPK",2.164E-03,1.823E-02,32,"CARD9, Calcineurin A (catalytic), GRB2, c-Fos, NF-AT1(NFATC2), Fc epsilon RI gamma, H-Ras, ERK1/2, EGR1, Rac1, IP3 receptor, MEK6(MAP2K6), IL-13, IL-9, IL-4, CCL1, PKC-delta, c-Jun, PAK1, MKK7 (MAP2K7), LAT, GATA-2, Btk, NFKBIA, NF-AT, AP-1, Calmodulin, PKC, MEKK1(MAP3K1), IKK-beta, JNK(MAPK8-10), p38 MAPK",
258,CREB1-dependent transcription deregulation in Huntington's Disease,26,2.167E-03,1.823E-02,3.606E-03,2.245E-02,11,"Huntingtin, NDUFS3, UCP2, Cytochrome c, TAF4 (TAFII130), COX VIIc, NDUFB5, COX VIa-1, Bcl-2, GRP75, Adenosine A2a receptor",2.167E-03,1.823E-02,13,"Huntingtin, NDUFS3, UCP2, Cytochrome c, SOD1, NDUFB5, COX VIa-1, GRP75, TFAM, TAF4 (TAFII130), COX VIIc, Bcl-2, Adenosine A2a receptor",
259,Development_Neurotrophin family signaling,41,2.175E-03,1.823E-02,1.098E-01,2.317E-01,11,"MEK1(MAP2K1), GRB2, GAB1, H-Ras, ERK1/2, c-Raf-1, NRAGE(MAGED1), PI3K reg class IA (p85), PI3K reg class IA, JNK(MAPK8-10), AKT(PKB)",2.175E-03,1.823E-02,18,"TrkA, GRB2, GAB1, H-Ras, ERK1/2, Rac1, PI3K reg class IA (p85), PI3K reg class IA, AKT(PKB), NT-3, TrkC, c-Jun, NRAGE(MAGED1), C3G, SH2B, MEKK1(MAP3K1), SHP-2, JNK(MAPK8-10)",
260,Signal transduction_Adenosine A1 receptor signaling pathway,62,2.183E-03,1.681E-02,2.183E-03,1.681E-02,21,"Adenosine A1 receptor, G-protein alpha-i family, H-Ras, ERK1/2, PKA-reg (cAMP-dependent), c-Raf-1, G-protein alpha-q/11, IP3 receptor, STAT3, I-kB, PI3K reg class IA (p85), GLRA3, Calmodulin, PKC, PLC-beta, Adenylate cyclase, MEK1/2, AKT(PKB), PDK (PDPK1), SFK, p38 MAPK",3.054E-02,9.511E-02,21,"H-Ras, ERK1/2, PKA-reg (cAMP-dependent), IKK (cat), G-protein alpha-q/11, IP3 receptor, BAD, I-kB, PI3K reg class IA (p85), PLC-beta, Adenylate cyclase, AKT(PKB), PDK (PDPK1), SFK, TTC1, Adenosine A1 receptor, G-protein alpha-i family, GLRA3, Calmodulin, PKC, p38 MAPK",
261,Immune response_Delta-type opioid receptor signaling in T-cells,29,2.255E-03,1.823E-02,6.542E-02,1.613E-01,9,"MEK1(MAP2K1), c-Fos, G-protein alpha-i family, c-Raf-1, PAK1, JNK(MAPK8-10), AKT(PKB), PDK (PDPK1), ERK1 (MAPK3)",2.255E-03,1.823E-02,14,"c-Fos, Rac1, AKT(PKB), PDK (PDPK1), ERK1 (MAPK3), Delta-type opioid receptor, PKC-delta, G-protein alpha-i family, c-Jun, PAK1, MKK7 (MAP2K7), MEKK1(MAP3K1), JNK(MAPK8-10), PI3K reg class IB (p101)",
262,Development_Regulation of telomere length and cellular immortalization,35,2.281E-03,1.823E-02,1.665E-02,6.159E-02,12,"TERC, E2F1, Staufen, TIN-2, RPL22, hRap1, Max, AKT(PKB), SP1, HSP90, PDK (PDPK1), p23 co-chaperone",2.281E-03,1.823E-02,16,"Staufen, TIN-2, RPL22, hnRNP C, AKT(PKB), HSP90, PDK (PDPK1), c-Myc, hnRNP A1, E2F1, Tankyrase 2, hRap1, Max, TEP1, SP1, p23 co-chaperone",
263,Anti-apoptotic action of Gastrin in pancreatic cancer,35,2.281E-03,1.823E-02,1.703E-01,3.058E-01,9,"p38alpha (MAPK14), Cytochrome c, NFKBIA, PI3K reg class IA (p85), MEK6(MAP2K6), Bcl-2, FAK1, AKT(PKB), PDK (PDPK1)",2.281E-03,1.823E-02,16,"IRS-1, LARG, Cytochrome c, BAD, PI3K reg class IA (p85), IKK-alpha, MEK6(MAP2K6), AKT(PKB), PDK (PDPK1), MEKK4(MAP3K4), CCKBR, NFKBIA, Bcl-2, FOXO3A, FAK1, G-protein alpha-q",
264,Cell cycle_ESR1 regulation of G1/S transition,35,2.281E-03,1.823E-02,6.134E-03,3.211E-02,13,"c-Fos, ESR1 (nuclear), NCOA3 (pCIP/SRC3), E2F1, ERK1/2, p21, Ubiquitin, Rb protein, p130, Skp2/TrCP/FBXW, Cyclin D1, SP1, p27KIP1",2.281E-03,1.823E-02,16,"c-Fos, ESR1 (nuclear), ERK1/2, c-Jun/c-Fos, p21, Ubiquitin, Rb protein, p130, Skp2/TrCP/FBXW, p27KIP1, c-Myc, NCOA3 (pCIP/SRC3), E2F1, c-Jun, Cyclin D1, SP1",
265,Cell cycle_Role of Nek in cell cycle regulation,32,2.289E-03,1.823E-02,7.645E-03,3.671E-02,12,"Tubulin beta, Insulin processed, NEK6, Nek11, p70 S6 kinase1, Tubulin alpha, PI3K reg class IA, Insulin receptor, PDK (PDPK1), Nek8, Ran, Tubulin (in microtubules)",2.289E-03,1.823E-02,15,"Insulin processed, IRS-1, Nek11, PI3K reg class IA, Insulin receptor, PDK (PDPK1), Ran, Tubulin (in microtubules), Tubulin beta, Tubulin gamma, NEK6, Aurora-A, p70 S6 kinase1, Tubulin alpha, Nek8",
266,Cytoskeleton remodeling_Reverse signaling by Ephrin-B,32,2.289E-03,1.806E-02,2.465E-03,1.806E-02,13,"RGS3, G-protein alpha-i family, H-Ras, c-Raf-1, PAK1, ILK, Tubulin alpha, FAK1, Tau (MAPT), Axin, SDF-1, WIRE, Tubulin (in microtubules)",2.289E-03,1.823E-02,15,"H-Ras, Tau (MAPT), Axin, SDF-1, Tubulin (in microtubules), RGS3, G-protein alpha-i family, PAK1, ILK, Paxillin, Tubulin alpha, N-WASP, FAK1, Ephrin-B receptors, WIRE",
267,Inhibition of LKB1 / AMPK signaling in breast cancer,32,2.289E-03,1.806E-02,2.465E-03,1.806E-02,13,"E-cadherin, Tuberin, ACACA, AMPK gamma1, FASN, p70 S6 kinase1, LKB1, AMPK beta1, PTEN, TORC2, Cyclin D1, AKT(PKB), p70 S6 kinase2",2.289E-03,1.823E-02,15,"Tuberin, FASN, AMPK beta1, TORC2, CYP19, AKT(PKB), E-cadherin, TFAM, AMPK gamma1, 4E-BP1, p70 S6 kinase1, LKB1, PTEN, Cyclin D1, p70 S6 kinase2",
268,Development_Schema: Histone H3 demethylases in stem cells,32,2.289E-03,1.806E-02,2.465E-03,1.806E-02,13,"PLU-1, CoREST, IRX3, GATA-4, p21, AP-2A, HP1, NANOG, TIF1-beta, KDM2B, PTEN, JMJD3, p27KIP1",2.289E-03,1.823E-02,15,"GATA-4, p21, HP1, TIF1-beta, NRSF, p27KIP1, PLU-1, CoREST, IRX3, AP-2A, BCoR, NANOG, KDM2B, PTEN, JMJD3",
269,Role of tumor-infiltrating B cells in anti-tumor immunity,91,2.329E-03,1.785E-02,2.329E-03,1.785E-02,28,"MIG, MHC class II, Syndecan-1, CD20, CTAG2, GAS11, G-protein alpha-i family, Granzyme B, MAGE-1 antigen, CXCR5, AID, PASD1, CD19, Btk, STAT3, XAGE1, SOX2, IFN-alpha, GAGE2, CD27(TNFRSF7), MAGE-4 antigen, MAGEB2, CD40(TNFRSF5), STAT6, IL-4, CD23, SDF-1, CD40L(TNFSF5)",4.836E-03,2.898E-02,32,"MHC class II, CD20, CTAG2, Granzyme B, MAGE-1 antigen, PASD1, CD19, Perforin, IFN-alpha, GAGE2, CD27(TNFRSF7), MAGEB2, FasL(TNFSF6), IL-4, CT47A, CD23, SDF-1, G3P2, Syndecan-1, GAS11, G-protein alpha-i family, CD79 complex, AID, Btk, CXCR3, NY-ESO-1, XAGE1, SOX2, CD40(TNFRSF5), STAT6, MAGEC2, TCR alpha/beta",
270,"POMC, alpha-MSH and AGRP in regulation of food intake and energy expenditure in obesity in hypothalamus",43,2.422E-03,1.806E-02,2.422E-03,1.806E-02,16,"Thyroliberin, G-protein alpha-i family, Adenylate cyclase type VI, PKA-reg (cAMP-dependent), c-Raf-1, IP3 receptor, Adenylate cyclase type II, G-protein alpha-s, PLC-beta, MC3R, MEK1/2, Clathrin, Adenylate cyclase type IV, Beta-arrestin1, PC2, ERK1 (MAPK3)",2.312E-02,7.874E-02,16,"Adenylate cyclase type VI, PKA-reg (cAMP-dependent), IP3 receptor, Adenylate cyclase type II, PLC-beta, MC4R, ERK1 (MAPK3), Thyroliberin, G-protein alpha-i family, G-protein alpha-s, MC3R, G-protein alpha-q, Clathrin, Adenylate cyclase type IV, Beta-arrestin1, PC2",
271,ESR1 (membrane) 36 kDa isoform signaling in breast cancer,43,2.422E-03,1.806E-02,2.422E-03,1.806E-02,16,"E-cadherin, GRB2, H-Ras, ERK1/2, ESR1 (membrane), c-Raf-1, IP3 receptor, PI3K reg class IA, Gamma-synuclein, PLC-beta, MEK1/2, Cyclin D1, JNK(MAPK8-10), AKT(PKB), HSP90, PDK (PDPK1)",1.015E-02,4.713E-02,17,"GRB2, H-Ras, ERK1/2, ESR1 (membrane), IP3 receptor, PI3K reg class IA, PLC-beta, AKT(PKB), HSP90, PDK (PDPK1), c-Myc, E-cadherin, c-Jun, Gamma-synuclein, G-protein alpha-q, Cyclin D1, JNK(MAPK8-10)",
272,Signal transduction_Modulation of calcium and potassium channels by Adenosine A1 receptor,43,2.422E-03,1.806E-02,2.422E-03,1.806E-02,16,"MaxiK alpha subunit, cPKC (conventional), SUR1, Adenosine A1 receptor, G-protein alpha-i family, CACNA1C, PKA-reg (cAMP-dependent), Ca(II)channel L-type, Kir6.2, IP3 receptor, Calmodulin, cPLA2, Adenylate cyclase, SUR2, SK2, Caveolin-3",4.085E-03,2.667E-02,18,"MaxiK alpha subunit, SUR1, PKA-reg (cAMP-dependent), Kir6.2, IP3 receptor, cPLA2, Adenylate cyclase, SUR2, SK2, Caveolin-3, cPKC (conventional), Adenosine A1 receptor, G-protein alpha-i family, Ca(II)channel N-type, CACNA1C, Ca(II)channel L-type, Calmodulin, N-type Ca(II) channel alpha1B",
273,Regulation of Tissue factor signaling in cancer,43,2.422E-03,1.806E-02,2.422E-03,1.806E-02,16,"MEK1(MAP2K1), EGF, JunD/c-Fos, K-RAS, ERK1/2, c-Raf-1, Coagulation factor VII, AP-1, p70 S6 kinase1, JunD, PTEN, CD40(TNFRSF5), AKT(PKB), PDK (PDPK1), ERK1 (MAPK3), CD40L(TNFSF5)",2.312E-02,7.874E-02,16,"EGF, ERK1/2, EGR1, Coagulation factor VII, JunD, AKT(PKB), PDK (PDPK1), ERK1 (MAPK3), JunD/c-Fos, K-RAS, c-Jun, AP-1, p70 S6 kinase1, PTEN, c-Jun/c-Jun, CD40(TNFRSF5)",
274,Putative pathways for stimulation of fat cell differentiation by Bisphenol A,32,2.465E-03,1.806E-02,2.465E-03,1.806E-02,13,"A-FABP, ESR1 (nuclear), SCD, GPD1, FASN, GATA-2, Androgen receptor, SREBP1 precursor, PI3K reg class IA, AKT(PKB), PDK (PDPK1), Leptin, C/EBPalpha",6.834E-03,3.742E-02,14,"ESR1 (nuclear), SCD, GLUT4, FASN, Androgen receptor, SREBP1 precursor, PI3K reg class IA, AKT(PKB), PDK (PDPK1), GPD1, GATA-2, Esrrg, Leptin, C/EBPalpha",
275,Development_Positive regulation of WNT/Beta-catenin signaling at the receptor level,64,2.495E-03,1.952E-02,5.000E-01,6.577E-01,12,"p38alpha (MAPK14), FGFR3, ROR2, UBPY, RAB3IP, ERK1/2, TMEM59, Dsh, WNT, MEK1/2, DPY19L3, Clathrin",2.495E-03,1.952E-02,25,"TrkA, UBPY, RAB3IP, LYPD6, ERK1/2, Dsh, Tenascin-N, IQGAP, R-spondin 1, p38beta (MAPK11), LRP5, DPY19L3, DKK2, FGFR3, ROR2, Tcf(Lef), R-spondins, TMEM59, MKK7 (MAP2K7), RNF43, USP19, WNT, Clathrin, Formin 2, Frizzled",
276,Development_Signaling pathways in embryonic hepatocyte maturation,51,2.546E-03,1.898E-02,2.642E-03,1.898E-02,18,"E-cadherin, gp130, CPSM, GRB2, GAB1, K-RAS, G6PT, TAT, FADD, PXR, STAT3, PI3K reg class IA, LRH1, Cyclin D1, HNF6, AKT(PKB), Epo, C/EBPalpha",2.546E-03,1.952E-02,21,"gp130, CPSM, GRB2, GAB1, HNF1-alpha, TAT, APOC2, FADD, PI3K reg class IA, LRH1, AKT(PKB), Epo, E-cadherin, K-RAS, PAH, PXR, APOC3, Cyclin D1, HNF6, p120-catenin, C/EBPalpha",
277,microRNA in Prostate Cancer,51,2.546E-03,1.952E-02,4.484E-01,6.112E-01,10,"SLC45A3, PDCD4, E2F1, p21, Sirtuin1, Bcl-2, Cyclin D1, eIF2C2 (Argonaute-2), p27KIP1, Ran",2.546E-03,1.952E-02,21,"WNT3A, microRNA 23a, p21, Bak, eIF2C2 (Argonaute-2), p27KIP1, c-Myc, Ran, SLC45A3, microRNA 106b, microRNA 141, Dicer, microRNA 32, PDCD4, E2F1, Sirtuin1, microRNA 23b, Bcl-2, Cyclin D1, microRNA 125b, microRNA 222",
278,Some pathways of EMT in cancer cells,51,2.546E-03,1.952E-02,6.658E-03,3.318E-02,17,"E-cadherin, Tuberin, EGF, PDGF-B, GRB2, TRAF2, H-Ras, TRADD, DDX5, ILK, STAT3, I-kB, PI3K reg class IA, IKK-beta, Bcl-2, AKT(PKB), Axin",2.546E-03,1.952E-02,21,"Tuberin, EGF, PDGF-B, GRB2, H-Ras, Lef-1, IKK (cat), TRADD, I-kB, PI3K reg class IA, IKK-alpha, AKT(PKB), Axin, E-cadherin, TRAF2, DDX5, ILK, 4E-BP1, IKK-beta, Bcl-2, TAB1",
279,Immune response_Histamine H1 receptor signaling in immune response,47,2.552E-03,1.851E-02,2.552E-03,1.851E-02,17,"MEK1(MAP2K1), Calcineurin A (catalytic), c-Fos, MMP-1, c-Raf-1, G-protein alpha-q/11, NFKBIA, IP3 receptor, I-kB, Calmodulin, PLC-beta, cPLA2, IKK-beta, eNOS, JNK(MAPK8-10), p38 MAPK, ERK1 (MAPK3)",2.606E-02,8.416E-02,17,"Calcineurin A (catalytic), c-Fos, c-Jun/c-Fos, G-protein alpha-q/11, IP3 receptor, I-kB, PLC-beta, cPLA2, ERK1 (MAPK3), MMP-1, c-Jun, NFKBIA, Calmodulin, IKK-beta, eNOS, JNK(MAPK8-10), p38 MAPK",
280,Inflammatory factors-induced expression of mucins in normal and asthmatic epithelium,51,2.642E-03,1.898E-02,2.642E-03,1.898E-02,18,"MEK1(MAP2K1), GRB2, H-Ras, SF4, ERK1/2, c-Raf-1, p90RSK1, IL8RA, CLCA1, I-kB, Mucin 2, Mucin 5AC, IKK-beta, IL-1RI, Mucin 5B, PGES2, IL-6 receptor, IL8RB",5.584E-02,1.454E-01,17,"GRB2, H-Ras, SF4, ERK1/2, CLCA1, I-kB, IL-1RI, Mucin 5B, PGES2, C3aR, IL8RB, IL8RA, Mucin 2, SHP-2, Mucin 5AC, IKK-beta, IL-6 receptor",
281,Immune response_NF-AT signaling and leukocyte interactions,48,2.705E-03,2.042E-02,8.175E-02,1.884E-01,13,"MHC class II, Calcineurin A (catalytic), CCR3, NF-AT, IP3 receptor, CD3, cPLA2, IGHE, CD40(TNFRSF5), STAT6, IL-4, Ca(II) channels, CD40L(TNFSF5)",2.705E-03,2.042E-02,20,"MHC class II, Calcineurin A (catalytic), NF-AT1(NFATC2), IP3 receptor, ZAP70, cPLA2, ITK, IL-13, FasL(TNFSF6), IL-4, CCR3, CD79 complex, LAT, IL-5 receptor, NF-AT, IGHE, CD40(TNFRSF5), STAT6, TCR alpha/beta, Ca(II) channels",
282,GLP-1 in beta cell apoptosis in type 2 diabetes,48,2.705E-03,2.042E-02,8.175E-02,1.884E-01,13,"AKT1, ERK1/2, ChREBP, PKA-reg (cAMP-dependent), p90RSK1, Cytochrome c, I-kB, Bcl-2, MDM2, IL-1RI, IGF-1 receptor, Beta-arrestin1, IGF-1",2.705E-03,2.042E-02,20,"AKT1, IRS-1, ERK1/2, ChREBP, PKA-reg (cAMP-dependent), IKK (cat), Cytochrome c, BAD, I-kB, IKK-alpha, MDM2, IL-1RI, IGF-1 receptor, Amylin, Thioredoxin, c-Jun, MKK7 (MAP2K7), Bcl-2, Beta-arrestin1, IGF-1",
283,Inhibition of apoptosis in pancreatic cancer,59,2.723E-03,1.938E-02,2.723E-03,1.938E-02,20,"EGF, K-RAS, G-protein alpha-i family, ERK1/2, Cytochrome c, LTBR1, NFKBIA, STAT3, PI3K reg class IA (p85), PKR1, PER1, ErbB2, ALOX12, PTEN, Bcl-2, Bcl-XL, AKT(PKB), LTBR2, IGF-1, IL-6 receptor",1.740E-02,6.553E-02,21,"EGF, ERK1/2, 14-3-3, Cytochrome c, BAD, PI3K reg class IA (p85), PER1, ErbB2, IKK-alpha, Bcl-XL, AKT(PKB), LTBR2, K-RAS, G-protein alpha-i family, LTBR1, NFKBIA, PKR1, PTEN, Bcl-2, IGF-1, IL-6 receptor",
284,Upregulation of MITF in melanoma,36,2.767E-03,1.959E-02,2.767E-03,1.959E-02,14,"Livin, E2F1, ERK1/2, p90RSK1, p21, PM17, MGF, E2I, TYRP1, Rb protein, PDE4D, Bcl-2, TBX2, p27KIP1",8.878E-03,4.380E-02,15,"ERK1/2, p21, E2I, Rb protein, PDE4D, Tyro3, p27KIP1, miR-340-5p, Livin, E2F1, PM17, MGF, TYRP1, Bcl-2, TBX2",
285,Regulation of relaxation of airway smooth muscle cells,45,2.860E-03,2.138E-02,2.444E-02,8.204E-02,14,"cAMP-GEFI, Protein kinase G, Adenylate cyclase type VI, PKA-reg (cAMP-dependent), PAK1, PGE2R3, IP3 receptor, Adenylate cyclase type II, G-protein alpha-s, VIP receptor 1, VIP receptor 2, Adenylate cyclase type IV, Guanylate Cyclase 1, soluble, MLCK",2.860E-03,2.138E-02,19,"cAMP-GEFI, 14-3-3, Adenylate cyclase type VI, PKA-reg (cAMP-dependent), Rac1, IP3 receptor, Adenylate cyclase type II, Prostacyclin receptor, VIP, Guanylate Cyclase 1, soluble, MLCK, Protein kinase G, PAK1, PGE2R3, G-protein alpha-s, VIP receptor 1, VIP receptor 2, Adenylate cyclase type IV, Cofilin",
286,EGF- and HGF-dependent stimulation of metastasis in gastric cancer,22,2.905E-03,2.037E-02,2.905E-03,2.037E-02,10,"MEK1(MAP2K1), E-cadherin, EGF, GRB2, H-Ras, ERK1/2, c-Raf-1, FAK1, VAV-3, SP1",4.425E-02,1.255E-01,9,"EGF, GRB2, H-Ras, ERK1/2, E-cadherin, Paxillin, FAK1, VAV-3, SP1",
287,Development_Beta-catenin destruction complex signaling,21,2.971E-03,2.210E-02,7.059E-02,1.708E-01,7,"beta-TrCP, Casein kinase I alpha, Ubiquitin, GSK3 alpha/beta, Skp2/TrCP/FBXW, Clathrin, Axin",2.971E-03,2.210E-02,11,"Casein kinase I delta, Lef-1, Casein kinase I alpha, Ubiquitin, GSK3 alpha/beta, CtBP, Skp2/TrCP/FBXW, Axin, Tcf(Lef), beta-TrCP, Clathrin",
288,Development_Schema: Methods of somatic cell reprogramming into induced pluripotent stem cells,6,2.985E-03,2.210E-02,1.185E-02,4.861E-02,4,"KLF4, NANOG, SOX2, LIN-28",2.985E-03,2.210E-02,5,"KLF4, c-Myc, NANOG, SOX2, LIN-28",
289,Development_FGF2-induced self-renewal of adult neural stem cells,40,3.002E-03,2.096E-02,3.002E-03,2.096E-02,15,"MEK1(MAP2K1), hASH1, GRB2, GAB1, H-Ras, ERK1/2, c-Raf-1, FRS2, FGFR1, IP3 receptor, Cystatin C, PKC, PI3K reg class IA, AKT(PKB), PDK (PDPK1)",2.547E-02,8.368E-02,15,"GRB2, GAB1, H-Ras, ERK1/2, FRS2, FGFR1, IP3 receptor, Cystatin C, PI3K reg class IA, AKT(PKB), PDK (PDPK1), MBD1, hASH1, PKC, SHP-2",
290,Chemoresistance pathways mediated by constitutive activation of PI3K pathway and BCL-2 in small cell lung cancer,42,3.006E-03,2.214E-02,1.318E-02,5.249E-02,14,"MGF, FGFR1, PI3K reg class IA (p85), FOXO4, p70 S6 kinase1, PI3K reg class IA, Bcl-2, FAK1, Bcl-XL, IGF-1 receptor, AKT(PKB), IGF-1, PDK (PDPK1), p70 S6 kinase2",3.006E-03,2.214E-02,18,"IRS-1, FGFR1, PI3K reg class IA (p85), PI3K reg class IA, Bcl-XL, IGF-1 receptor, AKT(PKB), PDK (PDPK1), PARP-1, MGF, 4E-BP1, Caspase-7, FOXO4, p70 S6 kinase1, Bcl-2, FAK1, IGF-1, p70 S6 kinase2",
291,Role of neurotrophins in activation of p53 in major depressive disorder,39,3.138E-03,2.289E-02,2.669E-01,4.228E-01,9,"AKT1, GRB2, GAB1, H-Ras, p21, NRAGE(MAGED1), PI3K reg class IA, Bcl-2, JNK(MAPK8-10)",3.138E-03,2.289E-02,17,"TrkA, AKT1, GRB2, GAB1, H-Ras, p21, Rac1, Plasminogen, PI3K reg class IA, NT-3, TrkC, Plasmin, NRAGE(MAGED1), MKK7 (MAP2K7), MEKK1(MAP3K1), Bcl-2, JNK(MAPK8-10)",
292,Activation of Notch signaling in breast cancer,39,3.138E-03,2.289E-02,3.880E-02,1.141E-01,12,"E-cadherin, Neuregulin 1, H-Ras, Presenilin 1, Presenilin, KLF4, STAT3, DLL1, ErbB2, MSI1, MEK6(MAP2K6), p38 MAPK",3.138E-03,2.289E-02,17,"microRNA 200c, H-Ras, Presenilin 1, KLF4, Rac1, miR-141-3p, miR-200c-3p, DLL1, ErbB2, MEK6(MAP2K6), HEY1, E-cadherin, microRNA 141, c-Jun, Presenilin, MSI1, p38 MAPK",
293,Immune response_CRTH2 signaling in Th2 cells,44,3.176E-03,2.154E-02,3.176E-03,2.154E-02,16,"Calcineurin A (catalytic), CRTH2, G-protein alpha-i family, Cytochrome c, ITGAM, IP3 receptor, Calmodulin, PKC, PLC-beta, Adenylate cyclase, Bcl-XL, CD40(TNFRSF5), IL-4, AKT(PKB), PDK (PDPK1), CD40L(TNFSF5)",5.464E-03,3.179E-02,18,"Calcineurin A (catalytic), 14-3-3, Cytochrome c, IP3 receptor, BAD, PLC-beta, Adenylate cyclase, IL-13, Bcl-XL, IL-4, AKT(PKB), PDK (PDPK1), G-protein alpha-i family, ITGAM, Calmodulin, PKC, CD40(TNFRSF5), PI3K reg class IB (p101)",
294,Huntingtin-depended transcription deregulation in Huntington's Disease,24,3.197E-03,2.301E-02,6.210E-03,3.221E-02,10,"NFYB, Huntingtin, NR1, ARLY, HSPA1A, TAF4 (TAFII130), TR-beta, CNR1, SP1, C/EBPalpha",3.197E-03,2.301E-02,12,"NFYB, Huntingtin, NR1, ARLY, TR-beta, CNR1, TBP, HSPA1A, TAF4 (TAFII130), SP1, CtBP1, C/EBPalpha",
295,Tinnitus-associated changes in auditory pathway ,82,3.214E-03,2.301E-02,5.715E-02,1.450E-01,21,"nAChR alpha-10, GluR5, NR1, GABA-A receptor delta subunit, mGluR4A, Gephyrin, GABA-A receptor alpha-5 subunit, GBR2, GluR2, GABA-A receptor beta-3 subunit, GRIK4, KCNQ3, GABA-A receptor, GRIK5, GluR3, GABA-A receptor alpha-6 subunit, GABA-A receptor alpha-3 subunit, GABRG1, GRID2, GABA-A receptor gamma-2 subunit, GLRA",3.214E-03,2.301E-02,30,"nAChR alpha-10, GluR5, NR1, GABA-A receptor delta subunit, mGluR4A, NMDA receptor, KCNQ3, GABA-A receptor, GRIK5, GABA-A receptor alpha-6 subunit, nAChR, GABA-A receptor alpha-2 subunit, GABA-A receptor gamma-3 subunit, GABA-A receptor gamma-2 subunit, GLRA, GABA-A receptor beta-2 subunit, GABA-A receptor alpha-4 subunit, GABA-A receptor beta-1 subunit, mGluR3, GABA-A receptor alpha-1 subunit, GABA-A receptor alpha-4/beta-2/delta, Gephyrin, GABA-A receptor alpha-5 subunit, GBR2, GluR2, GABA-A receptor beta-3 subunit, GRIK4, GluR1, NR2D, KCNQ2",
296,Higher ESR1 / ESR2 ratio in breast cancer,36,3.247E-03,2.301E-02,8.037E-03,3.788E-02,13,"PDGF-B, ESR1 (nuclear), ErbB3, BTG2, p21, ESR2 (nuclear), ErbB2, PTEN, p130, Cyclin D1, AKT(PKB), SP1, p27KIP1",3.247E-03,2.301E-02,16,"PDGF-B, ESR1 (nuclear), ErbB3, p21, ESR2 (nuclear), ErbB2, p130, AKT(PKB), p27KIP1, c-Myc, ARNT, c-Jun, BTG2, PTEN, Cyclin D1, SP1",
297,Neuroendocrine transdifferentiation in Prostate Cancer,48,3.295E-03,2.154E-02,3.295E-03,2.154E-02,17,"MEK1(MAP2K1), Tuberin, GRB2, H-Ras, PKA-reg (cAMP-dependent), c-Raf-1, p21, AMACR, STAT3, p70 S6 kinase1, Keratin 18, IGF-1 receptor, AKT(PKB), IGF-1, PDK (PDPK1), ERK1 (MAPK3), IL-6 receptor",1.520E-02,6.141E-02,18,"Tuberin, GRB2, H-Ras, PKA-reg (cAMP-dependent), p21, AMACR, PCDH11Y, Keratin 18, IGF-1 receptor, AKT(PKB), PDK (PDPK1), ERK1 (MAPK3), Chromogranin A, Tcf(Lef), PTP-1B, p70 S6 kinase1, IGF-1, IL-6 receptor",
298,Signal transduction_Adenosine A3 receptor signaling pathway,48,3.295E-03,2.154E-02,3.295E-03,2.154E-02,17,"G-protein alpha-i family, H-Ras, ERK1/2, G-protein alpha-q/11, NFKBIA, IP3 receptor, STAT3, PI3K reg class IA (p85), PKC, PLC-beta, Adenylate cyclase, Bcl-2, MEK1/2, Rho GTPase, AKT(PKB), PDK (PDPK1), p38 MAPK",1.520E-02,6.141E-02,18,"H-Ras, ERK1/2, G-protein alpha-q/11, IP3 receptor, BAD, PI3K reg class IA (p85), PLC-beta, Adenylate cyclase, AKT(PKB), PDK (PDPK1), PKC-delta, G-protein alpha-i family, NFKBIA, PKC, Bcl-2, Rho GTPase, PI3K reg class IB (p101), p38 MAPK",
