Enrichment analysis report,,,,,,,,,,,,,
Enrichment by Pathway Maps,,,,,transformed_FC,,,,rna_all_FC,,,,
#,Maps,Total,min(pValue),Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",p-value,FDR,In Data,"Network Objects from
Active Data",
598,TNF-alpha and IL-1 beta induce hyperglycemia in obesity and type 2 diabetes in adipocytes,35,2.235E-04,6.399E-04,2.235E-04,6.399E-04,23,"TNF-R2, GPX3, IRS-1, NGAL, PKC-zeta, GLUT4, APP, IL-1 beta, SOCS3, MEK2(MAP2K2), TPL2(MAP3K8), NF-kB, ERK2 (MAPK1), TNF-R1, TNF-alpha, Sequestosome 1(p62), RelA (p65 NF-kB subunit), Sortilin, PTP-1B, JNK1(MAPK8), IRAK1, AKT2, p38 MAPK",4.733E-03,9.071E-03,19,"TNF-R2, NGAL, APP, GRB14, IL-1 beta, SOCS3, MEK2(MAP2K2), TPL2(MAP3K8), NF-kB, ERK2 (MAPK1), TNF-R1, TNF-alpha, MEK1(MAP2K1), Sequestosome 1(p62), RelA (p65 NF-kB subunit), Sortilin, JNK1(MAPK8), IRAK1, p38 MAPK",
599,Development_Growth hormone signaling via STATs and PLC/IP3,35,2.235E-04,6.399E-04,2.235E-04,6.399E-04,23,"Tensin, STAT5A, Fibrinogen beta, SOCS1, CRK, IRF1, STAT5B, STAT1, RAP-1A, PLC-gamma 1, SOCS3, Fyn, c-Src, JAK2, PKC-delta, c-Jun, PTP-1B, C3G, JNK1(MAPK8), Paxillin, p130CAS, PLC-gamma, ADAM17",4.733E-03,9.071E-03,19,"Tensin, STAT5A, Somatotropin, SOCS1, CRK, IRF1, STAT5B, STAT1, RAP-1A, PLC-gamma 1, SOCS3, Fyn, c-Src, JAK2, JNK1(MAPK8), STAT3, p130CAS, PLC-gamma, ADAM17",
600,Role of GSK3 beta in cardioprotection against myocardial infarction,33,2.241E-04,6.399E-04,2.241E-04,6.399E-04,22,"TOM20, MPTP complex, RAMP2, Enkephalin A, AM-R, Intermedin, Plasma kallikrein, PI3K reg class IA (p85), GSK3 beta, PI3K reg class IA, Caspase-3, VDAC 1, MMP-8, AKT(PKB), ANT, PI3K cat class IA, Metenkefalin, Adrenomedullin, Delta-type opioid receptor, EGFR, Bradykinin, CRLR",3.316E-02,5.089E-02,16,"RAMP2, Enkephalin A, Intermedin, Plasma kallikrein, PI3K reg class IA (p85), GSK3 beta, PI3K reg class IA, Caspase-3, VDAC 1, MMP-8, AKT(PKB), PI3K cat class IA, Metenkefalin, Adrenomedullin, EGFR, CRLR",
601,Interaction of deficient alpha-MSH signaling with TNF-alpha in melanoma,33,2.241E-04,6.399E-04,2.241E-04,6.399E-04,22,"ICAM1, PKA-reg (cAMP-dependent), Fibronectin, Vimentin, TMSB4X, IKK-alpha, SIP1 (ZFHX1B), NF-kB, Catalase, NF-kB p50/p65, alpha-MSH, MC1R, TNF-alpha, N-cadherin, ITGB1, RelA (p65 NF-kB subunit), NF-kB1 (p50), COX-2 (PTGS2), GPX1, SLUG, MMP-9, PKA-cat (cAMP-dependent)",5.944E-04,1.514E-03,20,"ICAM1, Fibronectin, Vimentin, TMSB4X, SIP1 (ZFHX1B), NF-kB, Catalase, NF-kB p50/p65, alpha-MSH, MC1R, TNF-alpha, N-cadherin, ITGB1, RelA (p65 NF-kB subunit), NF-kB1 (p50), COX-2 (PTGS2), GPX1, SLUG, MMP-9, PKA-cat (cAMP-dependent)",
602,LRRK2 in neurons in Parkinson's disease,33,2.241E-04,6.399E-04,2.241E-04,6.399E-04,22,"NSF, ERK1/2, 14-3-3, PKC-zeta, Rac1, Ubiquitin, GSK3 beta, AP-2 alpha subunits, MSN (moesin), MEK1/2, Actin cytoskeletal, HSP90, ACTB, Tubulin (in microtubules), Alpha-synuclein, MARKK, Actin cytoplasmic 2, RDX (radixin), AP2A2, Beta-adaptin 2, PKA-cat (cAMP-dependent), eEF1A",1.430E-02,2.413E-02,17,"ERK1/2, AP2A1, 14-3-3, Ubiquitin, GSK3 beta, AP-2 alpha subunits, MSN (moesin), MEK1/2, Actin cytoskeletal, HSP90, ACTB, Tubulin (in microtubules), Alpha-synuclein, Actin cytoplasmic 2, RDX (radixin), Beta-adaptin 2, PKA-cat (cAMP-dependent)",
603,Development_Schema: Embryonal cardiomyogenesis,8,2.337E-04,6.659E-04,2.337E-04,6.659E-04,8,"WNT3A, DKK1, WNT11, SFRP5, WNT1, WNT 8A, Jagged1, BMP2",1.527E-02,2.551E-02,6,"DKK1, WNT11, SFRP5, WNT 8A, Jagged1, BMP2",
604,Role of type 2 innate lymphoid cells in airway allergic inflammation and tissue repair,38,2.396E-04,7.280E-04,1.239E-03,2.833E-03,23,"IL-7 receptor, IL-7, JAK1, RPS6, TSLP, IL17BR, IL-13, CRLF2, IL-2R alpha chain, IL-2, JAK2, IL7RA, ETS1, EGFR, IL-5, JAK3, PI3K cat class IA (p110-delta), ST2(L), IL-33, IL-2R gamma chain, STAT5, mTOR, TSLPR",2.396E-04,7.280E-04,23,"IL-7 receptor, IL-7, JAK1, RPS6, TSLP, IL17BR, CRLF2, IL-2, JAK2, IL7RA, ROR-alpha, CRTH2, ETS1, EGFR, IL-5, JAK3, PI3K cat class IA (p110-delta), ST2(L), IL-33, IL-2R gamma chain, STAT5, mTOR, TSLPR",
605,Role of type 2 innate lymphoid cells in asthma,38,2.396E-04,7.280E-04,1.239E-03,2.833E-03,23,"IL-7 receptor, IL-7, JAK1, RPS6, TSLP, IL17BR, IL-13, CRLF2, IL-2R alpha chain, IL-2, FPRL1, JAK2, IL7RA, ETS1, IL-5, JAK3, PI3K cat class IA (p110-delta), ST2(L), IL-33, IL-2R gamma chain, STAT5, mTOR, TSLPR",2.396E-04,7.280E-04,23,"IL-7 receptor, IL-7, JAK1, RPS6, TSLP, IL17BR, CRLF2, IL-2, FPRL1, JAK2, IL7RA, ROR-alpha, CRTH2, ETS1, IL-5, JAK3, PI3K cat class IA (p110-delta), ST2(L), IL-33, IL-2R gamma chain, STAT5, mTOR, TSLPR",
606,Development_FGFR signaling pathway,54,2.539E-04,7.194E-04,2.539E-04,7.194E-04,32,"ERK1/2, Syndecan-4, CRK, Rac1, IP3 receptor, Ubiquitin, Shc, EPS8, PI3K reg class IA, PLC-gamma 1, MEK2(MAP2K2), CREB1, AKT(PKB), E3b1(ABI-1), MLK3(MAP3K11), PI3K cat class IA, c-Cbl, PKC-delta, DOCK1, c-Jun, FGF2, SOS, MEK4(MAP2K4), MEKK1(MAP3K1), ATF-2, SHP-2, Perlecan, JNK(MAPK8-10), SHB, p38 MAPK, Elk-1, Syndecan-2",6.700E-04,1.695E-03,29,"ERK1/2, Syndecan-4, CRK, c-Raf-1, IP3 receptor, Ubiquitin, Shc, EPS8, PI3K reg class IA, PLC-gamma 1, MEK2(MAP2K2), CREB1, AKT(PKB), E3b1(ABI-1), MEK1(MAP2K1), MLK3(MAP3K11), PI3K cat class IA, c-Cbl, DOCK1, FGF2, SOS, MEK4(MAP2K4), ATF-2, Perlecan, JNK(MAPK8-10), SHB, p38 MAPK, Elk-1, Syndecan-2",
607,Cytoskeleton remodeling_Keratin filaments,36,2.688E-04,8.052E-04,1.317E-03,2.986E-03,22,"Keratin 5, Keratin 6C, Plakophilin 1, Plakophilin 2, Vimentin, CDK1 (p34), Keratin 17, Keratin 14, Tubulin gamma 1, Desmoplakin, Actin cytoskeletal, Tubulin (in microtubules), Plectin 1, Tubulin beta, Keratin 7, 14-3-3 gamma, BPAG1, Keratin 5/14, Tubulin alpha, Keratin 16, Keratin 6A, JNK(MAPK8-10)",2.688E-04,8.052E-04,22,"Keratin 5, Keratin 6C, Plakophilin 1, Plakophilin 2, Vimentin, CDK1 (p34), Keratin 17, Keratin 14, Tubulin gamma 1, Desmoplakin, Actin cytoskeletal, Tubulin (in microtubules), Plectin 1, Tubulin beta, 14-3-3 gamma, BPAG1, Keratin 5/14, Keratin 13, Tubulin alpha, Keratin 16, Keratin 6A, JNK(MAPK8-10)",
608,IGF-1 signaling in pancreatic cancer,36,2.688E-04,8.052E-04,1.317E-03,2.986E-03,22,"JAK1, IRS-2, IRS-1, ERK1/2, PKC-zeta, VEGF-A, Shc, NUAK1, PI3K reg class IA, MEK2(MAP2K2), MMP-2, AMPK alpha 1 subunit, JAK2, PI3K cat class IA, HIF1A, HIF-1, SOS, COX-2 (PTGS2), ATM, MMP-14, MMP-9, mTOR",2.688E-04,8.052E-04,22,"JAK1, IRS-2, ERK1/2, VEGF-A, c-Raf-1, Shc, NUAK1, PI3K reg class IA, MEK2(MAP2K2), MMP-2, AMPK alpha 1 subunit, MEK1(MAP2K1), JAK2, PI3K cat class IA, HIF1A, SOS, STAT3, COX-2 (PTGS2), ATM, MMP-14, MMP-9, mTOR",
609,Development_Thrombospondin 1 signaling,36,2.688E-04,8.052E-04,4.136E-04,1.101E-03,23,"TGF-beta 1, alpha-4/beta-1 integrin, alpha-9/beta-1 integrin, VEGF-A, PKA-reg (cAMP-dependent), VEGFR-2, Caspase-8, MLCP (reg), Adenylate cyclase, Caspase-3, G-protein beta/gamma, Fyn, Guanylate Cyclase 1, soluble, MLCP (cat), alpha-3/beta-1 integrin, VLDLR, ITGB3, G-protein alpha-i family, FGF2, Thrombospondin 1, p38 MAPK, PKA-cat (cAMP-dependent), CD47",2.688E-04,8.052E-04,22,"TGF-beta 1, alpha-4/beta-1 integrin, alpha-9/beta-1 integrin, VEGF-A, VEGFR-2, Caspase-8, MLCP (reg), Adenylate cyclase, Caspase-3, G-protein beta/gamma, Fyn, Guanylate Cyclase 1, soluble, MLCP (cat), alpha-3/beta-1 integrin, VLDLR, ITGB3, G-protein alpha-i family, FGF2, Thrombospondin 1, p38 MAPK, PKA-cat (cAMP-dependent), CD47",
610,Development_Self-renewal of adult neural stem cells,52,2.719E-04,7.660E-04,2.719E-04,7.660E-04,31,"p14ARF, NOTCH1 receptor, HES5, GFAP, HDAC3, Smoothened, GLI-2, Cyclin D2, HDAC2, WNT7A, NRSF, Nestin, NeuroD1, RBP-J kappa (CBF1), p16INK4, NOTCH1 (NICD), MeCP2, Sin3A, PTCH1, MAML1, TBP, HDAC5, FKHL1, DLL4, HES1, TLX, HDAC1, GLI-1, ATH1, NOTCH1 (NEXT), ADAM17",7.806E-04,1.929E-03,28,"p14ARF, NOTCH1 receptor, HES5, GFAP, HDAC3, Smoothened, GLI-2, Cyclin D2, HDAC2, WNT7A, Nestin, NeuroD1, RBP-J kappa (CBF1), p16INK4, NOTCH1 (NICD), MeCP2, Sin3A, PTCH1, HDAC5, NeuroD4, FKHL1, HES1, TLX, HDAC1, GLI-1, ATH1, NOTCH1 (NEXT), ADAM17",
611,Differentiation of Th2 cells in asthma,45,2.751E-04,8.208E-04,5.791E-04,1.437E-03,27,"OX40L(TNFSF4), MHC class II, CCL20, NOTCH1 receptor, IP10, JAK1, CCL2, IL-4R type I, CD28, OX40(TNFRSF4), TSLP, PI3K reg class IA, IKK-alpha, GM-CSF, CD4, AKT(PKB), JAK2, PI3K cat class IA, NF-kB p50/RelB, Histamine H2 receptor, CXCR3, Histamine H1 receptor, CD3, Jagged1, CCR4, CD86, TSLPR",2.751E-04,8.208E-04,26,"OX40L(TNFSF4), MHC class II, CCL20, NOTCH1 receptor, IP10, JAK1, CCL2, IL-4R type I, CD28, OX40(TNFRSF4), TSLP, PI3K reg class IA, GM-CSF, CD4, AKT(PKB), JAK2, CD80, PI3K cat class IA, NF-kB p50/RelB, Histamine H2 receptor, Histamine H1 receptor, CD3, Jagged1, CCR4, CD86, TSLPR",
612,Modulation of tumor response to cytotoxic T cells by hypoxia in tumors,50,2.905E-04,8.077E-04,2.905E-04,8.077E-04,30,"NIX, VHL, ERK1/2, CD28, VEGF-A, 5'-NTD, VEGFR-2, Perforin, Ubiquitin, MHC class I, CTLA-4, FasL(TNFSF6), AKT(PKB), c-Src, ARNT, Sequestosome 1(p62), JAK2, HIF1A, HIF-1, PTP-1B, CD137(TNFRSF9), CD8, FasR(CD95), Beclin 1, PD-1, CD137 ligand(TNFSF9), HOXA1, HIF-prolyl hydroxylase, CD86, PD-L1",2.309E-03,4.889E-03,26,"NIX, VHL, ERK1/2, CD28, VEGF-A, 5'-NTD, VEGFR-2, Ubiquitin, MHC class I, CTLA-4, AKT(PKB), c-Src, Sequestosome 1(p62), JAK2, CD80, HIF1A, CD137(TNFRSF9), STAT3, CD8, FasR(CD95), PD-1, CD137 ligand(TNFSF9), HOXA1, HIF-prolyl hydroxylase, CD86, PD-L1",
613,Immune response_C5a signaling,50,2.905E-04,8.077E-04,2.905E-04,8.077E-04,30,"SPHK1, PLD1, C5a, ERK1/2, Rac2, PI3K cat class IB (p110-gamma), p47-phox, Rac1, BAD, IL-1 beta, I-kB, PLC-beta, CREB1, MEK1/2, G-protein beta/gamma, NF-kB, AKT(PKB), NF-kB p50/p65, TNF-alpha, B-Raf, IL-8, G-protein alpha-i family, c-Jun, p90Rsk, AP-1, PKC, Oncostatin M, JNK(MAPK8-10), p38 MAPK, PAI1",3.323E-04,9.509E-04,28,"SPHK1, PLD1, C5a, ERK1/2, c-Raf-1, Rac2, PI3K cat class IB (p110-gamma), p47-phox, IL-1 beta, I-kB, PLC-beta, CREB1, MEK1/2, G-protein beta/gamma, NF-kB, AKT(PKB), NF-kB p50/p65, TNF-alpha, B-Raf, IL-8, G-protein alpha-i family, p67-phox, p90Rsk, PKC, Oncostatin M, JNK(MAPK8-10), p38 MAPK, PAI1",
614,Development_HGF-dependent inhibition of TGF-beta-induced EMT,34,3.001E-04,8.840E-04,4.081E-03,7.992E-03,20,"Arkadia, TGF-beta 1, Sno-N, ERK1/2, TGIF, SMAD2, MEK2(MAP2K2), CREB1, SMURF, HGF, SMAD7, TGF-beta receptor type II, c-Jun, PGES, SOS, p90Rsk, COX-2 (PTGS2), HGF receptor (Met), Elk-1, TGF-beta receptor type I",3.001E-04,8.840E-04,21,"Arkadia, TGF-beta 1, Sno-N, ERK1/2, TGIF, c-Raf-1, SMAD2, MEK2(MAP2K2), CREB1, SMURF, HGF, MEK1(MAP2K1), SMAD7, TGF-beta receptor type II, PGES, SOS, p90Rsk, COX-2 (PTGS2), HGF receptor (Met), Elk-1, TGF-beta receptor type I",
615,NK cells in allergic contact dermatitis,34,3.001E-04,8.840E-04,1.394E-03,3.136E-03,21,"MHC class II, CCL20, NCAM1, IP10, ICAM1, CCL2, HLA-DRA1, IRF1, Perforin, STAT1, FasL(TNFSF6), NF-kB, TNF-R1, IL-2, TNF-alpha, IFN-gamma receptor, KLRK1 (NKG2D), CXCR3, FasR(CD95), CIITA, STAT5",3.001E-04,8.840E-04,21,"MIG, MHC class II, CCL20, NCAM1, IP10, ICAM1, CCL2, IFN-gamma, HLA-DRA1, IRF1, STAT1, NF-kB, TNF-R1, NKp44, IL-2, TNF-alpha, IFN-gamma receptor, KLRK1 (NKG2D), FasR(CD95), CIITA, STAT5",
616,Gamma-secretase proteolytic targets,76,3.016E-04,8.840E-04,2.746E-03,5.650E-03,39,"NGFR(TNFRSF16), NOTCH1 receptor, CD44, alphaAPPs, BACE1, APP-C99, N-cadherin (CTF1), CD44 (ICD), Jagged2, APP, NOTCH2 (2ICD), NOTCH4 (ICD4), NGFR (ICD), ADAM9, CD44 soluble, Jagged2 (CTF2), CD44 (EXT), BACE2, NOTCH4, APP-C83 (CTF), N-cadherin (CTF2), ADAM10, NOTCH1 (NICD), N-cadherin, ErbB4(CTF), ErbB4, NOTCH2, ErbB4(ICD), Jagged2 (CTF1), NOTCH3 (3ICD), NGFR (CTF), Ephrin-B2 (CTF2), Amyloid beta 40, NOTCH1 (NEXT), Ephrin-B2, ADAM17, APP-C59 (AICD), NOTCH3, Amyloid beta 42",3.016E-04,8.840E-04,39,"NGFR(TNFRSF16), NOTCH1 receptor, CD44, alphaAPPs, BACE1, APP-C99, N-cadherin (CTF1), CD44 (ICD), Jagged2, APP, NOTCH2 (2ICD), NOTCH4 (ICD4), NGFR (ICD), ADAM9, CD44 soluble, Jagged2 (CTF2), CD44 (EXT), BACE2, NOTCH4, APP-C83 (CTF), N-cadherin (CTF2), ADAM10, NOTCH1 (NICD), N-cadherin, ErbB4(CTF), ErbB4, NOTCH2, ErbB4(ICD), Jagged2 (CTF1), NOTCH3 (3ICD), NGFR (CTF), Ephrin-B2 (CTF2), Amyloid beta 40, NOTCH1 (NEXT), Ephrin-B2, ADAM17, APP-C59 (AICD), NOTCH3, Amyloid beta 42",
617,Signal transduction_Adenosine A3 receptor signaling pathway,48,3.094E-04,8.587E-04,3.094E-04,8.587E-04,29,"MPTP complex, ERK1/2, VEGF-A, G-protein alpha-q/11, G-protein alpha-i2, PI3K cat class IB (p110-gamma), IP3 receptor, BAD, IL-1 beta, PI3K reg class IA (p85), GSK3 beta, PLC-beta, Adenylate cyclase, CREB1, MEK1/2, G-protein beta/gamma, AKT(PKB), TNF-alpha, PI3K cat class IA, RelA (p65 NF-kB subunit), HIF1A, PKC-delta, G-protein alpha-i family, G-protein alpha-i3, PKC, Rho GTPase, PI3K reg class IB (p101), p38 MAPK, IL-12 beta",1.059E-03,2.486E-03,26,"ERK1/2, VEGF-A, G-protein alpha-q/11, G-protein alpha-i2, PI3K cat class IB (p110-gamma), IP3 receptor, IL-1 beta, PI3K reg class IA (p85), GSK3 beta, PLC-beta, Adenylate cyclase, CREB1, MEK1/2, G-protein beta/gamma, AKT(PKB), TNF-alpha, PI3K cat class IA, RelA (p65 NF-kB subunit), HIF1A, G-protein alpha-i family, G-protein alpha-i3, STAT3, PKC, Rho GTPase, p38 MAPK, IL-12 beta",
618,Myeloid-derived suppressor cells and M2 macrophages in cancer,64,3.121E-04,9.094E-04,1.029E-02,1.806E-02,32,"IDO1, TGF-beta 1, Calgranulin A, HMGB1, IL-10, M-CSF receptor, C5a, SLC7A11, ID1, VEGF-A, STAT1, IL-1 beta, GM-CSF, IL-13, IL-6, NF-kB, PPAR-gamma, PGE2R2, PGE2R4, iNOS, HIF1A, C/EBPbeta, IL4RA, CSF1, PKC-beta2, RAGE, COX-2 (PTGS2), Calgranulin B, TLR4, EPAS1, STAT5, PD-L1",3.121E-04,9.094E-04,34,"IRF8, IDO1, TGF-beta 1, Calgranulin A, HMGB1, IL-10, M-CSF receptor, C5a, SLC7A11, ID1, VEGF-A, IL-17, STAT1, IL-1 beta, GM-CSF, IL-6, NF-kB, PPAR-gamma, PGE2R2, PGE2R4, iNOS, HIF1A, C/EBPbeta, IL4RA, CSF1, PKC-beta2, RAGE, STAT3, COX-2 (PTGS2), Calgranulin B, TLR4, EPAS1, STAT5, PD-L1",
619,Development_ACM2 and ACM4 activation of ERK,43,3.146E-04,9.098E-04,1.729E-03,3.753E-03,25,"ERK1/2, EGR1, Caldesmon, PKC-epsilon, G-protein alpha-i2, PI3K cat class IB (p110-gamma), IP3 receptor, RAP-1A, Shc, PLC-beta, MEK2(MAP2K2), ACM4, CREB1, G-protein beta/gamma, Fyn, Pyk2(FAK2), PKC-delta, ACM2, EGFR, G-protein alpha-i family, G-protein alpha-o, SOS, Calmodulin, PKC-alpha, Elk-1",3.146E-04,9.098E-04,25,"ERK1/2, Caldesmon, c-Raf-1, PKC-epsilon, G-protein alpha-i2, PI3K cat class IB (p110-gamma), IP3 receptor, RAP-1A, Shc, PLC-beta, MEK2(MAP2K2), ACM4, CREB1, G-protein beta/gamma, Fyn, MEK1(MAP2K1), Pyk2(FAK2), EGFR, G-protein alpha-i family, G-protein alpha-o, SOS, p90RSK1, Calmodulin, PKC-alpha, Elk-1",
620,Nicotine / nAChR alpha-7 signaling in NSCLC,43,3.146E-04,9.098E-04,1.043E-02,1.826E-02,23,"RHEB2, ERK1/2, VEGF-A, Fibronectin, PI3K reg class IA (p85), PPAR-beta(delta), CDK4, MEK2(MAP2K2), CREB1, AKT(PKB), Calpain 1(mu), c-Src, nAChR alpha-7, PI3K cat class IA, HIF1A, Calpain 2(m), p90Rsk, CDK2, Calmodulin, PKC-alpha, PKC-lambda/iota, Cyclin E, mTOR",3.146E-04,9.098E-04,25,"RHEB2, ERK1/2, VEGF-A, c-Raf-1, Fibronectin, PI3K reg class IA (p85), PPAR-beta(delta), CDK4, MEK2(MAP2K2), CREB1, AKT(PKB), Calpain 1(mu), c-Src, MEK1(MAP2K1), nAChR alpha-7, PI3K cat class IA, HIF1A, Calpain 2(m), p90Rsk, CDK2, Calmodulin, PKC-alpha, PKC-lambda/iota, Cyclin E, mTOR",
621,Regulation of Tissue factor signaling in cancer,43,3.146E-04,9.098E-04,6.175E-04,1.516E-03,26,"TNF-R2, ERK1/2, EGR1, VEGF-A, VEGFR-2, Heparanase 1, NF-kB p65/c-Rel, PSGL-1, MEK2(MAP2K2), ERK2 (MAPK1), AKT(PKB), TNF-R1, P-selectin, TNF-alpha, EGFR, c-Jun, Tissue factor, JNK1(MAPK8), PI3K cat class IA (p110-alpha), AP-1, c-Jun/c-Jun, EPAS1, p53, Elk-1, SRF, mTOR",3.146E-04,9.098E-04,25,"TNF-R2, ERK1/2, VEGF-A, c-Raf-1, VEGFR-2, Heparanase 1, NF-kB p65/c-Rel, PSGL-1, MEK2(MAP2K2), ERK2 (MAPK1), AKT(PKB), TNF-R1, P-selectin, CD40L(TNFSF5), TNF-alpha, MEK1(MAP2K1), EGFR, Tissue factor, JNK1(MAPK8), PI3K cat class IA (p110-alpha), EPAS1, p53, Elk-1, SRF, mTOR",
622,Immune response_IL-9 signaling pathway,61,3.179E-04,8.792E-04,3.179E-04,8.792E-04,35,"TGF-beta 1, Scinderin, JAK1, IRS-2, CCL2, IRS-1, ERK1/2, VEGF-A, IL-22, Pim-1, STAT1, Fc epsilon RI alpha, Shc, PI3K reg class IA (p85), SOCS3, Chymase, IL-13, MEK1/2, Eotaxin, AKT(PKB), c-Myc, PI3K cat class IA, MC-CPA, VCAM1, 14-3-3 zeta/delta, IL-5, Granzyme A, JAK3, p90Rsk, CCL7, IL5RA, IL-2R gamma chain, STAT5, IL-12 beta, mTOR",6.220E-04,1.576E-03,32,"TGF-beta 1, JAK1, IRS-2, CCL2, IFN-gamma, ERK1/2, VEGF-A, c-Raf-1, IL-22, Pim-1, STAT1, Fc epsilon RI alpha, Shc, PI3K reg class IA (p85), SOCS3, MEK1/2, Eotaxin, AKT(PKB), PI3K cat class IA, MC-CPA, VCAM1, 14-3-3 zeta/delta, IL-5, Granzyme A, JAK3, p90Rsk, CCL7, STAT3, IL-2R gamma chain, STAT5, IL-12 beta, mTOR",
623,Role of GIP in pathogenesis of type 2 diabetes,46,3.285E-04,9.016E-04,3.285E-04,9.016E-04,28,"Apaf-1, ERK1/2, PKA-reg (cAMP-dependent), BAD, Ubiquitin, RAP-1A, Bax, FKHR, Caspase-3, CREB1, MEK1/2, Kv1.4, AMPK alpha 1 subunit, AKT(PKB), B-Raf, cAMP-GEFII, ASK1 (MAP3K5), MEK3(MAP2K3), AMPK alpha subunit, GIP, PP2A catalytic, Caspase-9, MKK7 (MAP2K7), MEK4(MAP2K4), Adenylate cyclase type VIII, JNK(MAPK8-10), p38 MAPK, PKA-cat (cAMP-dependent)",1.234E-03,2.838E-03,25,"p38alpha (MAPK14), Apaf-1, ERK1/2, Ubiquitin, RAP-1A, Bax, FKHR, Caspase-3, CREB1, MEK1/2, AMPK alpha 1 subunit, AKT(PKB), B-Raf, cAMP-GEFII, ASK1 (MAP3K5), MEK3(MAP2K3), AMPK alpha subunit, GIP, PP2A catalytic, Caspase-9, MEK4(MAP2K4), Adenylate cyclase type VIII, JNK(MAPK8-10), p38 MAPK, PKA-cat (cAMP-dependent)",
624,Transcription_Hypoxia- and receptor-mediated HIF-1 activation,46,3.285E-04,9.016E-04,3.285E-04,9.016E-04,28,"CBP, VHL, RPS6, eIF4E, ERK1/2, HB-EGF, GPNMB (Osteoactivin), IL-1 beta, GSK3 beta, FKHR, IGF-2, MEK1/2, AKT(PKB), HGF, ARNT, PI3K cat class IA, HIF1A, EGFR, HIF-1, LINC01139, MNK1, p300, NCOA2 (GRIP1/TIF2), 4E-BP1, HIF-prolyl hydroxylase, NCOA1 (SRC1), p38 MAPK, APEX",4.426E-04,1.193E-03,26,"CBP, VHL, Neuregulin 1, RPS6, ERK1/2, HB-EGF, GPNMB (Osteoactivin), IL-1 beta, GSK3 beta, FKHR, IGF-2, MEK1/2, AKT(PKB), HGF, PI3K cat class IA, HIF1A, EGFR, LINC01139, MNK1, p300, NCOA2 (GRIP1/TIF2), STAT3, HIF-prolyl hydroxylase, NCOA1 (SRC1), p38 MAPK, APEX",
625,Lysophospholipid mediators-induced inflammatory signaling in normal and asthmatic airway epithelium,57,3.291E-04,9.479E-04,9.506E-04,2.218E-03,32,"SPHK1, CCL20, LPAR3, PLD1, PI3K cat class IA (p110-beta), CARD10, ERK1/2, IRF1, TSLP, G-protein alpha-i2, LPAR2, I-kB, PLC-beta, IL-13, MEK1/2, G-protein beta/gamma, NF-kB, AKT(PKB), NF-kB p50/p65, RhoA, G-protein alpha-12 family, LPAR1, PKC-delta, IL-8, Lyn, G-protein alpha-i family, c-Jun, PLD2, COX-2 (PTGS2), JNK(MAPK8-10), p38 MAPK, MMP-9",3.291E-04,9.479E-04,31,"SPHK1, CCL20, LPAR3, PLD1, PI3K cat class IA (p110-beta), CARD10, ERK1/2, c-Raf-1, IRF1, TSLP, G-protein alpha-i2, LPAR2, I-kB, PLC-beta, MEK1/2, G-protein beta/gamma, IL13RA2, NF-kB, AKT(PKB), NF-kB p50/p65, RhoA, G-protein alpha-12 family, LPAR1, IL-8, Lyn, G-protein alpha-i family, PLD2, COX-2 (PTGS2), JNK(MAPK8-10), p38 MAPK, MMP-9",
626,Development_EDNRB signaling,50,3.323E-04,9.509E-04,2.045E-03,4.376E-03,28,"ATF-1, ERK1/2, p90RSK2(RPS6KA3), G-protein alpha-q/11, Endothelin-3, PKC-epsilon, PI3K cat class IB (p110-gamma), IP3 receptor, RAP-1A, Shc, PLC-beta, Endothelin-1, MEK2(MAP2K2), CREB1, G-protein beta/gamma, Guanylate Cyclase 1, soluble, AKT(PKB), c-Src, B-Raf, CALDAG-GEFI, G-protein alpha-i family, Protein kinase G, SOS, EDNRB, p90RSK3(RPS6KA2), Caveolin-1, PI3K reg class IB (p101), Elk-1",3.323E-04,9.509E-04,28,"ATF-1, ERK1/2, p90RSK2(RPS6KA3), c-Raf-1, G-protein alpha-q/11, Endothelin-3, PKC-epsilon, PI3K cat class IB (p110-gamma), IP3 receptor, RAP-1A, Shc, PLC-beta, Endothelin-1, MEK2(MAP2K2), CREB1, G-protein beta/gamma, Guanylate Cyclase 1, soluble, AKT(PKB), c-Src, MEK1(MAP2K1), B-Raf, G-protein alpha-i family, Protein kinase G, SOS, EDNRB, p90RSK3(RPS6KA2), Caveolin-1, Elk-1",
627,Cytoskeleton remodeling_Reverse signaling by Ephrin-B,32,3.333E-04,9.509E-04,4.318E-04,1.120E-03,21,"F-Actin, Beta-catenin, GSK3 beta, NCK2, FAP-1, G-protein beta/gamma, Actin cytoskeletal, c-Src, Axin, CXCR4, WaspIP, Tubulin (in microtubules), PINCH, G-protein alpha-i family, SOS, Paxillin, Tubulin alpha, Ephrin-B, N-WASP, PINCH-2, Ephrin-B receptors",3.333E-04,9.509E-04,20,"F-Actin, Beta-catenin, c-Raf-1, GSK3 beta, NCK2, FAP-1, G-protein beta/gamma, Actin cytoskeletal, c-Src, Axin, CXCR4, WaspIP, Tubulin (in microtubules), PINCH, G-protein alpha-i family, SOS, Tubulin alpha, Ephrin-B, PINCH-2, Ephrin-B receptors",
