Enrichment analysis report,,,,,,,,,
Enrichment by Pathway Maps,,,,,down_genes_070120_genelist,,,,
#,Maps,Total,pValue,Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",
177,Mechanisms of CAM-DR in multiple myeloma,35,1.781E-04,1.408E-03,1.781E-04,1.408E-03,11,"ITGB1, c-IAP2, VCAM1, alpha-4/beta-1 integrin, ICAM1, Cyclin E, WNT3, Cyclin A, alpha-5/beta-1 integrin, Fibronectin, Frizzled",
178,Development_Schema: Adult neuron differentiation in the Subventricular and Subgranular Zones,35,1.781E-04,1.408E-03,1.781E-04,1.408E-03,11,"PROX1, NCAM1, GAD2, Chordin-like 1, MAP2, Nestin, DLX2, GAD1, Vimentin, SLC17A6, NT-3",
179,Role of Bregs in attenuation of T and NK cells mediated anti-tumor immune responses,41,1.949E-04,1.518E-03,1.949E-04,1.518E-03,12,"IP10, CD3, CD1d, TGF-beta receptor type II, CD3 zeta, FasR(CD95), PD-1, CTLA-4, 5'-NTD, FasL(TNFSF6), IL-2R alpha chain, PD-L1",
180,Fibroblast/ myofibroblast proliferation in asthmatic airways,41,1.949E-04,1.518E-03,1.949E-04,1.518E-03,12,"Histamine H1 receptor, IL-1 beta, PI3K cat class IA, PKC, ITGB3, TGF-beta receptor type II, PAR1, CTGF, PDGF-R-alpha, Tissue factor, ECP (RNase 3), EDNRA",
181,Immune response_Alternative complement pathway,53,1.963E-04,1.518E-03,1.963E-04,1.518E-03,14,"PTX3, FHR-1, C6, CRP, C3, Factor I, C3b, C3c, C7, Factor H, iC3b, C3dg, CD21, C3a",
182,Immune response_Induction of the antigen presentation machinery by IFN-gamma,53,1.963E-04,1.518E-03,1.963E-04,1.518E-03,14,"TAP1 (PSF1), HLA-DRB1, MHC class II, PSMB8(LMP7), HLA-B, NLRC5, HLA-A, TAP2 (PSF2), PSMB9, HLA-F, HLA-DRA1, HLA-DQA1, HLA-DMB, Cathepsin S",
183,Immune response_Induction of apoptosis and inhibition of proliferation mediated by IFN-gamma,47,2.000E-04,1.522E-03,2.000E-04,1.522E-03,13,"IL-15, IFI17, IDO1, GBP1, Caspase-12, IFN-alpha, Cyclin E, FasR(CD95), FasL(TNFSF6), Apo-2L(TNFSF10), CTGF, Caspase-1, IFN-beta",
184,Immune response_Role of DPP4 (CD26) in immune regulation,47,2.000E-04,1.522E-03,2.000E-04,1.522E-03,13,"MHC class II, ZAP70, CD3, CD3 zeta, ADA, IL-6, Fyn, DPP4, FasL(TNFSF6), Caveolin-1, c-Src, CARD11, TNF-alpha",
185,Chemotaxis_SDF-1/ CXCR4-induced chemotaxis of immune cells,79,2.012E-04,1.522E-03,2.012E-04,1.522E-03,18,"ITGB1, PI3K cat class IA, VCAM1, PAK, ITGB2, alpha-4/beta-1 integrin, ICAM1, ZAP70, CD3, CD3 zeta, G-protein alpha-i family, F-Actin cytoskeleton, Fyn, AKT(PKB), SFK, PI3K reg class IB (p101), TSAD, Cofilin",
186,CHDI_Correlations from Replication data_Causal network (positive correlations),79,2.012E-04,1.522E-03,2.012E-04,1.522E-03,18,"MHC class II, PI3K cat class IA, IL-1 alpha, PKC-theta, ICAM1, CD44, PKC-alpha, ZAP70, CD3, NR2, IRAK1/2, CD83, MEF2, AKT(PKB), LAT, PI3K reg class IB (p101), NR2A, TLR2",
187,"Development_ROBO2, ROBO3 and ROBO4 signaling pathways",25,2.176E-04,1.638E-03,2.176E-04,1.638E-03,9,"ROBO3, P-cadherin, ROBO2, SLIT2, MYRL2, SLIT3, Myosin II, alpha-5/beta-1 integrin, HIC5",
188,Th17 cytokines in COPD,36,2.356E-04,1.754E-03,2.356E-04,1.754E-03,11,"IL-1 beta, MHC class II, CCL20, GRO-1, IP10, CCL2, IL-8, IL-17F, GM-CSF, IL-6, MMP-9",
189,Role of IL-8 in melanoma,36,2.356E-04,1.754E-03,2.356E-04,1.754E-03,11,"IL-1 beta, B-Raf, ITGB2, ICAM1, IL-8, G-protein alpha-i family, MMP-2, IL-6, Beta-2 adrenergic receptor, AKT(PKB), TNF-alpha",
190,Neuroendocrine transdifferentiation in Prostate Cancer,48,2.518E-04,1.865E-03,2.518E-04,1.865E-03,13,"BMX, Secretogranin 1, GRP(1-27), Oct-3/4, Tcf(Lef), IL-8, EGFR, NT, IL-6, PTHrP, NeuroD1, AKT(PKB), c-Src",
191,SHH signaling in colorectal cancer,31,2.755E-04,2.019E-03,2.755E-04,2.019E-03,10,"B-Raf, PTCH1, WNT, SIP1 (ZFHX1B), FOXC2, GLI-1, PDGF-R-alpha, Vimentin, Frizzled, GLI-2",
192,Fibroblast differentiation to myofibroblasts in asthmatic airways,31,2.755E-04,2.019E-03,2.755E-04,2.019E-03,10,"ITGB1, PI3K cat class IA, TGF-beta receptor type II, ACTA2, alpha-5/beta-1 integrin, AKT(PKB), ITGA5, Fibronectin, ECP (RNase 3), EDNRA",
193,Immune response_T regulatory cell-mediated modulation of effector T cell and NK cell functions,55,2.994E-04,2.181E-03,2.994E-04,2.181E-03,14,"COX-2 (PTGS2), PGE2R2, STAT4, TGF-beta receptor type II, T-bet, Galectin-1, 5'-NTD, FasL(TNFSF6), KLRK1 (NKG2D), Jagged1, Granzyme A, IL-2R alpha chain, Perforin, Adenylate cyclase type VII",
194,Role of fibroblasts and keratinocytes in the elicitation phase of allergic contact dermatitis,26,3.063E-04,2.181E-03,3.063E-04,2.181E-03,9,"GRO-2, IL-1 beta, CCL20, IL-1 alpha, GRO-1, IP10, CCL2, IL-8, TNF-alpha",
195,CD8+ Tc1 cells in allergic contact dermatitis,26,3.063E-04,2.181E-03,3.063E-04,2.181E-03,9,"IL-1 beta, TNF-R2, MHC class II, IL-18, FasR(CD95), FasL(TNFSF6), Caspase-1, Perforin, TNF-alpha",
196,Attenuation of IFN type I signaling in melanoma cells,37,3.081E-04,2.181E-03,3.081E-04,2.181E-03,11,"TAP1 (PSF1), PSMB8(LMP7), IP10, HLA-A, I-TAC, IFN-alpha, TAP2 (PSF2), PSMB9, Apo-2L(TNFSF10), TAP, IFN-beta",
197,Role of red blood cell adhesion to endothelium in vaso-occlusion in Sickle cell disease,37,3.081E-04,2.181E-03,3.081E-04,2.181E-03,11,"VCAM1, ITGA4, alpha-4/beta-1 integrin, CD44, IL-8, G-protein alpha-i family, Beta-2 adrenergic receptor, DARC, Fibronectin, c-Src, P-selectin",
198,Putative pathways of MHC class I-dependent postsynaptic long-term depression in major depressive disorder,21,3.132E-04,2.181E-03,3.132E-04,2.181E-03,8,"MHC Class I alpha chain, TAP1 (PSF1), HLA-B, HLA-A, CD3 zeta, TAP2 (PSF2), TAP, TNF-alpha",
199,Development_Schema: Osteogenic and adipogenic differentiation of mesenchymal stem cells,21,3.132E-04,2.181E-03,3.132E-04,2.181E-03,8,"IL-1 alpha, RUNX2, BMP6, BMP4, Beta-adrenergic receptor, BMP2, WNT1, TNF-alpha",
200,Glucocorticoids-mediated inhibition of pro-constrictory and pro-inflammatory signaling in airway smooth muscle cells,49,3.146E-04,2.181E-03,3.146E-04,2.181E-03,13,"COX-2 (PTGS2), IL-1 beta, GRO-1, CD38, MRLC, IL-6, Myosin II, PA24A, Beta-2 adrenergic receptor, CPI-17, Eotaxin, PLA2, TNF-alpha",
201,Th17 cells in CF (mouse model),49,3.146E-04,2.181E-03,3.146E-04,2.181E-03,13,"IL-1 beta, MHC class II, GRO-1, GCP2, ICAM1, LBP, IL23A, IL-17F, TGF-beta receptor type II, TLR4, GM-CSF, MD-2, IL-6",
202,Neutrophil-derived granule proteins and cytokines in asthma,49,3.146E-04,2.181E-03,3.146E-04,2.181E-03,13,"CHI3L1, Syk, TGF-beta 2, PKC, IP10, IL-8, GM-CSF, Rac2, MMP-8, TSLP, Alpha-defensin, MMP-9, TNF-alpha",
203,PDE4 regulation of cyto/chemokine expression in arthritis,49,3.146E-04,2.181E-03,3.146E-04,2.181E-03,13,"PGE2R2, IL-1 beta, PI3K cat class IA, IL-1 alpha, IP10, CCL2, IL-8, GM-CSF, ENA-78, IL-6, AKT(PKB), PDE4, TNF-alpha",
204,Development_Schema: Embryonal myogenesis,12,3.168E-04,2.185E-03,3.168E-04,2.185E-03,6,"HGF, WNT7A, BMP4, FGF8, HGF receptor (Met), WNT1",
205,"Immune response_IL-4-induced regulators of cell growth, survival, differentiation and metabolism",62,3.362E-04,2.307E-03,3.362E-04,2.307E-03,15,"EGR2 (Krox20), MMP-13, ATP6V0D2, DHA2, Cyclin E, STAT5, Cyclin A, FasL(TNFSF6), Osteoprotegerin, AKT(PKB), Cathepsin V, ACADL, LPL, GFI-1, CDK6",
206,Calcium-dependent regulation of normal and asthmatic smooth muscle contraction,69,3.621E-04,2.473E-03,3.621E-04,2.473E-03,16,"Histamine H1 receptor, TRPC3, HTR2C (HTR1C), CD38, NCX1, G-protein alpha-i family, MRLC, Myosin II, PAR1, TRPC6, Endothelin-3, TrkB, MYLK1, MLCK, EDNRA, ACM3",
207,Upregulation of IL-8 expression in colorectal cancer,32,3.684E-04,2.504E-03,3.684E-04,2.504E-03,10,"IL-1 beta, IL-8, WNT, TGF-beta receptor type II, NT, WNT2, Frizzled, WNT1, TNF-alpha, WNT6",
208,G protein-coupled receptors signaling in lung cancer,76,3.781E-04,2.546E-03,3.781E-04,2.546E-03,17,"CD44, GRP(1-27), IL-8, EGFR, NT, G-protein alpha-i family, MMP-2, Galpha(i)-specific peptide GPCRs, VIP, TGF-alpha, Galanin, Galpha(q)-specific peptide GPCRs, AKT(PKB), G-protein alpha-q/11, c-Src, SSTR5, EDNRA",
209,"Signal transduction_Angiotensin II/AGTR1 signaling via Notch, Beta-catenin and NF-kB pathways",76,3.781E-04,2.546E-03,3.781E-04,2.546E-03,17,"HEY1, PKC, HES5, CCL2, WISP1, IL-8, MMP-2, Axin2, IL-6, ACTA2, Angiotensinogen, TRPC6, CTGF, AKT(PKB), Angiotensin II, Fibronectin, MMP-9",
210,Immune response_IFN-gamma in macrophages activation,50,3.903E-04,2.603E-03,3.903E-04,2.603E-03,13,"COX-2 (PTGS2), iNOS, IP10, IL-18, CCL2, TLR4, IL-6, PAI2, Caspase-1, CLIC5, Pleiotrophin (OSF1), RANK(TNFRSF11A), TNF-alpha",
211,PDE4 regulation of cyto/chemokine expression in inflammatory skin diseases,50,3.903E-04,2.603E-03,3.903E-04,2.603E-03,13,"IL-1 beta, G-protein alpha-i1, MxA, iNOS, IP10, CCL2, IL23A, IL-8, G-protein alpha-i family, Adenylate cyclase, IL-6, PDE4, TNF-alpha",
212,Eosinophil-derived cytokines in airway remodeling in asthma,38,3.984E-04,2.644E-03,3.984E-04,2.644E-03,11,"NGF, TGF-beta 2, Osteopontin, CD44, PKC-alpha, IL-17F, GM-CSF, FGF2, TGF-alpha, MMP-9, TNF-alpha",
213,Regulatory T cells in murine model of contact hypersensitivity,27,4.227E-04,2.792E-03,4.227E-04,2.792E-03,9,"TNF-R2, MHC class II, ICAM1, FasR(CD95), CTLA-4, 5'-NTD, FasL(TNFSF6), P-selectin, TNF-alpha",
214,TLR and EGFR-induced inflammatory signaling in normal and asthmatic airway epithelium,22,4.532E-04,2.980E-03,4.532E-04,2.980E-03,8,"IL-8, TLR6, EGFR, TGF-alpha, TSLP, TLR3, MMP-9, TLR2",
215,PI3K signaling in gastric cancer,51,4.809E-04,3.123E-03,4.809E-04,3.123E-03,13,"HGF, Osteopontin, PI3K cat class IA, IL-8, EGFR, Cyr61, PRNP, AKT(PKB), G-protein alpha-q/11, HGF receptor (Met), c-Src, BMP2, MDR1",
216,MAPK-independent proliferation of normal and asthmatic smooth muscle cells,64,4.850E-04,3.123E-03,4.850E-04,3.123E-03,15,"Histamine H1 receptor, PI3K cat class IA, PLAT (TPA), EGFR, G-protein alpha-i family, PDGF-C, FGF2, PDGF-R-alpha, AKT(PKB), G-protein alpha-q/11, PDGF receptor, c-Src, EDNRA, PDGF-R-beta, IBP3",
217,Interaction of deficient alpha-MSH signaling with TNF-alpha in melanoma,33,4.861E-04,3.123E-03,4.861E-04,3.123E-03,10,"COX-2 (PTGS2), N-cadherin, ITGB1, ICAM1, SLUG, SIP1 (ZFHX1B), Fibronectin, Vimentin, MMP-9, TNF-alpha",
218,Development_EGF-induced proliferation of Type C cells in SVZ of adult brain,33,4.861E-04,3.123E-03,4.861E-04,3.123E-03,10,"PI3K cat class IA, PTCH1, EGFR, Fyn, TGF-alpha, DLX2, GLI-1, AKT(PKB), Prolactin, GLI-2",
219,Development_Self-renewal and pluripotency maintenance of human embryonic stem cells,33,4.861E-04,3.123E-03,4.861E-04,3.123E-03,10,"p14ARF, Oct-3/4, CGB3, CDX2, BMP4, CRIPTO, Lefty-2, FGF2, PAX6, WNT1",
220,LKB1 signaling pathway in lung cancer cells,45,5.049E-04,3.203E-03,5.049E-04,3.203E-03,12,"COX-2 (PTGS2), p63, N-cadherin, TGF-beta 2, ITGB1, Lysyl oxidase, Collagen IV, p16INK4, Fibronectin, Vimentin, c-Src, TCF8",
221,Role of free fatty acids in obesity and type 2 diabetes,45,5.049E-04,3.203E-03,5.049E-04,3.203E-03,12,"COX-2 (PTGS2), IL-1 beta, PI3K cat class IA, PKC-theta, iNOS, CCL2, TLR4, IL-6, AKT(PKB), IFN-beta, TLR2, TNF-alpha",
222,Complement pathway disruption in thrombotic microangiopathy,39,5.099E-04,3.203E-03,5.099E-04,3.203E-03,11,"IL-1 beta, cPKC (conventional), PKC, C3, IL-8, Factor I, C3b, Factor H, MYLK1, C3a, P-selectin",
223,Role of tumor microenvironment in plexiform neurofibroma formation in neurofibromatosis type 1,39,5.099E-04,3.203E-03,5.099E-04,3.203E-03,11,"NGF, TrkA, PI3K cat class IA, VCAM1, alpha-4/beta-1 integrin, MMP-2, FGF2, Rac2, AKT(PKB), Fibronectin, PDGF-R-beta",
224,Cell adhesion_PLAU signaling,39,5.099E-04,3.203E-03,5.099E-04,3.203E-03,11,"HGF, PI3K cat class IA, SERPINE2, PLAT (TPA), EGFR, PAI2, PLAUR (uPAR), AKT(PKB), HGF receptor (Met), c-Src, PLAU (UPA)",
225,SHH signaling in oligodendrocyte precursor cells differentiation in multiple sclerosis,13,5.432E-04,3.397E-03,5.432E-04,3.397E-03,6,"SOX10, Myelin basic protein, PTCH1, OLIG2, GLI-1, GLI-2",
226,Rho-dependent regulation of normal and asthmatic smooth muscle contraction,28,5.732E-04,3.522E-03,5.732E-04,3.522E-03,9,"Histamine H1 receptor, PKC, G-protein alpha-i family, MRLC, Myosin II, CPI-17, G-protein alpha-q/11, EDNRA, ACM3",
227,Development_Astrocyte differentiation (general schema),28,5.732E-04,3.522E-03,5.732E-04,3.522E-03,9,"SOX1, CD44, BMP4, LIF, Nestin, MCT1 (SLC16A1), Vimentin, GLAST1/EAAT1, BMP2",
228,Glucocorticoid- and LABA-mediated inhibition of pro-inflammatory signaling in airway fibroblasts/myofibroblasts,28,5.732E-04,3.522E-03,5.732E-04,3.522E-03,9,"IL-1 beta, IL-1 alpha, VCAM1, ICAM1, IL-8, GM-CSF, IL-6, Beta-2 adrenergic receptor, TNF-alpha",
229,IL-17 and IL-17F-induced inflammatory signaling in normal and asthmatic airway epithelium,28,5.732E-04,3.522E-03,5.732E-04,3.522E-03,9,"GRO-1, IP10, GCP2, ICAM1, IL-8, IL-17F, GM-CSF, ENA-78, IL-6",
230,Ovarian cancer (main signaling cascades),65,5.785E-04,3.539E-03,5.785E-04,3.539E-03,15,"HGF, PI3K cat class IA, B-Raf, Tcf(Lef), EGFR, G-protein alpha-i family, MMP-2, IL-6, AKT(PKB), HGF receptor (Met), PI3K reg class IB (p101), c-Src, MMP-9, PLAU (UPA), EDNRA",
231,Development_BMP signaling in cardiac myogenesis,34,6.332E-04,3.857E-03,6.332E-04,3.857E-03,10,"ACTA1, BMP5, MLC2, BMP6, p57, BMP4, MEF2C, ACTC, beta-MHC, BMP2",
232,Role of IL-17-producing T cells in allergic contact dermatitis,23,6.401E-04,3.882E-03,6.401E-04,3.882E-03,8,"MHC class II, GRO-1, ICAM1, IL-8, GM-CSF, FasR(CD95), IL-6, FasL(TNFSF6)",
233,Development_H3K27 demethylases in differentiation of stem cells,40,6.464E-04,3.901E-03,6.464E-04,3.901E-03,11,"HOXA13, SOX1, BMP4, Nestin, HOXA1, HOXA7, HOXA3, DLX5, HOXA11, BMP2, PAX6",
234,Development_Regulation of cytoskeleton proteins in oligodendrocyte differentiation and myelination,59,6.488E-04,3.901E-03,6.488E-04,3.901E-03,14,"Tubulin beta, Myelin basic protein, MAP-1B, NCAM1, MAP2, MRLC, Tubulin beta 4, Myosin II, Actin cytoskeletal, Fyn, PDGF-R-alpha, PDGF receptor, MELC, Cofilin",
235,Immune response_IFN-alpha/beta signaling via PI3K and NF-kB pathways,94,6.833E-04,4.091E-03,6.833E-04,4.091E-03,19,"IFI17, GBP1, PI3K cat class IA, IFIT1, ISG15, IRS-2, PKC-alpha, I-TAC, IFN-alpha, Cyclin E, ISG54, NMI, p15, Cyclin A, RSAD2, Apo-2L(TNFSF10), AKT(PKB), p16INK4, IFN-beta",
236,Role of neuropeptides in pathogenesis of SCLC,67,8.121E-04,4.780E-03,8.121E-04,4.780E-03,15,"cPKC (conventional), PKC, Neprilysin, CCKAR, GRP(1-27), PKC-alpha, V1a receptor, EGFR, NT, GRP precursor, Fyn, Galanin, AKT(PKB), G-protein alpha-q/11, Neuromedin B",
237,Role of growth factor receptors transactivation by Hyaluronic acid / CD44 signaling in tumor progression,35,8.153E-04,4.780E-03,8.153E-04,4.780E-03,10,"HGF, PI3K cat class IA, CD44, PKC-alpha, EGFR, MMP-2, PTHrP, HGF receptor (Met), MMP-9, MDR1",
238,Cell adhesion_Alpha-4 integrins in cell migration and adhesion,35,8.153E-04,4.780E-03,8.153E-04,4.780E-03,10,"ITGB1, PI3K cat class IA, VCAM1, ITGA4, alpha-4/beta-1 integrin, F-Actin cytoskeleton, Actin cytoskeletal, Fibronectin, c-Src, Cofilin",
239,NALP3 inflammasome activation in age-related macular degeneration (AMD),35,8.153E-04,4.780E-03,8.153E-04,4.780E-03,10,"IL-1 beta, IL-18R1, CCL20, IL-1 alpha, IL-18, IL-6, FasL(TNFSF6), Caspase-1, TLR2, TNF-alpha",
240,Extracellular matrix-regulated proliferation of airway smooth muscle cells in asthma,35,8.153E-04,4.780E-03,8.153E-04,4.780E-03,10,"PI3K cat class IA, Decorin, alpha-4/beta-1 integrin, TGF-beta receptor type II, EGFR, alpha-5/beta-1 integrin, CTGF, Collagen IV, Fibronectin, Collagen III",
241,Immune response_HSP60 and HSP70/ TLR signaling pathway,54,8.663E-04,5.037E-03,8.663E-04,5.037E-03,13,"CD69, IL-1 beta, MHC class II, iNOS, ICAM1, IL-8, TLR4, MD-2, IL-6, IRAK1/2, CD83, TLR2, TNF-alpha",
242,"Disruption of apoptosis, proliferation and shedding of epithelial cells in asthma",54,8.663E-04,5.037E-03,8.663E-04,5.037E-03,13,"IL-1 beta, TGF-beta 2, TNF-R2, IL-1 alpha, Desmocollin 3, ICAM1, EGFR, p15, TGF-alpha, TSLP, MMP-9, TNF-alpha, TSLPR",
243,Immune response_C3a signaling,48,9.482E-04,5.447E-03,9.482E-04,5.447E-03,12,"IL-1 beta, NGF, MHC class II, CCL2, IL-8, G-protein alpha-i family, Adenylate cyclase, IL-6, AKT(PKB), C3a, PI3K reg class IB (p101), TNF-alpha",
244,Development_Schema: Adult neurogenesis in the Subventricular Zone,19,9.485E-04,5.447E-03,9.485E-04,5.447E-03,7,"NCAM1, MAP2, OLIG2, Nestin, DLX2, Vimentin, GLAST1/EAAT1",
245,Schema: Initiation of T cell recruitment in allergic contact dermatitis,19,9.485E-04,5.447E-03,9.485E-04,5.447E-03,7,"VCAM1, IP10, alpha-4/beta-1 integrin, ICAM1, CD1d, CD5, TNF-alpha",
246,Inhibition of Ephrin receptors in colorectal cancer,30,1.006E-03,5.714E-03,1.006E-03,5.714E-03,9,"WNT, Ephrin-B receptor 2, Ephrin-A receptor 3, Ephrin-A receptors, Ephrin-B receptor 1, Ephrin-A, Ephrin-B receptors, Ephrin-A receptor 2, Frizzled",
247,Role of adipose tissue hypoxia in obesity and type 2 diabetes,30,1.006E-03,5.714E-03,1.006E-03,5.714E-03,9,"IL-1 beta, Lysyl oxidase, CCL2, Angiopoietin 1, IL-6, MCT1 (SLC16A1), MMP-9, IBP3, TNF-alpha",
248,Apoptosis and survival_Apoptotic TNF-family pathways,42,1.011E-03,5.714E-03,1.011E-03,5.714E-03,11,"NGF, TNF-R2, NGFR(TNFRSF16), Caspase-10, CD70(TNFSF7), GITRL, FasR(CD95), FasL(TNFSF6), Apo-2L(TNFSF10), LIGHT(TNFSF14), TNF-alpha",
249,Development_NOTCH in inhibition of WNT/Beta-catenin-induced osteogenesis,42,1.011E-03,5.714E-03,1.011E-03,5.714E-03,11,"HEY1, STAT5A, RUNX2, RANKL(TNFSF11), WNT, ALPL, Jagged1, Axin, TCF7 (TCF1), Frizzled, WNT1",
250,Cytoskeleton remodeling_Keratin filaments,36,1.038E-03,5.816E-03,1.038E-03,5.816E-03,10,"Tubulin beta, Keratin 17, Keratin 5/14, Keratin 14, Keratin 5, Keratin 16, Keratin 6C, Actin cytoskeletal, Keratin 6A, Vimentin",
251,Development_Hedgehog and PTH signaling pathways in bone and cartilage development,36,1.038E-03,5.816E-03,1.038E-03,5.816E-03,10,"Osteopontin, MMP-13, RUNX2, PTCH1, RANKL(TNFSF11), PTHrP, COL1A2, GLI-1, G-protein alpha-q/11, GLI-2",
252,Immune response_Role of DAP12 receptors in NK cells,55,1.042E-03,5.816E-03,1.042E-03,5.816E-03,13,"Syk, PI3K cat class IA, KLRC3, PKC-theta, HLA-B, ZAP70, NKG2C, Actin cytoskeletal, Fyn, CD94, HLA-G, LAT, KIR2DL1",
253,Sitagliptin in treatment of type 2 diabetes and metabolic syndrome X,10,1.047E-03,5.821E-03,1.047E-03,5.821E-03,5,"Glucagon, GLP-1 (7-36) amide, GLP-1 (7-37), GLP-1 receptor, DPP4",
254,Immune response_Bacterial infections in normal airways,49,1.154E-03,6.366E-03,1.154E-03,6.366E-03,12,"IL-1 beta, TLR1, iNOS, LBP, IL-8, TLR4, FasR(CD95), MD-2, IL-6, IRAK1/2, FasL(TNFSF6), TLR2",
255,Signal transduction_Soluble CXCL16 signaling,49,1.154E-03,6.366E-03,1.154E-03,6.366E-03,12,"Osteopontin, CD44, RANKL(TNFSF11), IL-8, G-protein alpha-i family, F-Actin cytoskeleton, MMP-2, AKT(PKB), P-selectin, MMP-9, Cofilin, TNF-alpha",
256,Immune response_LPS-induced platelet activation,25,1.198E-03,6.560E-03,1.198E-03,6.560E-03,8,"COX-2 (PTGS2), IL-1 beta, LBP, TLR4, MD-2, PAR1, P-selectin, TLR2",
257,Inhibition of oligodendrocyte precursor cells differentiation by Wnt signaling in multiple sclerosis,25,1.198E-03,6.560E-03,1.198E-03,6.560E-03,8,"WNT, OLIG2, GLI-1, FZD7, Axin, Frizzled, GLI-2, WNT1",
258,Role of FSH and Lutropin in ovarian cancer,56,1.246E-03,6.785E-03,1.246E-03,6.785E-03,13,"COX-2 (PTGS2), B-Raf, TRPC3, CD44, PKC-alpha, Cyclin E, EGFR, Adenylate cyclase, SLIT2, MMP-2, IL-6, AKT(PKB), MMP-9",
259,Environmental factors-induced inflammatory signaling in normal and asthmatic airway epithelium,43,1.249E-03,6.785E-03,1.249E-03,6.785E-03,11,"IL-1 beta, iNOS, PKC, ICAM1, IL-8, GM-CSF, sICAM1, IL-6, Eotaxin, TSLP, TNF-alpha",
260,Deregulation of canonical WNT signaling in major depressive disorder,31,1.304E-03,6.927E-03,1.304E-03,6.927E-03,9,"MAP-1B, Tcf(Lef), WNT7A, WNT, NeuroD1, FZD9, Axin, TCF7 (TCF1), Frizzled",
261,Arachidonic acid metabolites production in alveolar macrophages in asthma,31,1.304E-03,6.927E-03,1.304E-03,6.927E-03,9,"COX-2 (PTGS2), IL-1 beta, CCL2, IL-8, cPLA2, TLR4, GM-CSF, TLR2, TNF-alpha",
262,Role of IL-2 in the enhancement of NK cell cytotoxicity in multiple sclerosis,31,1.304E-03,6.927E-03,1.304E-03,6.927E-03,9,"PI3K cat class IA, STAT5, FasL(TNFSF6), Apo-2L(TNFSF10), KLRK1 (NKG2D), Granzyme A, Perforin, CARD11, TNF-alpha",
263,Autocrine production of eosinophil pro-survival cytokines in asthma,31,1.304E-03,6.927E-03,1.304E-03,6.927E-03,9,"IL-15, PI3K cat class IA, VCAM1, alpha-4/beta-1 integrin, ICAM1, CD44, GM-CSF, Fibronectin, TNF-alpha",
264,Development_Negative feedback regulation of WNT/Beta-catenin signaling,37,1.309E-03,6.927E-03,1.309E-03,6.927E-03,10,"NOTUM, NKD1, Tcf(Lef), WNT, G-protein alpha-i family, Axin2, c-Src, NKD2, Axin, Frizzled",
265,Development_Retinoic acid and retinoic acid receptors in regulation of oligodendrocyte differentiation,37,1.309E-03,6.927E-03,1.309E-03,6.927E-03,10,"UGT8, Myelin basic protein, p14ARF, DHA2, RBP4, BMP4, p15, STRA6, PDGF-R-alpha, BMP2",
266,Hypertrophy of  asthmatic airway smooth muscle cells ,70,1.310E-03,6.927E-03,1.310E-03,6.927E-03,15,"Smooth muscle myosin, IL-1 beta, TGF-beta 2, TGF-beta receptor type II, EGFR, Transgelin, ACTA2, PDGF-R-alpha, AKT(PKB), IFN-beta, MLCK, EDNRA, Actin muscle, PDGF-R-beta, TNF-alpha",
267,Role of GITR in skin sensitization,15,1.351E-03,7.094E-03,1.351E-03,7.094E-03,6,"IL-1 beta, TNF-R2, IL-1 alpha, IP10, GITRL, TNF-alpha",
268,Immune response_Regulatory role of C1q in platelet activation,15,1.351E-03,7.094E-03,1.351E-03,7.094E-03,6,"PKC, CRP, C3b, Fc gamma RII alpha, P-selectin, Collagen III",
269,Modulation of tumor response to cytotoxic T cells by hypoxia in tumors,50,1.395E-03,7.242E-03,1.395E-03,7.242E-03,12,"FasR(CD95), PD-1, CTLA-4, 5'-NTD, CD137 ligand(TNFSF9), HOXA1, FasL(TNFSF6), AKT(PKB), CD137(TNFRSF9), c-Src, Perforin, PD-L1",
270,Angiogenesis in HCC,50,1.395E-03,7.242E-03,1.395E-03,7.242E-03,12,"COX-2 (PTGS2), Heparanase 1, CCL2, IL-8, TGF-beta receptor type II, EGFR, MMP-2, Angiopoietin 1, STAT5, FGF2, Ephrin-B receptors, MMP-9",
271,IgE- and MGF-induced Lyn-mediated production of cytokines and arachidonic acid metabolites in lung mast cells in asthma,50,1.395E-03,7.242E-03,1.395E-03,7.242E-03,12,"Syk, CCL2, PKC-alpha, IL-8, cPLA2, Lyn, GM-CSF, Fyn, AKT(PKB), LAT, GRAP2, TNF-alpha",
272,HGF signaling in colorectal cancer,64,1.522E-03,7.833E-03,1.522E-03,7.833E-03,14,"HGF, COX-2 (PTGS2), PI3K cat class IA, LAMC2, CD44, EGFR, MMP-2, PLAUR (uPAR), Actin cytoskeletal, AKT(PKB), LAMB3, HGF receptor (Met), c-Src, MMP-9",
273,Immune response_IL-6 signaling pathway via JAK/STAT,71,1.524E-03,7.833E-03,1.524E-03,7.833E-03,15,"COX-2 (PTGS2), iNOS, RUNX2, ICAM1, CCL2, RANKL(TNFSF11), Mucin 13, ALPL, IL-6, Mucin 4, STAT5, Rac2, AKT(PKB), ICOS, CDK6",
274,Transition of HCC cells to invasive and migratory phenotype,44,1.531E-03,7.833E-03,1.531E-03,7.833E-03,11,"N-cadherin, PI3K cat class IA, SIP1 (ZFHX1B), MMP-14, MMP-2, Matrilysin (MMP-7), TWIST1, AKT(PKB), Vimentin, c-Src, MMP-9",
