Enrichment analysis report,,,,,,,,,,,,,
Enrichment by Pathway Maps,,,,,up_genes_int_061520_genelist,,,,up_genes_rna_061620_genelist,,,,
#,Maps,Total,min(pValue),Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",p-value,FDR,In Data,"Network Objects from
Active Data",
100,"Dysregulation of Adiponectin secretion from adipocytes in obesity, type 2 diabetes and metabolic syndrome X",38,5.204E-02,5.279E-01,5.688E-02,5.279E-01,3,"Adiponectin, C/EBPalpha, AP-2B",5.204E-02,6.935E-01,3,"Adiponectin, C/EBPalpha, AP-2B",
101,"Immune response_IL-4-induced regulators of cell growth, survival, differentiation and metabolism",62,5.484E-02,5.243E-01,5.484E-02,5.243E-01,4,"GATA-3, p27KIP1, CISH, Bcl-2",1.598E-01,8.180E-01,3,"GATA-3, CISH, Bcl-2",
102,PXR-mediated direct regulation of xenobiotic metabolizing enzymes / Rodent version,39,5.548E-02,5.452E-01,6.061E-02,5.452E-01,3,"S14 protein, CYP2B6, OATP-A",5.548E-02,7.280E-01,3,"S14 protein, CYP2B6, OATP-A",
103,Neurophysiological process_Constitutive and regulated NMDA receptor trafficking,65,5.668E-02,5.452E-01,6.315E-02,5.452E-01,4,"Chapsyn-110, Adenylate cyclase, NR1, MALS",5.668E-02,7.326E-01,4,"Chapsyn-110, Adenylate cyclase, NR1, MALS",
104,Apoptosis and survival_CXCR3-B signaling,63,5.754E-02,5.289E-01,5.754E-02,5.289E-01,4,"GATA-3, Adenylate cyclase, Bcl-2, Beclin 1",1.652E-01,8.180E-01,3,"GATA-3, Adenylate cyclase, Bcl-2",
105,Reproduction_Progesterone-mediated oocyte maturation,40,5.903E-02,5.452E-01,6.445E-02,5.452E-01,3,"ESR1 (membrane), Adenylate cyclase, PR (membrane)",5.903E-02,7.404E-01,3,"ESR1 (membrane), Adenylate cyclase, PR (membrane)",
106,Cell adhesion_IL-8 family-dependent cell migration and adhesion,40,5.903E-02,5.452E-01,6.445E-02,5.452E-01,3,"IL8RA, PI3K reg class IB (p101), EBP50",5.903E-02,7.404E-01,3,"IL8RA, PI3K reg class IB (p101), EBP50",
107,"Development_The role of GDNF ligand family/ RET receptor in cell survival, growth and proliferation",92,6.175E-02,5.452E-01,6.175E-02,5.452E-01,5,"GFRalpha2, N-Ras, Dopamine transporter, GFRalpha1, Bcl-2",1.492E-01,8.057E-01,4,"GFRalpha2, Dopamine transporter, GFRalpha1, Bcl-2",
108,Ovarian cancer (main signaling cascades),65,6.315E-02,5.452E-01,6.315E-02,5.452E-01,4,"ESR1 (nuclear), Androgen receptor, PTEN, PI3K reg class IB (p101)",1.762E-01,8.219E-01,3,"ESR1 (nuclear), Androgen receptor, PI3K reg class IB (p101)",
109,Neurophysiological process_Glucose-excited neurons of arcuate nucleus (rodent model),40,6.445E-02,5.452E-01,6.445E-02,5.452E-01,3,"Kir6.2, Tuberin, SUR1",2.237E-01,8.219E-01,2,"Kir6.2, SUR1",
110,IL-6 signaling in Prostate Cancer,40,6.445E-02,5.452E-01,6.445E-02,5.452E-01,3,"Androgen receptor, PTEN, p27KIP1",5.944E-01,8.219E-01,1,Androgen receptor,
111,Inhibition of Vitamin D pathway in Prostate Cancer,40,6.445E-02,5.452E-01,6.445E-02,5.452E-01,3,"Androgen receptor, p27KIP1, Bcl-2",2.237E-01,8.219E-01,2,"Androgen receptor, Bcl-2",
112,Anti-apoptotic pathways in endoplasmic reticulum stress response in multiple myeloma,19,6.591E-02,5.522E-01,7.028E-02,5.522E-01,2,"XBP1, Bcl-2",6.591E-02,7.539E-01,2,"XBP1, Bcl-2",
113,Brca1 and Brca2 in breast cancer,19,6.591E-02,5.522E-01,7.028E-02,5.522E-01,2,"ESR1 (nuclear), ESR1 (membrane)",6.591E-02,7.539E-01,2,"ESR1 (nuclear), ESR1 (membrane)",
114,Transcription_HIF-1 targets,95,6.891E-02,5.522E-01,6.891E-02,5.522E-01,5,"PDK1, SOX2, TGF-beta 3, CX3CR1, Carbonic anhydrase XII",1.618E-01,8.180E-01,4,"SOX2, TGF-beta 3, CX3CR1, Carbonic anhydrase XII",
115,Development_Alpha-1 adrenergic receptors signaling via Cyclic AMP,19,7.028E-02,5.522E-01,7.028E-02,5.522E-01,2,"p27KIP1, Adenylate cyclase",3.484E-01,8.219E-01,1,Adenylate cyclase,
116,Th2-cytokines-induced expression of mucins in asthma ,43,7.029E-02,5.522E-01,7.661E-02,5.522E-01,3,"Mucin 5B, Mucin 2, Mucin 5AC",7.029E-02,7.539E-01,3,"Mucin 5B, Mucin 2, Mucin 5AC",
117,"Chemotaxis_CCL16-, CCL20-, CXCL16- and CCL25-mediated cell migration",43,7.029E-02,5.522E-01,7.661E-02,5.522E-01,3,"PI3K reg class IB (p101), CCR8, CCR5",7.029E-02,7.539E-01,3,"PI3K reg class IB (p101), CCR8, CCR5",
118,Neurophysiological process_HTR1A receptor signaling in neuronal cells,43,7.029E-02,5.522E-01,7.661E-02,5.522E-01,3,"Kir3.1, PI3K reg class IB (p101), Adenylate cyclase",7.029E-02,7.539E-01,3,"Kir3.1, PI3K reg class IB (p101), Adenylate cyclase",
119,Tyrosine metabolism p.1 (dopamine) ,70,7.056E-02,5.522E-01,7.838E-02,5.522E-01,4,"TY3H, PNMT, ABP1, PAH",7.056E-02,7.539E-01,4,"TY3H, PNMT, ABP1, PAH",
120,Th2-cytokine-induced airway epithelium mucous metaplasia in COPD,70,7.056E-02,5.522E-01,7.838E-02,5.522E-01,4,"HAG-2, PP2A regulatory, Mucin 5AC, PDEF",7.056E-02,7.539E-01,4,"HAG-2, PP2A regulatory, Mucin 5AC, PDEF",
121,Neurophysiological process_Olfactory transduction,20,7.219E-02,5.522E-01,7.693E-02,5.522E-01,2,"Olfactory receptor, ANO2",7.219E-02,7.539E-01,2,"Olfactory receptor, ANO2",
122,PR action in breast cancer: stimulation of metastasis,20,7.219E-02,5.522E-01,7.693E-02,5.522E-01,2,"PR (membrane), PR (nuclear)",7.219E-02,7.539E-01,2,"PR (membrane), PR (nuclear)",
123,Protein folding and maturation_Insulin processing,20,7.219E-02,5.522E-01,7.693E-02,5.522E-01,2,"PC2, Carboxypeptidase H",7.219E-02,7.539E-01,2,"PC2, Carboxypeptidase H",
124,Serotonin modulation of dopamine release in nicotine addiction,42,7.245E-02,5.522E-01,7.245E-02,5.522E-01,3,"PTEN, Adenylate cyclase, nAChR alpha-4",2.402E-01,8.219E-01,2,"Adenylate cyclase, nAChR alpha-4",
125,Growth factors in regulation of oligodendrocyte precursor cells survival in multiple sclerosis,42,7.245E-02,5.522E-01,7.245E-02,5.522E-01,3,"IBP, Bcl-2, ErbB3",2.402E-01,8.219E-01,2,"IBP, Bcl-2",
126,Immune response_PIP3 signaling in B lymphocytes,42,7.245E-02,5.522E-01,7.245E-02,5.522E-01,3,"PTEN, PI3K reg class IB (p101), PREX1",2.402E-01,8.219E-01,2,"PI3K reg class IB (p101), PREX1",
127,Inhibition of neutrophil migration by proresolving lipid mediators in COPD,71,7.353E-02,5.535E-01,8.163E-02,5.535E-01,4,"IL8RA, PI3K reg class IB (p101), CCR5, PREX1",7.353E-02,7.539E-01,4,"IL8RA, PI3K reg class IB (p101), CCR5, PREX1",
128,Neurophysiological process_Melatonin signaling,44,7.424E-02,5.522E-01,8.087E-02,5.522E-01,3,"Kir3.1, MaxiK alpha subunit, Adenylate cyclase",7.424E-02,7.539E-01,3,"Kir3.1, MaxiK alpha subunit, Adenylate cyclase",
129,Role of CD8+ Tc1 cells in COPD,44,7.424E-02,5.522E-01,8.087E-02,5.522E-01,3,"CX3CR1, CCR5, Bcl-2",7.424E-02,7.539E-01,3,"CX3CR1, CCR5, Bcl-2",
130,Transport_cAMP/ Ca(2+)-dependent Insulin secretion,44,7.424E-02,5.522E-01,8.087E-02,5.522E-01,3,"Kir6.2, SUR1, CACNA1D",7.424E-02,7.539E-01,3,"Kir6.2, SUR1, CACNA1D",
131,Mucin expression in CF airways,69,7.520E-02,5.522E-01,7.520E-02,5.522E-01,4,"Mucin 5B, Mucin 2, Mucin 5AC, ErbB3",1.988E-01,8.219E-01,3,"Mucin 5B, Mucin 2, Mucin 5AC",
132,Translation_Non-genomic (rapid) action of Androgen Receptor,43,7.661E-02,5.522E-01,7.661E-02,5.522E-01,3,"Androgen receptor, PTEN, Tuberin",6.210E-01,8.219E-01,1,Androgen receptor,
133,FGF signaling in Prostate Cancer,43,7.661E-02,5.522E-01,7.661E-02,5.522E-01,3,"Androgen receptor, PTEN, FGFR4",2.485E-01,8.219E-01,2,"Androgen receptor, FGFR4",
134,Cell adhesion_Ephrin signaling,45,7.829E-02,5.698E-01,8.524E-02,5.698E-01,3,"Ephrin-A receptor 8, Ephrin-A receptors, RHO6",7.829E-02,7.672E-01,3,"Ephrin-A receptor 8, Ephrin-A receptors, RHO6",
135,Hypertrophy of  asthmatic airway smooth muscle cells ,70,7.838E-02,5.522E-01,7.838E-02,5.522E-01,4,"TGF-beta 3, Tuberin, LIN-28, C/EBPalpha",2.045E-01,8.219E-01,3,"TGF-beta 3, LIN-28, C/EBPalpha",
136,SLE genetic marker-specific pathways in B cells,99,7.914E-02,5.522E-01,7.914E-02,5.522E-01,5,"p27KIP1, XBP1, BANK, Bcl-2, BLNK",1.792E-01,8.219E-01,4,"XBP1, BANK, Bcl-2, BLNK",
137,Regulation of metabolism_Triiodothyronine and Thyroxine signaling,44,8.087E-02,5.522E-01,8.087E-02,5.522E-01,3,"S14 protein, FASN, DIO1",2.568E-01,8.219E-01,2,"S14 protein, DIO1",
138,IGF signaling in lung cancer,44,8.087E-02,5.522E-01,8.087E-02,5.522E-01,3,"IBP4, Tuberin, IBP",2.568E-01,8.219E-01,2,"IBP4, IBP",
139,K-RAS signaling in pancreatic cancer,44,8.087E-02,5.522E-01,8.087E-02,5.522E-01,3,"PTEN, FGFR4, Bcl-2",2.568E-01,8.219E-01,2,"FGFR4, Bcl-2",
140,Neurophysiological process_Receptor-mediated axon growth repulsion,46,8.244E-02,5.865E-01,8.970E-02,5.865E-01,3,"Ephrin-A receptors, Tau (MAPT), RHO6",8.244E-02,7.672E-01,3,"Ephrin-A receptors, Tau (MAPT), RHO6",
141,Development_Membrane-bound ESR1: interaction with growth factors signaling,45,8.524E-02,5.698E-01,8.524E-02,5.698E-01,3,"ESR1 (nuclear), ESR1 (membrane), ErbB3",2.651E-01,8.219E-01,2,"ESR1 (nuclear), ESR1 (membrane)",
142,Amitraz-induced inhibition of Insulin secretion,22,8.529E-02,5.865E-01,9.080E-02,5.865E-01,2,"Adenylate cyclase type V, Alpha-2A adrenergic receptor",8.529E-02,7.672E-01,2,"Adenylate cyclase type V, Alpha-2A adrenergic receptor",
143,T regulatory cell migration in asthma,22,8.529E-02,5.865E-01,9.080E-02,5.865E-01,2,"PI3K reg class IB (p101), CCR8",8.529E-02,7.672E-01,2,"PI3K reg class IB (p101), CCR8",
144,Mechanism of Maraviroc action in HIV Infections,4,8.617E-02,5.865E-01,8.928E-02,5.865E-01,1,CCR5,8.617E-02,7.672E-01,1,CCR5,
145,Inhibition of RUNX3 signaling in gastric cancer,22,9.080E-02,5.865E-01,9.080E-02,5.865E-01,2,"p27KIP1, Bcl-2",3.910E-01,8.219E-01,1,Bcl-2,
146,Common mechanisms of Th17 cell migration,48,9.100E-02,6.023E-01,9.891E-02,6.023E-01,3,"PI3K reg class IB (p101), Collagen II, CCR5",9.100E-02,7.672E-01,3,"PI3K reg class IB (p101), Collagen II, CCR5",
147,IL-17-induced mucin expression in CF airways,48,9.100E-02,6.023E-01,9.891E-02,6.023E-01,3,"Mucin 5B, ROR-gamma, Mucin 5AC",9.100E-02,7.672E-01,3,"Mucin 5B, ROR-gamma, Mucin 5AC",
148,Oxidative stress_Role of IL-8 signaling pathway in respiratory burst,48,9.100E-02,6.023E-01,9.891E-02,6.023E-01,3,"IL8RA, PI3K reg class IB (p101), PREX1",9.100E-02,7.672E-01,3,"IL8RA, PI3K reg class IB (p101), PREX1",
149,Action of GSK3 beta in bipolar disorder,23,9.209E-02,6.023E-01,9.798E-02,6.023E-01,2,"Tau (MAPT), Bcl-2",9.209E-02,7.672E-01,2,"Tau (MAPT), Bcl-2",
150,Development_Thrombopoietin signaling via JAK-STAT pathway,23,9.209E-02,6.023E-01,9.798E-02,6.023E-01,2,"ERG, CISH",9.209E-02,7.672E-01,2,"ERG, CISH",
151,Development_TGF-beta-dependent induction of EMT via MAPK ,47,9.426E-02,6.007E-01,9.426E-02,6.007E-01,3,"PTEN, TGF-beta 3, TGF-beta",2.817E-01,8.219E-01,2,"TGF-beta 3, TGF-beta",
152,Development_PIP3 signaling in cardiac myocytes,47,9.426E-02,6.007E-01,9.426E-02,6.007E-01,3,"PTEN, Tuberin, PI3K reg class IB (p101)",6.538E-01,8.219E-01,1,PI3K reg class IB (p101),
153,Regulation of lipid metabolism_Regulation of lipid metabolism by niacin and isoprenaline,49,9.542E-02,6.177E-01,1.036E-01,6.177E-01,3,"Adenylate cyclase type IV, Adenylate cyclase type V, Adenylate cyclase type II",9.542E-02,7.672E-01,3,"Adenylate cyclase type IV, Adenylate cyclase type V, Adenylate cyclase type II",
154,Transcription_N-CoR/ SMRT complex-mediated epigenetic gene silencing,49,9.542E-02,6.177E-01,1.036E-01,6.177E-01,3,"PBX1, HOXB1, PBX1a/HOXB1",9.542E-02,7.672E-01,3,"PBX1, HOXB1, PBX1a/HOXB1",
155,Translation_Opioid receptors in regulation of translation ,23,9.798E-02,6.023E-01,9.798E-02,6.023E-01,2,"Tuberin, PI3K reg class IB (p101)",4.046E-01,8.219E-01,1,PI3K reg class IB (p101),
156,K-RAS signaling in lung cancer,48,9.891E-02,6.023E-01,9.891E-02,6.023E-01,3,"PTEN, RhoB, PDCD4",2.900E-01,8.219E-01,2,"RhoB, PDCD4",
157,Development_Schema: SMAD-dependent TGF-beta family signaling in embryonic stem cells,24,9.904E-02,6.177E-01,1.053E-01,6.177E-01,2,"SOX2, MSX-2",9.904E-02,7.672E-01,2,"SOX2, MSX-2",
158,Prolactin/ JAK2 signaling in breast cancer,24,9.904E-02,6.177E-01,1.053E-01,6.177E-01,2,"CISH, Prolactin receptor",9.904E-02,7.672E-01,2,"CISH, Prolactin receptor",
159,Huntingtin-depended transcription deregulation in Huntington's Disease,24,9.904E-02,6.177E-01,1.053E-01,6.177E-01,2,"NR1, C/EBPalpha",9.904E-02,7.672E-01,2,"NR1, C/EBPalpha",
160,Signal transduction_CXCR4 signaling via second messengers and JAK/STAT,50,9.992E-02,6.195E-01,1.085E-01,6.195E-01,3,"MaxiK alpha subunit, Adenylate cyclase, Bcl-2",9.992E-02,7.672E-01,3,"MaxiK alpha subunit, Adenylate cyclase, Bcl-2",
161,Immune response_Inhibitory action of lipoxins on superoxide production induced by IL-8 and Leukotriene B4 in neutrophils,50,9.992E-02,6.195E-01,1.085E-01,6.195E-01,3,"IL8RA, PI3K reg class IB (p101), PREX1",9.992E-02,7.672E-01,3,"IL8RA, PI3K reg class IB (p101), PREX1",
162,Development_Signaling pathways in embryonic hepatocyte maturation,51,1.045E-01,6.195E-01,1.134E-01,6.195E-01,3,"TAT, PAH, C/EBPalpha",1.045E-01,7.672E-01,3,"TAT, PAH, C/EBPalpha",
163,Tissue factor signaling in lung cancer,24,1.053E-01,6.177E-01,1.053E-01,6.177E-01,2,"PTEN, Coagulation factor VII",4.179E-01,8.219E-01,1,Coagulation factor VII,
164,Development_Trophectoderm differentiation,25,1.061E-01,6.195E-01,1.128E-01,6.195E-01,2,"SOX2, ASH2",1.061E-01,7.672E-01,2,"SOX2, ASH2",
165,Defective macrophage-mediated bacterial phagocytosis in COPD,25,1.061E-01,6.195E-01,1.128E-01,6.195E-01,2,"RhoB, SP-D",1.061E-01,7.672E-01,2,"RhoB, SP-D",
166,Fenofibrate in treatment of type 2 diabetes and metabolic syndrome X,25,1.061E-01,6.195E-01,1.128E-01,6.195E-01,2,"Adiponectin, ABCG1",1.061E-01,7.672E-01,2,"Adiponectin, ABCG1",
167,Inhibition of TGF-beta signaling in gastric cancer,25,1.061E-01,6.195E-01,1.128E-01,6.195E-01,2,"CEACAM5, TGF-beta 3",1.061E-01,7.672E-01,2,"CEACAM5, TGF-beta 3",
168,Possible role of neonatal nicotine exposure in development of postnatal obesity,5,1.065E-01,6.195E-01,1.103E-01,6.195E-01,1,nAChR alpha-4,1.065E-01,7.672E-01,1,nAChR alpha-4,
169,The role of PTEN and PI3K signaling in melanoma,50,1.085E-01,6.195E-01,1.085E-01,6.195E-01,3,"PTEN, N-Ras, Tau (MAPT)",6.765E-01,8.219E-01,1,Tau (MAPT),
170,HBV-dependent NF-kB and PI3K/AKT pathways leading to HCC,50,1.085E-01,6.195E-01,1.085E-01,6.195E-01,3,"Androgen receptor, PTEN, p27KIP1",6.765E-01,8.219E-01,1,Androgen receptor,
171,Gamma-aminobutyrate (GABA) biosynthesis and metabolism,52,1.092E-01,6.306E-01,1.184E-01,6.306E-01,3,"GABT, ABP1, DHE4",1.092E-01,7.672E-01,3,"GABT, ABP1, DHE4",
172,HBV-dependent transcription regulation leading to HCC,25,1.128E-01,6.195E-01,1.128E-01,6.195E-01,2,"ESR1 (nuclear), FASN",4.309E-01,8.219E-01,1,ESR1 (nuclear),
173,CAR signaling via cross-talk / Human Version,26,1.133E-01,6.306E-01,1.204E-01,6.306E-01,2,"ESR1 (nuclear), CYP2B6",1.133E-01,7.672E-01,2,"ESR1 (nuclear), CYP2B6",
174,Role of fibroblasts and keratinocytes in the elicitation phase of allergic contact dermatitis,26,1.133E-01,6.306E-01,1.204E-01,6.306E-01,2,"IL8RA, CCR5",1.133E-01,7.672E-01,2,"IL8RA, CCR5",
175,Neurophysiological process_Dopamine D2 receptor transactivation of PDGFR in CNS,26,1.133E-01,6.306E-01,1.204E-01,6.306E-01,2,"PP2A regulatory, NR1",1.133E-01,7.672E-01,2,"PP2A regulatory, NR1",
176,Pioglitazone and Rosiglitazone in treatment of type 2 diabetes and metabolic syndrome X,26,1.133E-01,6.306E-01,1.204E-01,6.306E-01,2,"Adiponectin, ABCG1",1.133E-01,7.672E-01,2,"Adiponectin, ABCG1",
177,Glyoxylate metabolism,26,1.133E-01,6.306E-01,1.204E-01,6.306E-01,2,"AGT2, AGXT",1.133E-01,7.672E-01,2,"AGT2, AGXT",
178,microRNA in Prostate Cancer,51,1.134E-01,6.195E-01,1.134E-01,6.195E-01,3,"p27KIP1, PDCD4, Bcl-2",3.148E-01,8.219E-01,2,"PDCD4, Bcl-2",
179,Immune response_Alternative complement pathway,53,1.139E-01,6.306E-01,1.235E-01,6.306E-01,3,"FHR-5, C5L2, Clusterin",1.139E-01,7.672E-01,3,"FHR-5, C5L2, Clusterin",
180,Chemotaxis_Inhibitory action of lipoxins on IL-8- and Leukotriene B4-induced neutrophil migration,53,1.139E-01,6.306E-01,1.235E-01,6.306E-01,3,"IL8RA, PI3K reg class IB (p101), PREX1",1.139E-01,7.672E-01,3,"IL8RA, PI3K reg class IB (p101), PREX1",
181,Dysregulation of indirect glucose-induced inhibition of Glucagon secretion from alpha-cells in type 2 diabetes ,54,1.187E-01,6.306E-01,1.286E-01,6.306E-01,3,"Kir6.2, PC2, SUR1",1.187E-01,7.672E-01,3,"Kir6.2, PC2, SUR1",
182,GTP metabolism,54,1.187E-01,6.306E-01,1.286E-01,6.306E-01,3,"GUCY1B2, Guanylate cyclase beta, PDE1B",1.187E-01,7.672E-01,3,"GUCY1B2, Guanylate cyclase beta, PDE1B",
183,Impaired inhibitory action of lipoxins on ROS production in neutrophils in CF,54,1.187E-01,6.306E-01,1.286E-01,6.306E-01,3,"IL8RA, PI3K reg class IB (p101), PREX1",1.187E-01,7.672E-01,3,"IL8RA, PI3K reg class IB (p101), PREX1",
184,CAR signaling via cross-talk / Rodent version,27,1.207E-01,6.306E-01,1.282E-01,6.306E-01,2,"ESR1 (nuclear), CYP2B6",1.207E-01,7.672E-01,2,"ESR1 (nuclear), CYP2B6",
185,Glomerular filtration and renal reabsorption of bile acids / Rodent version,27,1.207E-01,6.306E-01,1.282E-01,6.306E-01,2,"ABCC11, OATP-A",1.207E-01,7.672E-01,2,"ABCC11, OATP-A",
186,Development_Generation of pancreatic beta-cells from induced pluripotent stem cells,27,1.207E-01,6.306E-01,1.282E-01,6.306E-01,2,"Nkx2.2, SOX2",1.207E-01,7.672E-01,2,"Nkx2.2, SOX2",
187,Neurophysiological process_Sweet taste signaling,27,1.207E-01,6.306E-01,1.282E-01,6.306E-01,2,"P2X2, TRPM5",1.207E-01,7.672E-01,2,"P2X2, TRPM5",
188,Epigenetic alterations in ovarian cancer,82,1.215E-01,6.306E-01,1.215E-01,6.306E-01,4,"ESR1 (nuclear), H-cadherin, p27KIP1, Gamma-synuclein",2.758E-01,8.219E-01,3,"ESR1 (nuclear), H-cadherin, Gamma-synuclein",
189,Immune response_Inhibitory PD-1 signaling in T cells,53,1.235E-01,6.306E-01,1.235E-01,6.306E-01,3,"PTEN, GATA-3, p27KIP1",6.977E-01,8.219E-01,1,GATA-3,
190,Non-genomic signaling of ESR2 (membrane) in lung cancer cells,53,1.235E-01,6.306E-01,1.235E-01,6.306E-01,3,"N-Ras, Adenylate cyclase, nAChR alpha-4",3.312E-01,8.219E-01,2,"Adenylate cyclase, nAChR alpha-4",
191,EGFR signaling pathway in lung cancer,53,1.235E-01,6.306E-01,1.235E-01,6.306E-01,3,"PTEN, Bcl-2, ErbB3",6.977E-01,8.219E-01,1,Bcl-2,
192,Cell adhesion_ECM remodeling,55,1.236E-01,6.427E-01,1.339E-01,6.427E-01,3,"IBP4, IL8RA, Collagen II",1.236E-01,7.672E-01,3,"IBP4, IL8RA, Collagen II",
193,Basophil migration in asthma,55,1.236E-01,6.427E-01,1.339E-01,6.427E-01,3,"FPRL2, IL8RA, PI3K reg class IB (p101)",1.236E-01,7.672E-01,3,"FPRL2, IL8RA, PI3K reg class IB (p101)",
194,Proteases and EGFR-induced mucin synthesis in normal and asthmatic epithelium,55,1.236E-01,6.427E-01,1.339E-01,6.427E-01,3,"Mucin 5B, Mucin 2, Mucin 5AC",1.236E-01,7.672E-01,3,"Mucin 5B, Mucin 2, Mucin 5AC",
195,Impaired inhibition of Th17 cell differentiation by IFN-beta in multiple sclerosis,28,1.282E-01,6.427E-01,1.360E-01,6.427E-01,2,"ROR-gamma, IL-30",1.282E-01,7.672E-01,2,"ROR-gamma, IL-30",
196,Role of Diethylhexyl Phthalate and Tributyltin in fat cell differentiation ,28,1.282E-01,6.427E-01,1.360E-01,6.427E-01,2,"Adiponectin, C/EBPalpha",1.282E-01,7.672E-01,2,"Adiponectin, C/EBPalpha",
197,GLP-1 in inhibition of insulin secretion in type 2 diabetes,28,1.282E-01,6.427E-01,1.360E-01,6.427E-01,2,"Kir6.2, CACNA1D",1.282E-01,7.672E-01,2,"Kir6.2, CACNA1D",
198,Neurophysiological process_Bitter taste signaling,28,1.282E-01,6.427E-01,1.360E-01,6.427E-01,2,"P2X2, TRPM5",1.282E-01,7.672E-01,2,"P2X2, TRPM5",
199,Nicotine metabolism in liver,56,1.286E-01,6.427E-01,1.392E-01,6.427E-01,3,"CYP2A6, CYP2B6, INMT",1.286E-01,7.672E-01,3,"CYP2A6, CYP2B6, INMT",
200,Immune response_IL-5 signaling via JAK/STAT,56,1.286E-01,6.427E-01,1.392E-01,6.427E-01,3,"XBP1, CISH, Bcl-2",1.286E-01,7.672E-01,3,"XBP1, CISH, Bcl-2",
201,Impaired inhibitory action of lipoxins on neutrophil migration in CF,56,1.286E-01,6.427E-01,1.392E-01,6.427E-01,3,"IL8RA, PI3K reg class IB (p101), PREX1",1.286E-01,7.672E-01,3,"IL8RA, PI3K reg class IB (p101), PREX1",
202,Regulation of AKT(PKB)/ GSK3 beta cascade in bipolar disorder,54,1.286E-01,6.306E-01,1.286E-01,6.306E-01,3,"PTEN, ESR1 (membrane), GFRalpha1",3.393E-01,8.219E-01,2,"ESR1 (membrane), GFRalpha1",
203,Pro-oncogenic action of PTHrP in breast cancer,29,1.357E-01,6.549E-01,1.440E-01,6.549E-01,2,"PTHR1, Bcl-2",1.357E-01,7.984E-01,2,"PTHR1, Bcl-2",
204,Regulation of Beta-catenin activity in colorectal cancer,56,1.392E-01,6.427E-01,1.392E-01,6.427E-01,3,"PTEN, PDCD4, Adenylate cyclase",3.556E-01,8.219E-01,2,"PDCD4, Adenylate cyclase",
205,Development_Transcription factors in segregation of hepatocytic lineage,30,1.434E-01,6.636E-01,1.520E-01,6.636E-01,2,"Alpha 1-antitrypsin, C/EBPalpha",1.434E-01,8.057E-01,2,"Alpha 1-antitrypsin, C/EBPalpha",
206,Role of prenatal nicotine exposure in apoptosis and proliferation of pancreatic beta cells,30,1.434E-01,6.636E-01,1.520E-01,6.636E-01,2,"Bcl-2, nAChR alpha-4",1.434E-01,8.057E-01,2,"Bcl-2, nAChR alpha-4",
207,Transcription_Ligand-dependent activation of the ESR1/SP pathway,30,1.434E-01,6.636E-01,1.520E-01,6.636E-01,2,"ESR1 (nuclear), Prolactin receptor",1.434E-01,8.057E-01,2,"ESR1 (nuclear), Prolactin receptor",
208,Inhibition of Ephrin receptors in colorectal cancer,30,1.434E-01,6.636E-01,1.520E-01,6.636E-01,2,"Ephrin-A receptor 7, Ephrin-A receptors",1.434E-01,8.057E-01,2,"Ephrin-A receptor 7, Ephrin-A receptors",
209,Putative pathways of Oleic acid sensing in ventromedial hypothalamus in obesity (rodent model),30,1.434E-01,6.636E-01,1.520E-01,6.636E-01,2,"Kir6.2, SUR1",1.434E-01,8.057E-01,2,"Kir6.2, SUR1",
210,Apoptosis and survival_nAChR in apoptosis inhibition and cell cycle progression,29,1.440E-01,6.549E-01,1.440E-01,6.549E-01,2,"Tuberin, nAChR alpha",4.800E-01,8.219E-01,1,nAChR alpha,
211,Development_Auditory hair cell differentiation in embryogenesis,29,1.440E-01,6.549E-01,1.440E-01,6.549E-01,2,"SOX2, p27KIP1",4.800E-01,8.219E-01,1,SOX2,
212,MicroRNAs in melanoma,57,1.445E-01,6.549E-01,1.445E-01,6.549E-01,3,"p27KIP1, MaxiK alpha subunit, N-Ras",7.239E-01,8.222E-01,1,MaxiK alpha subunit,
213,Signal transduction_MIF signaling pathway,60,1.492E-01,6.783E-01,1.611E-01,6.783E-01,3,"SFK, PI3K reg class IB (p101), Bcl-2",1.492E-01,8.057E-01,3,"SFK, PI3K reg class IB (p101), Bcl-2",
214,Development_Thyroliberin signaling,60,1.492E-01,6.783E-01,1.611E-01,6.783E-01,3,"CG alpha, Adenylate cyclase, Thyroliberin",1.492E-01,8.057E-01,3,"CG alpha, Adenylate cyclase, Thyroliberin",
215,Pro-oncogenic action of Estradiol/ Estrogen receptors in ovarian cancer,60,1.492E-01,6.783E-01,1.611E-01,6.783E-01,3,"ESR1 (nuclear), TFF1, ESR1 (membrane)",1.492E-01,8.057E-01,3,"ESR1 (nuclear), TFF1, ESR1 (membrane)",
216,Neurophysiological process_Kappa-type opioid receptor in transmission of nerve impulses,31,1.511E-01,6.783E-01,1.601E-01,6.783E-01,2,"Kir3.1, EBP50",1.511E-01,8.057E-01,2,"Kir3.1, EBP50",
217,Development_FGF and BMP signaling in early embryonic hepatogenesis,31,1.511E-01,6.783E-01,1.601E-01,6.783E-01,2,"HNF3-alpha, FGFR4",1.511E-01,8.057E-01,2,"HNF3-alpha, FGFR4",
218,Regulation of lipid metabolism_FXR-dependent negative-feedback regulation of bile acids concentration,31,1.511E-01,6.783E-01,1.601E-01,6.783E-01,2,"HNF3-alpha, CYP2B6",1.511E-01,8.057E-01,2,"HNF3-alpha, CYP2B6",
