"","Ontology","Term","Description","CP_count","CP_p","CP_p_BH","DAVID_count","DAVID_p","DAVID_p_BH","rppa_count_DAVID","rppa_count_CP","rna_count_DAVID","rna_count_CP"
"179","BP","GO:0055123","digestive system development",37,6.14495561797798e-12,2.18924285483162e-09,37,2.32724788299504e-10,1.47343912626496e-08,2,3,35,34
"180","BP","GO:0007369","gastrulation",39,1.46467028738304e-10,2.6990337985431e-08,37,1.74545926730432e-08,7.64605222025594e-07,0,3,37,36
"181","BP","GO:0061138","morphogenesis of a branching epithelium",38,1.13758734334978e-09,1.51981669071531e-07,37,4.6028728615112e-08,1.80201202470975e-06,0,2,37,36
"182","MF","GO:0008237","metallopeptidase activity",34,2.05236106251265e-09,1.61110343407243e-07,37,8.35809522456884e-08,1.31221239589863e-05,0,0,37,34
"183","BP","GO:0030595","leukocyte chemotaxis",33,1.2153115225473e-06,4.30107601092235e-05,37,3.59681874643254e-07,1.15211290309114e-05,3,3,34,30
"184","BP","GO:0051607","defense response to virus",35,3.15396023521943e-05,0.0006041133869897,37,3.62392130699662e-05,0.000714313866415739,1,2,36,33
"185","BP","GO:0016485","protein processing",46,8.61696610274413e-07,3.17579771400446e-05,37,6.96871264439426e-05,0.00125703588532144,1,2,36,44
"186","BP","GO:0031098","stress-activated protein kinase signaling cascade",39,6.07350100177768e-05,0.00105379186212662,37,0.000316456695547697,0.00472123844615269,1,0,36,39
"187","BP","GO:0051604","protein maturation",46,9.17956243014181e-05,0.00141779137649358,37,0.00108609536522079,0.0137943524543849,3,3,34,43
"188","BP","GO:0032944","regulation of mononuclear cell proliferation",32,2.14131663113903e-05,0.000443534731659185,36,2.85424173316678e-06,7.25077411434238e-05,1,1,35,31
"189","BP","GO:0043583","ear development",40,2.37480843752403e-08,1.52903328796728e-06,36,5.79826950588715e-06,0.000138194310004169,0,0,36,40
"190","BP","GO:0022617","extracellular matrix disassembly",28,2.07233277365377e-13,2.21490926848115e-10,35,1.93015951261286e-16,3.05311331771918e-14,0,1,35,27
"191","BP","GO:0048565","digestive tract development",36,2.06188901223465e-12,1.1018734881382e-09,35,3.04315642719374e-10,1.89705713360411e-08,1,2,34,34
"192","BP","GO:0050707","regulation of cytokine secretion",37,9.87171754192076e-08,5.02423414704996e-06,35,6.46123202164992e-09,3.06209451683692e-07,3,0,32,37
"193","BP","GO:0071216","cellular response to biotic stimulus",39,1.54422948973282e-08,1.07173537573145e-06,35,2.17439134994502e-07,7.34216863729209e-06,2,1,33,38
"194","BP","GO:0007160","cell-matrix adhesion",37,4.75730392577381e-07,1.95561785994887e-05,35,2.912492091419e-06,7.37562494997901e-05,3,1,32,36
"195","BP","GO:0050670","regulation of lymphocyte proliferation",31,4.84377227497264e-05,0.000871552829543899,35,6.76001818332707e-06,0.000157411093844373,0,3,35,28
"196","BP","GO:0030217","T cell differentiation",31,0.000961905088710863,0.00858167077474266,35,1.65742707009672e-05,0.000349727900945451,1,2,34,29
"197","BP","GO:0007162","negative regulation of cell adhesion",41,4.72553945245336e-06,0.00013291201491532,35,6.22405560902808e-05,0.00114573669693019,0,0,35,41
"198","BP","GO:0060828","regulation of canonical Wnt signaling pathway",40,9.33936813128568e-06,0.000228830865738959,35,0.000492951908875098,0.00691326219936894,2,2,33,38
"199","BP","GO:0002218","activation of innate immune response",39,0.000801742712275097,0.00746430845713958,35,0.000619746871133092,0.00845055379931103,3,0,32,39
"200","BP","GO:0051961","negative regulation of nervous system development",42,1.27563295800959e-05,0.000290084362876734,35,0.00216918375269488,0.0249677299118218,0,1,35,41
"201","BP","GO:0050804","modulation of chemical synaptic transmission",49,0.000110851839867925,0.00161414777180979,35,0.0045056727224868,0.0461236843430751,1,1,34,48
"202","CC","GO:0005581","collagen trimer",31,2.62341207707612e-14,2.64439937369273e-12,34,4.60431213135378e-13,2.58183474599605e-11,0,1,34,30
"203","BP","GO:0072006","nephron development",35,9.93439658771411e-11,2.0419005909517e-08,34,3.57203651977662e-09,1.743842275026e-07,0,1,34,34
"204","BP","GO:0043542","endothelial cell migration",44,8.39158661169934e-08,4.35384843232245e-06,34,2.35480288423183e-08,9.93922569247907e-07,0,0,34,44
"205","BP","GO:0002685","regulation of leukocyte migration",30,2.55928282459833e-05,0.00051223997807691,34,5.60160380347784e-08,2.1616833060234e-06,1,1,33,29
"206","BP","GO:0048736","appendage development",34,1.3228067406237e-07,6.42643565626643e-06,34,6.69336536261231e-07,2.0089817106439e-05,0,1,34,33
"207","BP","GO:0060173","limb development",34,1.3228067406237e-07,6.42643565626643e-06,34,6.69336536261231e-07,2.0089817106439e-05,3,2,31,32
"208","BP","GO:0048762","mesenchymal cell differentiation",41,1.02556757520273e-09,1.40529054407266e-07,34,1.99999378437719e-06,5.27932833770395e-05,0,0,34,41
"209","BP","GO:0048839","inner ear development",38,5.11626187465152e-09,4.88237561752459e-07,34,1.99999378437719e-06,5.27932833770395e-05,1,0,33,38
"210","BP","GO:0050920","regulation of chemotaxis",28,0.000120204457943004,0.0017076662521176,34,3.34804046727531e-06,8.37389793982846e-05,1,0,33,28
"211","BP","GO:0009952","anterior/posterior pattern specification",29,6.55141116127146e-05,0.00110793484955173,34,2.99254790547547e-05,0.000597160818211151,2,2,32,27
"212","BP","GO:0021537","telencephalon development",33,0.000403955925320646,0.00442364849367527,34,0.000398447971063206,0.00578154501891781,3,1,31,32
"213","BP","GO:0051403","stress-activated MAPK cascade",37,0.000161291206309907,0.00214947682423976,34,0.00107559612267903,0.0137263522625094,1,0,33,37
"214","BP","GO:0050768","negative regulation of neurogenesis",40,1.23341135343714e-05,0.000284634480867645,34,0.00115546390430012,0.0145328842535667,0,0,34,40
"215","BP","GO:0034612","response to tumor necrosis factor",36,0.000888425058520654,0.00807439372914009,34,0.00377509531177277,0.0395281562050712,1,2,33,34
"216","BP","GO:0071219","cellular response to molecule of bacterial origin",38,1.3527656761322e-09,1.72123327934535e-07,33,9.77337604665737e-08,3.6331788730859e-06,1,1,32,37
"217","MF","GO:0004866","endopeptidase inhibitor activity",27,1.22190464453168e-05,0.000399664644148903,33,1.01813660626943e-06,0.000114170288186499,0,3,33,24
"218","MF","GO:0061135","endopeptidase regulator activity",27,2.30007086925891e-05,0.000694444473987787,33,2.27982150166006e-06,0.000210526297273694,1,3,32,24
"219","MF","GO:0030414","peptidase inhibitor activity",27,3.30433427659028e-05,0.000879719053417015,33,3.35075731025181e-06,0.000276840503689146,2,0,31,27
"220","BP","GO:0070374","positive regulation of ERK1 and ERK2 cascade",29,5.9082349292519e-05,0.00103181723731772,33,4.35935642724394e-06,0.000107375090478312,1,0,32,29
"221","BP","GO:0002064","epithelial cell development",30,0.000106774482768604,0.00156329544086416,33,0.000186573572282092,0.00300171503476621,1,0,32,30
"222","BP","GO:0090092","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway",32,8.51619076983201e-05,0.00135447986529709,33,0.000204082121335016,0.00324433339799768,0,0,33,32
"223","BP","GO:0007411","axon guidance",32,4.36652384732439e-05,0.000801879843302458,33,0.000373570163804157,0.00547045009061675,3,1,30,31
"224","BP","GO:0097485","neuron projection guidance",33,2.15901368520228e-05,0.000443760351296961,33,0.000405958214296846,0.00585875823071658,0,0,33,33
"225","BP","GO:0097191","extrinsic apoptotic signaling pathway",29,0.000805430861424321,0.00747260854765898,33,0.00051854517384251,0.00722100922477564,0,1,33,28
"226","BP","GO:0050890","cognition",37,0.000364815907539889,0.00402805002044043,33,0.00311412291934632,0.0340323863375922,2,0,31,37
"227","BP","GO:0042742","defense response to bacterium",31,0.00111013455825698,0.00947693143662189,33,0.00375928475876686,0.0394164330126824,1,0,32,31
"228","BP","GO:0051271","negative regulation of cellular component movement",40,0.00248282583800001,0.0180073015880947,33,0.00375928475876686,0.0394164330126824,2,1,31,39
"229","BP","GO:0001704","formation of primary germ layer",33,3.29916545574876e-12,1.46922834962678e-09,32,8.41118533736616e-10,4.80029875848942e-08,2,0,30,33
"230","BP","GO:1903034","regulation of response to wounding",35,1.33440988139219e-08,9.58253286153907e-07,32,2.01103076470305e-07,6.87651431463543e-06,0,0,32,35
"231","BP","GO:0031348","negative regulation of defense response",37,5.23052069498996e-06,0.000142611747928706,32,7.07974421657925e-07,2.09392944340303e-05,0,1,32,36
"232","BP","GO:0050679","positive regulation of epithelial cell proliferation",34,1.32057195752438e-06,4.58255619546122e-05,32,1.1034233380097e-06,3.07285576445215e-05,0,3,32,31
"233","BP","GO:1903708","positive regulation of hemopoiesis",32,3.48305591730767e-06,0.000105160739107865,32,2.568991578008e-06,6.56733465356218e-05,2,0,30,32
"234","BP","GO:0014031","mesenchymal cell development",15,4.54637486106285e-05,0.000826388682228566,32,4.38136126977848e-06,0.000107265030725778,1,0,31,15
"235","BP","GO:0042445","hormone metabolic process",40,1.34485397570253e-08,9.58253286153907e-07,32,1.05800903052313e-05,0.000232966080411567,0,0,32,40
"236","BP","GO:0010810","regulation of cell-substrate adhesion",33,6.60457662093303e-06,0.000175596305782418,32,1.19381378420688e-05,0.000260039427337766,0,0,32,33
"237","BP","GO:0007187","G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger",28,8.8767997062101e-05,0.00139113248181779,32,5.72022656830374e-05,0.00106026228438993,0,1,32,27
"238","BP","GO:0002573","myeloid leukocyte differentiation",37,1.48527649334337e-07,7.15073655894322e-06,32,6.34487727944399e-05,0.00116268366698291,2,1,30,36
"239","BP","GO:0070302","regulation of stress-activated protein kinase signaling cascade",34,2.90457172580237e-05,0.000562392438503183,32,0.000185788229173429,0.00300700525702813,0,1,32,33
"240","BP","GO:0043270","positive regulation of ion transport",35,0.000553829545492977,0.00566985649638787,32,0.000448166416121408,0.00637528603438298,1,2,31,33
"241","BP","GO:0003007","heart morphogenesis",35,9.26055093874137e-05,0.00142617821949953,32,0.0019193189512786,0.0224398853780786,0,1,32,34
"242","BP","GO:0006959","humoral immune response",33,0.00255326188886301,0.0184386912622756,32,0.00328373671610028,0.0353795083616395,1,2,31,31
"243","MF","GO:0005201","extracellular matrix structural constituent",63,2.88343553068519e-30,2.26349689158788e-27,31,7.61729511863007e-14,5.97866200990893e-11,0,0,31,63
"244","CC","GO:0005604","basement membrane",30,7.33715044301568e-13,6.16320637213317e-11,31,1.04297893409454e-11,5.43092903981801e-10,0,0,31,30
"245","BP","GO:0048771","tissue remodeling",34,2.41049790328824e-08,1.53353580894909e-06,31,3.50071457534512e-07,1.13026436467933e-05,0,1,31,33
"246","BP","GO:0071222","cellular response to lipopolysaccharide",36,5.28249401781889e-09,4.95256983003932e-07,31,4.11793968739963e-07,1.29850480261595e-05,1,1,30,35
"247","BP","GO:1904018","positive regulation of vasculature development",40,6.15174334516131e-08,3.32669319980164e-06,31,4.11793968739963e-07,1.29850480261595e-05,0,1,31,39
"248","BP","GO:0035108","limb morphogenesis",31,6.22509955052702e-08,3.32669319980164e-06,31,9.02019612364065e-07,2.59215442978133e-05,0,1,31,30
"249","BP","GO:0035107","appendage morphogenesis",31,6.22509955052702e-08,3.32669319980164e-06,31,9.02019612364065e-07,2.59215442978133e-05,2,4,29,27
"250","BP","GO:0033002","muscle cell proliferation",38,3.12963957735106e-06,9.50272380759323e-05,31,2.18216751540451e-06,5.68610998720187e-05,0,2,31,36
"251","BP","GO:0003018","vascular process in circulatory system",27,3.22909599502827e-05,0.000616296035622538,31,3.80755162622172e-06,9.49384380539708e-05,0,2,31,25
"252","BP","GO:0042098","T cell proliferation",28,8.8767997062101e-05,0.00139113248181779,31,2.50340590728104e-05,0.000509615213022729,1,2,30,26
"253","BP","GO:0060348","bone development",30,5.93005427151181e-05,0.00103225439827228,31,4.9055908549396e-05,0.00093719931420444,0,1,31,29
"254","BP","GO:0030178","negative regulation of Wnt signaling pathway",32,1.7317973435118e-05,0.000377743877703145,31,0.000349308120677979,0.00516265584688214,0,0,31,32
"255","BP","GO:0032872","regulation of stress-activated MAPK cascade",33,5.74875115819012e-05,0.00100725659637272,31,0.000381451456583755,0.00556545217408555,1,0,30,33
"256","BP","GO:0050730","regulation of peptidyl-tyrosine phosphorylation",34,0.000124355564386434,0.00175344626934328,31,0.000949620737606616,0.0122629441513975,1,1,30,33
"257","BP","GO:0050714","positive regulation of protein secretion",34,0.000442398407421355,0.00469082755805501,31,0.000949620737606616,0.0122629441513975,1,4,30,30
"258","BP","GO:0071559","response to transforming growth factor beta",37,7.89465831917327e-06,0.000201628621684392,31,0.00102669851513698,0.0131683233816301,0,0,31,37
"259","BP","GO:0072593","reactive oxygen species metabolic process",34,0.000900393730078588,0.00814163129194581,31,0.00161381364989722,0.0193747378648352,1,0,30,34
"260","BP","GO:0050808","synapse organization",42,0.00764564672401589,0.042384166071723,31,0.00323779258125996,0.0350787158539985,0,1,31,41
"261","BP","GO:0030574","collagen catabolic process",15,8.81319661583098e-09,7.2458034946155e-07,30,6.89976204247916e-16,8.30446822419617e-14,0,1,30,14
"262","BP","GO:0048706","embryonic skeletal system development",28,1.32231167766505e-08,9.58253286153907e-07,30,3.4529764249999e-08,1.39218417760656e-06,0,4,30,24
"263","BP","GO:0048754","branching morphogenesis of an epithelial tube",31,4.42621744735203e-08,2.54340925146766e-06,30,1.80779782327822e-06,4.81909664186153e-05,0,1,30,30
"264","BP","GO:0097529","myeloid leukocyte migration",30,2.95500560955042e-06,9.07560343530887e-05,30,6.46031365773124e-06,0.000152181881359015,2,0,28,30
"265","BP","GO:0050866","negative regulation of cell activation",29,0.00010814086567843,0.00157897482564353,30,1.40796114549483e-05,0.000302611961025101,1,1,29,28
"266","MF","GO:0008083","growth factor activity",28,4.71199849186036e-06,0.00016082255722219,30,1.45172940480498e-05,0.000843803689762557,2,2,28,26
"267","BP","GO:0010632","regulation of epithelial cell migration",40,2.9858258985684e-05,0.000576038036171463,30,3.27871152397898e-05,0.000647865990186069,0,2,30,38
"268","BP","GO:0034329","cell junction assembly",31,0.000150871552851911,0.00205154600112115,30,0.00029086027331726,0.00439680007685672,1,0,29,31
"269","BP","GO:0051048","negative regulation of secretion",34,3.5226416079251e-05,0.000660526201850939,30,0.000418324949058243,0.00602600329019443,0,0,30,34
"270","BP","GO:0071560","cellular response to transforming growth factor beta stimulus",35,2.60750913949738e-05,0.000519945106025149,30,0.00180273851407923,0.0213674903352061,0,0,30,35
"271","BP","GO:2000146","negative regulation of cell motility",38,0.00328978948995033,0.0224816304786375,30,0.00363728964619107,0.0384078685527185,1,0,29,38
"272","MF","GO:0004222","metalloendopeptidase activity",27,6.24093687231377e-11,8.16522574127719e-09,29,8.30052485160478e-09,1.62897667654871e-06,1,0,28,27
"273","BP","GO:0035113","embryonic appendage morphogenesis",29,1.32693646911645e-08,9.58253286153907e-07,29,3.88751992860605e-07,1.2403256788307e-05,0,0,29,29
"274","BP","GO:0061041","regulation of wound healing",32,4.71308611600796e-09,4.57940585526301e-07,29,3.88751992860605e-07,1.2403256788307e-05,0,0,29,32
"275","BP","GO:0030326","embryonic limb morphogenesis",29,1.32693646911645e-08,9.58253286153907e-07,29,3.88751992860605e-07,1.2403256788307e-05,3,1,26,28
"276","BP","GO:0045619","regulation of lymphocyte differentiation",25,0.000363354839195287,0.00402805002044043,29,3.11011213758227e-06,7.82714333936729e-05,0,2,29,23
"277","BP","GO:0048738","cardiac muscle tissue development",34,1.76656665335793e-05,0.000382479952539182,29,0.000500985111790887,0.00701341980132053,2,2,27,32
"278","BP","GO:0009743","response to carbohydrate",32,0.00018925927676947,0.00240237903813789,29,0.00107953835588676,0.0137546930080712,1,0,28,32
"279","BP","GO:0090257","regulation of muscle system process",31,0.0023340773730162,0.0171542080820966,29,0.00148395117937465,0.0179883871859391,0,2,29,29
"280","BP","GO:0060541","respiratory system development",29,9.80252889980849e-05,0.00147263810027847,29,0.00160344687589021,0.0193372598383534,0,2,29,27
"281","BP","GO:0008406","gonad development",27,0.00275902925187494,0.0195084635178994,29,0.0026962157915463,0.0300546409813068,1,0,28,27
"282","BP","GO:0030336","negative regulation of cell migration",37,0.00258764637886555,0.0185148246947746,29,0.00310615207107404,0.0339924054340307,0,0,29,37
"283","BP","GO:0045137","development of primary sexual characteristics",27,0.00412816926535619,0.0270354614633131,29,0.00381960977641817,0.0399342069525039,0,0,29,27
"284","BP","GO:0002062","chondrocyte differentiation",25,2.23180448690463e-08,1.45448331439248e-06,28,4.7043519039034e-10,2.80323991797005e-08,0,0,28,25
"285","BP","GO:0022612","gland morphogenesis",29,1.96561666975877e-09,2.24190920307046e-07,28,8.80200601529276e-08,3.28715864650331e-06,1,2,27,27
"286","MF","GO:0019838","growth factor binding",29,6.59096429812357e-09,4.70355179457e-07,28,4.98336095777672e-07,6.01818709393687e-05,1,0,27,29
"287","BP","GO:0045766","positive regulation of angiogenesis",36,1.31936718480422e-07,6.42643565626643e-06,28,1.12973050298391e-06,3.13534165814477e-05,0,2,28,34
"288","BP","GO:0072073","kidney epithelium development",28,8.21783669306208e-07,3.04973050609193e-05,28,1.08298594868514e-05,0.000237819024233477,1,0,27,28
"289","BP","GO:0042129","regulation of T cell proliferation",25,7.47691696311496e-05,0.00123322976082982,28,2.71481922179375e-05,0.000548507709654977,2,1,26,24
"290","BP","GO:0045444","fat cell differentiation",31,0.000326531091610617,0.00372859434522893,28,0.00260837679190537,0.0291286535961399,1,1,27,30
"291","BP","GO:0060560","developmental growth involved in morphogenesis",29,0.000870226869664108,0.00793599384212456,28,0.00428902693006857,0.0442859532036528,2,0,26,29
"292","MF","GO:0005518","collagen binding",26,5.11601580559111e-14,1.00401810184726e-11,27,2.73506405667776e-13,1.07371889157548e-10,0,1,27,25
"293","BP","GO:0050880","regulation of blood vessel size",23,6.67370710551213e-05,0.00112441210366764,27,9.16829876634353e-06,0.000206943023908668,0,1,27,22
"294","BP","GO:0035150","regulation of tube size",23,7.5588906409033e-05,0.00124291420261499,27,1.05776323567357e-05,0.000233546527539152,0,0,27,23
"295","BP","GO:0048592","eye morphogenesis",27,5.45474664623489e-06,0.000147970386180098,27,4.01583787251897e-05,0.000780151245484029,3,2,24,25
"296","BP","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",20,0.00113068519635544,0.00962162689382719,27,0.000145667401335393,0.00243121424948922,0,0,27,20
"297","BP","GO:0034341","response to interferon-gamma",32,5.54638060282727e-07,2.22750660341182e-05,27,0.000180859844833898,0.00293320623410276,1,0,26,32
"298","BP","GO:0046661","male sex differentiation",25,0.000221221248453755,0.0027302687107087,27,0.000180859844833898,0.00293320623410276,1,0,26,25
"299","BP","GO:0007584","response to nutrient",33,2.15901368520228e-05,0.000443760351296961,27,0.000370867341328888,0.00545066618088386,1,0,26,33
"300","MF","GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific",32,0.000291855317609637,0.00558796156886744,27,0.000713808360333883,0.0221720902435399,1,0,26,32
"301","BP","GO:0030323","respiratory tube development",27,8.80087219664293e-05,0.00139113248181779,27,0.00121554839769916,0.0151656794785803,1,0,26,27
"302","BP","GO:0048015","phosphatidylinositol-mediated signaling",22,0.00305892918341009,0.0210656154074015,27,0.00214769690766824,0.0247583612148208,1,0,26,22
"303","BP","GO:0048017","inositol lipid-mediated signaling",22,0.00386497176674456,0.0254992705203493,27,0.00270404128315319,0.0300993195041795,1,0,26,22
"304","BP","GO:0061326","renal tubule development",26,2.27274695234234e-09,2.53032494027448e-07,26,3.1456058003129e-08,1.28747340288893e-06,0,0,26,26
"305","BP","GO:0045667","regulation of osteoblast differentiation",27,2.8748939320913e-07,1.26970522091702e-05,26,7.18101111741893e-07,2.11615706343649e-05,0,0,26,27
"306","BP","GO:0032355","response to estradiol",25,6.35508269188918e-06,0.000169807809527279,26,5.53712540265225e-06,0.000133940248597142,0,0,26,25
"307","BP","GO:0002526","acute inflammatory response",26,0.00786273267801708,0.0434973534485748,26,2.73104924802755e-05,0.000550413773578451,0,2,26,24
"308","CC","GO:0030666","endocytic vesicle membrane",27,2.19292256726467e-05,0.000496008779396689,26,0.000214856969199675,0.00434186781760426,0,0,26,27
"309","BP","GO:0002221","pattern recognition receptor signaling pathway",28,0.000402891984996481,0.00442364849367527,26,0.000325811446785476,0.00483379537196871,0,0,26,28
"310","BP","GO:0050954","sensory perception of mechanical stimulus",26,8.63931436550849e-05,0.00136998504359873,26,0.000399479961901709,0.00578612103045129,0,1,26,25
"311","MF","GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",22,0.000496842548867337,0.00817704163344722,26,0.000499248823828589,0.0176607423566538,0,0,26,22
"312","BP","GO:0002699","positive regulation of immune effector process",27,0.001051889247789,0.00905200666696367,26,0.000715281336962868,0.00949202228728918,1,0,25,27
"313","BP","GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway",25,0.000270733169185332,0.00321510679139203,26,0.000860592860344408,0.011244643423806,1,0,25,25
"314","BP","GO:0090090","negative regulation of canonical Wnt signaling pathway",28,3.76683913771976e-05,0.000703845746572531,26,0.000942405994090033,0.0121897174750397,0,1,26,27
"315","BP","GO:1901654","response to ketone",27,0.000700011585960253,0.00678922307689944,26,0.00134075511664651,0.0165377522870827,2,1,24,26
"316","BP","GO:0006022","aminoglycan metabolic process",24,0.000653219223434379,0.00650056523283673,26,0.00146048128106838,0.0178127241641416,0,0,26,24
"317","BP","GO:0030324","lung development",26,0.000147157787145705,0.00200888144765657,26,0.00187635834933487,0.0220380037725556,3,0,23,26
"318","CC","GO:0098802","plasma membrane receptor complex",24,0.000293004816403891,0.00447498265053216,26,0.00201740362008848,0.027394614505841,0,0,26,24
"319","BP","GO:0048704","embryonic skeletal system morphogenesis",23,2.91948764989122e-08,1.79330367827801e-06,25,1.10240732431113e-07,4.00622939600304e-06,0,0,25,23
"320","BP","GO:0097530","granulocyte migration",22,1.37255415685351e-06,4.73221252530655e-05,25,3.07420739448416e-06,7.7608873072621e-05,1,2,24,20
"321","BP","GO:0072009","nephron epithelium development",26,5.48307094171073e-08,3.05224282421897e-06,25,3.07420739448416e-06,7.7608873072621e-05,2,0,23,26
"322","BP","GO:0042476","odontogenesis",27,2.8748939320913e-07,1.26970522091702e-05,25,5.97544358746234e-06,0.000141999123955849,0,1,25,26
"323","BP","GO:0050729","positive regulation of inflammatory response",28,2.68529162818378e-06,8.34313864012449e-05,25,8.21261390740912e-06,0.00018693560514349,1,0,24,28
"324","BP","GO:0050680","negative regulation of epithelial cell proliferation",27,1.76782463093521e-05,0.000382479952539182,25,8.21261390740912e-06,0.00018693560514349,0,2,25,25
"325","BP","GO:0030879","mammary gland development",23,0.000154295467572654,0.00208220954219258,25,6.01623105260416e-05,0.00111255423960643,1,0,24,23
"326","BP","GO:1902107","positive regulation of leukocyte differentiation",24,0.000142420561805007,0.00196158629455144,25,7.75971947876735e-05,0.00138727539940153,0,0,25,24
"327","BP","GO:0031214","biomineral tissue development",25,0.000145573322291579,0.00199985561523445,25,8.79032293528372e-05,0.00155086388305525,0,0,25,25
"328","BP","GO:0070665","positive regulation of leukocyte proliferation",21,0.000679076342637617,0.00662223353112304,25,0.000142422642275874,0.00238202477235083,0,0,25,21
"329","BP","GO:0002695","negative regulation of leukocyte activation",24,0.000858143631329705,0.00783917874500161,25,0.000251484693903041,0.00389715311063399,0,0,25,24
"330","BP","GO:0071773","cellular response to BMP stimulus",22,0.00090469667070268,0.008152949423668,25,0.000312520316325704,0.00467123770776801,0,0,25,22
"331","BP","GO:0071772","response to BMP",22,0.00090469667070268,0.008152949423668,25,0.000312520316325704,0.00467123770776801,0,1,25,21
"332","CC","GO:0031225","anchored component of membrane",25,0.000127358173560502,0.00224371906910325,25,0.000643330355887493,0.0113771931869617,1,0,24,25
"333","BP","GO:0030168","platelet activation",24,0.000244157114764149,0.0029320800478643,25,0.00112948423697046,0.0142524944352413,0,1,25,23
"334","BP","GO:0050731","positive regulation of peptidyl-tyrosine phosphorylation",27,0.000263884965757925,0.00315456724629498,25,0.00161064543409199,0.0193657069781829,0,0,25,27
"335","BP","GO:0071229","cellular response to acid chemical",33,7.39225189497827e-06,0.000191876774152944,25,0.00225762054961774,0.025682127887244,2,0,23,33
"336","BP","GO:1903531","negative regulation of secretion by cell",30,0.000117381166408399,0.0016772324954184,25,0.00336567289833526,0.0360562473773796,1,0,24,30
"337","BP","GO:0060538","skeletal muscle organ development",23,0.00178237661159203,0.0139458574119294,25,0.00489970817899696,0.0493813335943896,2,0,23,23
"338","BP","GO:0072080","nephron tubule development",24,3.25694909167495e-08,1.97785635748988e-06,24,3.02473807215633e-07,9.88401609014478e-06,1,1,23,23
"339","BP","GO:0060993","kidney morphogenesis",24,6.41743873450403e-08,3.39552401952372e-06,24,5.70291820153555e-07,1.75060824786355e-05,1,0,23,24
"340","MF","GO:0005178","integrin binding",31,1.27166605749613e-10,1.42608265019209e-08,24,2.99994775587619e-06,0.000261628271658432,1,0,23,31
"341","BP","GO:0010594","regulation of endothelial cell migration",32,8.51619076983201e-05,0.00135447986529709,24,1.42434412397873e-05,0.00030532287648366,0,0,24,32
"342","BP","GO:0050921","positive regulation of chemotaxis",19,0.00271985275839268,0.0193540521183095,24,3.99199516718722e-05,0.000777384568864226,1,2,23,17
"343","BP","GO:0050777","negative regulation of immune response",24,0.000101384222323419,0.00150918463536588,24,6.01888793101418e-05,0.0011105113028923,1,1,23,23
"344","BP","GO:0035270","endocrine system development",20,0.000605376172198471,0.00608107192524179,24,0.000186796991116584,0.00299935051421385,0,1,24,19
"345","BP","GO:0032946","positive regulation of mononuclear cell proliferation",20,0.000750087561592532,0.00713250521201155,24,0.000186796991116584,0.00299935051421385,0,1,24,19
"346","BP","GO:0008584","male gonad development",23,0.000122395902886609,0.00173038017202655,24,0.000264349956761112,0.00405735430395238,1,0,23,23
"347","BP","GO:0046546","development of primary male sexual characteristics",23,0.000137527512442815,0.00191876427732604,24,0.000264349956761112,0.00405735430395238,0,0,24,23
"348","BP","GO:0006937","regulation of muscle contraction",22,0.00449527085592,0.0284292632592147,24,0.00135379319117736,0.0166466955938699,1,1,23,21
"349","BP","GO:0031960","response to corticosteroid",25,0.000104954443321988,0.0015536746402014,24,0.0017730416890174,0.0211114778365836,0,0,24,25
"350","BP","GO:0010952","positive regulation of peptidase activity",25,0.000983517073936702,0.00870184642900288,24,0.00211026670163459,0.0243663427286333,1,0,23,25
"351","BP","GO:2001236","regulation of extrinsic apoptotic signaling pathway",21,0.00273659114760262,0.0194472647510484,24,0.00250051136113576,0.0282115059961254,0,3,24,18
"352","BP","GO:0030203","glycosaminoglycan metabolic process",24,0.000492293307783537,0.00510837948892276,24,0.00346616173660894,0.0369196256664301,0,2,24,22
"353","MF","GO:0004867","serine-type endopeptidase inhibitor activity",18,3.84636398840366e-06,0.000143780749090327,23,1.22166146776651e-06,0.000127859137055153,0,0,23,18
"354","BP","GO:0071621","granulocyte chemotaxis",20,9.16652480538077e-07,3.33237473196972e-05,23,5.61469508920539e-06,0.000134611106986982,2,0,21,20
"355","BP","GO:0010634","positive regulation of epithelial cell migration",29,1.23568861454516e-05,0.000284634480867645,23,1.11314770258037e-05,0.000243781069492743,1,0,22,29
"356","BP","GO:0002687","positive regulation of leukocyte migration",19,0.00139182730272401,0.0114087042463474,23,2.87291251369209e-05,0.000574709296356724,2,0,21,19
"357","BP","GO:0048660","regulation of smooth muscle cell proliferation",30,3.83307702757361e-06,0.000111325889322573,23,5.15595343807382e-05,0.000973533358195389,3,2,20,28
"358","BP","GO:0045580","regulation of T cell differentiation",19,0.00632761436867034,0.0371999683016219,23,5.15595343807382e-05,0.000973533358195389,2,0,21,19
"359","BP","GO:0071346","cellular response to interferon-gamma",28,3.09005431362624e-06,9.4361430011535e-05,23,0.000434917427225934,0.00620915451773085,0,1,23,27
