Enrichment analysis report,,,,,,,,,,,,
Enrichment by Pathway Maps,,,,,untransformed_FC,,,,rna_untransformed_FC,,,
#,Maps,Total,min(pValue),Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",p-value,FDR,In Data,"Network Objects from
Active Data"
142,Immune response_Lysophosphatidic acid signaling via NF-kB,52,1.25E-05,1.28E-04,1.25E-05,1.28E-04,16,"COX-2 (PTGS2), PKD, CCL20, RelA (p65 NF-kB subunit), PKC, LPAR1, ICAM1, CCL2, IL-8, ERK1/2, MMP-2, IL-6, NF-kB, GRO-3, A20, MMP-9",3.64E-05,5.81E-04,15,"COX-2 (PTGS2), PKD, CCL20, RelA (p65 NF-kB subunit), PKC, LPAR1, ICAM1, CCL2, IL-8, MMP-2, IL-6, NF-kB, GRO-3, A20, MMP-9"
143,IGF signaling in HCC,52,1.25E-05,1.28E-04,1.25E-05,1.28E-04,16,"HGF, PI3K cat class IA, Amphiregulin, PKC, IRS-2, EGFR, ERK1/2, MMP-2, TGF-alpha, SOS, AKT(PKB), PDK (PDPK1), HGF receptor (Met), Jagged1, MMP-9, IBP3",1.50E-04,1.75E-03,14,"HGF, PI3K cat class IA, Amphiregulin, PKC, IRS-2, EGFR, MMP-2, TGF-alpha, SOS, AKT(PKB), HGF receptor (Met), Jagged1, MMP-9, IBP3"
144,Immune response_Histamine H1 receptor signaling in immune response,47,1.43E-05,1.45E-04,1.43E-05,1.45E-04,15,"Histamine H1 receptor, RelA (p65 NF-kB subunit), MMP-13, iNOS, ICAM1, PKC-alpha, IL-8, cPLA2, IL-6, ERK2 (MAPK1), G-protein alpha-q/11, Tissue factor, ERK1 (MAPK3), MMP-9, IP3 receptor",1.91E-04,2.09E-03,13,"Histamine H1 receptor, RelA (p65 NF-kB subunit), MMP-13, iNOS, ICAM1, PKC-alpha, IL-8, cPLA2, IL-6, G-protein alpha-q/11, Tissue factor, MMP-9, IP3 receptor"
145,Development_Positive regulation of WNT/Beta-catenin signaling at the receptor level,64,1.47E-05,1.48E-04,1.47E-05,1.48E-04,18,"Biglycan, RECK, CD44, LGR6, Tcf(Lef), WNT7A, WNT, EGFR, ERK1/2, R-spondins, WLS, LGR5, SFRP1, Caveolin-1, GPR124, WNT5B, Dsh, Frizzled",1.35E-04,1.60E-03,16,"Biglycan, RECK, CD44, LGR6, Tcf(Lef), WNT7A, WNT, EGFR, R-spondins, WLS, LGR5, SFRP1, Caveolin-1, GPR124, WNT5B, Frizzled"
146,"Signal transduction_Angiotensin II/AGTR1 signaling via Notch, Beta-catenin and NF-kB pathways",76,1.49E-05,1.50E-04,1.49E-05,1.50E-04,20,"RelA (p65 NF-kB subunit), PKC, HES5, CCL2, IL-8, TCF7L2 (TCF4), ERK1/2, MMP-2, IL-6, Beta-catenin, ACTA2, SNAIL1, NF-kB, TRPC6, CTGF, ERK2 (MAPK1), AKT(PKB), PDK (PDPK1), Fibronectin, MMP-9",2.95E-03,1.56E-02,15,"RelA (p65 NF-kB subunit), PKC, HES5, CCL2, IL-8, TCF7L2 (TCF4), MMP-2, IL-6, ACTA2, NF-kB, TRPC6, CTGF, AKT(PKB), Fibronectin, MMP-9"
147,Growth factors in regulation of oligodendrocyte precursor cells survival in multiple sclerosis,42,1.57E-05,1.56E-04,1.57E-05,1.56E-04,14,"BAD, NGF, NGFR(TNFRSF16), PI3K cat class IA, RelA (p65 NF-kB subunit), Neuregulin 1, Lyn, Bcl-2, ErbB3, Fyn, PDGF-R-alpha, AKT(PKB), PDK (PDPK1), IBP",9.73E-04,6.42E-03,11,"NGF, NGFR(TNFRSF16), PI3K cat class IA, RelA (p65 NF-kB subunit), Neuregulin 1, Lyn, Bcl-2, Fyn, PDGF-R-alpha, AKT(PKB), IBP"
148,Th1 and Th17 cells in an autoimmune mechanism of emphysema formation in smokers,28,1.59E-05,2.07E-04,2.20E-05,2.07E-04,11,"MHC class II, CCL20, IP10, ROR-alpha, CD44, Alpha 1-antitrypsin, Elastin, ROR-gamma, MMP-12, CCR5, MMP-9",1.59E-05,3.56E-04,11,"MHC class II, CCL20, IP10, ROR-alpha, CD44, Alpha 1-antitrypsin, Elastin, ROR-gamma, MMP-12, CCR5, MMP-9"
149,Immune response_HMGB1/RAGE signaling pathway,53,1.64E-05,1.61E-04,1.64E-05,1.61E-04,16,"IL-1 beta, Chromogranin A, PI3K cat class IA, iNOS, ICAM1, PLAT (TPA), IL-8, TLR4, ERK1/2, MEF2C, IL-6, NF-kB, AKT(PKB), Tissue factor, Secretogranin II, TLR2",4.66E-05,6.74E-04,15,"IL-1 beta, Chromogranin A, PI3K cat class IA, iNOS, ICAM1, PLAT (TPA), IL-8, TLR4, MEF2C, IL-6, NF-kB, AKT(PKB), Tissue factor, Secretogranin II, TLR2"
150,Interaction of deficient alpha-MSH signaling with TNF-alpha in melanoma,33,1.66E-05,2.14E-04,2.35E-05,2.14E-04,12,"COX-2 (PTGS2), N-cadherin, ITGB1, RelA (p65 NF-kB subunit), ICAM1, SLUG, SIP1 (ZFHX1B), NF-kB, alpha-MSH, Fibronectin, Vimentin, MMP-9",1.66E-05,3.59E-04,12,"COX-2 (PTGS2), N-cadherin, ITGB1, RelA (p65 NF-kB subunit), ICAM1, SLUG, SIP1 (ZFHX1B), NF-kB, alpha-MSH, Fibronectin, Vimentin, MMP-9"
151,"Immune response_T cell co-signaling receptors, schema",55,1.79E-05,2.50E-04,2.75E-05,2.50E-04,16,"MHC class II, PD-L2, CD30(TNFRSF8), CD70(TNFSF7), GITRL, Nectin-3, CD137 ligand(TNFSF9), Collagen II, DPP4, Collagen V, CD137(TNFRSF9), LIGHT(TNFSF14), Collagen VI, Galectin-9, PD-L1, Collagen III",1.79E-05,3.83E-04,16,"MHC class II, PD-L2, CD30(TNFRSF8), CD70(TNFSF7), GITRL, Nectin-3, CD137 ligand(TNFSF9), Collagen II, DPP4, Collagen V, CD137(TNFRSF9), LIGHT(TNFSF14), Collagen VI, Galectin-9, PD-L1, Collagen III"
152,Role of alpha-V/ beta-6 integrin in colorectal cancer,23,1.82E-05,1.77E-04,1.82E-05,1.77E-04,10,"PKC, ETS1, Bcl-2, ERK1/2, MMP-2, ERK2 (MAPK1), Collagen IV, Fibronectin, MMP-9, PLAU (UPA)",6.21E-04,4.76E-03,8,"PKC, ETS1, Bcl-2, MMP-2, Collagen IV, Fibronectin, MMP-9, PLAU (UPA)"
153,Signal transduction_PDGF signaling via MAPK cascades,65,1.86E-05,1.80E-04,1.86E-05,1.80E-04,18,"COX-2 (PTGS2), MMP-13, Fra-1, ERK1/2, MMP-2, PDGF-C, IL-6, PDGFR-ab, TRPC6, PDGF-R-alpha, ERK2 (MAPK1), SOS1, PDGF receptor, Tissue factor, p27KIP1, MMP-9, Phox1 (PRRX1), PDGF-R-beta",5.51E-04,4.43E-03,15,"COX-2 (PTGS2), MMP-13, Fra-1, MMP-2, PDGF-C, IL-6, PDGFR-ab, TRPC6, PDGF-R-alpha, SOS1, PDGF receptor, Tissue factor, MMP-9, Phox1 (PRRX1), PDGF-R-beta"
154,Release of pro-inflammatory factors and proteases by alveolar macrophages in asthma,44,1.94E-05,2.53E-04,2.86E-05,2.53E-04,14,"GRO-2, IL-1 beta, GRO-1, iNOS, IL-30, IP10, CCL2, IL-8, TLR4, SP-D, IL-6, NF-kB, MMP-9, TLR2",1.94E-05,4.08E-04,14,"GRO-2, IL-1 beta, GRO-1, iNOS, IL-30, IP10, CCL2, IL-8, TLR4, SP-D, IL-6, NF-kB, MMP-9, TLR2"
155,DKK1 signaling in multiple myeloma,19,2.07E-05,1.99E-04,2.07E-05,1.99E-04,9,"RelA (p65 NF-kB subunit), Tcf(Lef), ALPL, IL-6, Beta-catenin, Osteoprotegerin, Dsh, BMP2, Frizzled",9.23E-04,6.32E-03,7,"RelA (p65 NF-kB subunit), Tcf(Lef), ALPL, IL-6, Osteoprotegerin, BMP2, Frizzled"
156,Prostaglandins and leukotrienes-mediated induction of expression of mucins in normal and asthmatic epithelium ,43,2.13E-05,2.03E-04,2.13E-05,2.03E-04,14,"PGE2R2, PGE2R4, PKC-alpha, Mucin 2, EGFR, Mucin 5AC, G-protein alpha-i family, Adenylate cyclase, ERK1/2, PGF2aR, Mucin 5B, NF-kB, G-protein alpha-q/11, IP3 receptor",6.99E-05,9.44E-04,13,"PGE2R2, PGE2R4, PKC-alpha, Mucin 2, EGFR, Mucin 5AC, G-protein alpha-i family, Adenylate cyclase, PGF2aR, Mucin 5B, NF-kB, G-protein alpha-q/11, IP3 receptor"
157,Immune response_Lectin induced complement pathway,50,2.17E-05,2.79E-04,3.26E-05,2.79E-04,15,"MBL2, C4a, C1 inhibitor, C6, C3, Factor I, C3b, C3c, C4b, Clusterin, C7, iC3b, C3dg, C3a, C4",2.17E-05,4.45E-04,15,"MBL2, C4a, C1 inhibitor, C6, C3, Factor I, C3b, C3c, C4b, Clusterin, C7, iC3b, C3dg, C3a, C4"
158,HGF signaling in pancreatic cancer,28,2.20E-05,2.07E-04,2.20E-05,2.07E-04,11,"HGF, PI3K cat class IA, Neuropilin-1, ERK1/2, MMP-2, SOS, p53, HGF receptor (Met), p27KIP1, MMP-9, PLAU (UPA)",2.62E-03,1.40E-02,8,"HGF, PI3K cat class IA, Neuropilin-1, MMP-2, SOS, HGF receptor (Met), MMP-9, PLAU (UPA)"
159,Role of Th17 cells in asthma,28,2.20E-05,2.07E-04,2.20E-05,2.07E-04,11,"GRO-2, GRO-1, ICAM1, IL-8, EGFR, MRLC, ALOX5, ERK1/2, Myosin II, NF-kB, GRO-3",5.54E-04,4.43E-03,9,"GRO-2, GRO-1, ICAM1, IL-8, EGFR, MRLC, ALOX5, NF-kB, GRO-3"
160,Pro-oncogenic action of Estradiol/ Estrogen receptors in ovarian cancer,60,2.28E-05,2.12E-04,2.28E-05,2.12E-04,17,"STAT3, BETA-IG-H3, PI3K cat class IA, RelA (p65 NF-kB subunit), ESR1 (nuclear), CD44, Fra-1, Cyclin E, EGFR, ESR1 (membrane), ERK2 (MAPK1), AKT(PKB), TFF1, Fibronectin, MMP-9, PLAU (UPA), IBP3",2.17E-04,2.32E-03,15,"BETA-IG-H3, PI3K cat class IA, RelA (p65 NF-kB subunit), ESR1 (nuclear), CD44, Fra-1, Cyclin E, EGFR, ESR1 (membrane), AKT(PKB), TFF1, Fibronectin, MMP-9, PLAU (UPA), IBP3"
161,Development_Self-renewal and pluripotency maintenance of human embryonic stem cells,33,2.35E-05,2.14E-04,2.35E-05,2.14E-04,12,"p14ARF, Oct-3/4, SOX2, CGB3, CDX2, BMP4, CG alpha, LIN-28, FGF2, p53, PBX1, PAX6",9.39E-05,1.19E-03,11,"p14ARF, Oct-3/4, SOX2, CGB3, CDX2, BMP4, CG alpha, LIN-28, FGF2, PBX1, PAX6"
162,SHH signaling in melanoma,33,2.35E-05,2.14E-04,2.35E-05,2.14E-04,12,"N-cadherin, PTCH1, SLUG, N-Ras, MMP-2, GLI-1, SMAD3, PDGF-R-alpha, PDK (PDPK1), Vimentin, MMP-9, GLI-2",2.05E-03,1.15E-02,9,"N-cadherin, PTCH1, SLUG, MMP-2, GLI-1, PDGF-R-alpha, Vimentin, MMP-9, GLI-2"
163,Development_Role of cell-cell and ECM-cell interactions in oligodendrocyte differentiation and myelination,34,2.35E-05,2.80E-04,3.32E-05,2.80E-04,12,"ITGB1, Myelin basic protein, Claudin-11, NGFR(TNFRSF16), Caspr1, Tetraspanin-2, NCAM1, Connexin 26, Connexin 32, Connexin 30, Fyn, Connexin 45",2.35E-05,4.56E-04,12,"ITGB1, Myelin basic protein, Claudin-11, NGFR(TNFRSF16), Caspr1, Tetraspanin-2, NCAM1, Connexin 26, Connexin 32, Connexin 30, Fyn, Connexin 45"
164,IGF signaling in lung cancer,44,2.86E-05,2.53E-04,2.86E-05,2.53E-04,14,"BAD, Tuberin, PI3K cat class IA, IRS-2, ERK1/2, MMP-2, SOS, AKT(PKB), IBP4, PDK (PDPK1), MMP-9, IBP, PLAU (UPA), IBP3",5.04E-03,2.31E-02,10,"PI3K cat class IA, IRS-2, MMP-2, SOS, AKT(PKB), IBP4, MMP-9, IBP, PLAU (UPA), IBP3"
165,Development_Ligand-independent activation of ESR1 and ESR2,44,2.86E-05,2.53E-04,2.86E-05,2.53E-04,14,"PI3K cat class IA, Adenylate cyclase type V, ESR1 (nuclear), Neuregulin 1, EGFR, ERK1/2, ErbB3, SOS, ERK2 (MAPK1), AKT(PKB), Caveolin-1, TFF1, PDK (PDPK1), ERK1 (MAPK3)",1.53E-02,5.25E-02,9,"PI3K cat class IA, Adenylate cyclase type V, ESR1 (nuclear), Neuregulin 1, EGFR, SOS, AKT(PKB), Caveolin-1, TFF1"
166,Transition of HCC cells to invasive and migratory phenotype,44,2.86E-05,2.53E-04,2.86E-05,2.53E-04,14,"N-cadherin, PI3K cat class IA, SIP1 (ZFHX1B), MMP-14, MMP-2, Beta-catenin, Matrilysin (MMP-7), SNAIL1, AKT(PKB), Caspase-8, p53, PDK (PDPK1), Vimentin, MMP-9",1.53E-02,5.25E-02,9,"N-cadherin, PI3K cat class IA, SIP1 (ZFHX1B), MMP-14, MMP-2, Matrilysin (MMP-7), AKT(PKB), Vimentin, MMP-9"
167,"Role of microRNAs in cell migration, survival and angiogenesis in colorectal cancer",67,2.92E-05,2.57E-04,2.92E-05,2.57E-04,18,"COX-2 (PTGS2), PGE2R4, PTEN, Fra-1, UFO, PDCD4, TGF-beta receptor type II, Neuropilin-1, Bcl-2, MMP-2, Clusterin, CTGF, AKT(PKB), SPRY2, p53, HGF receptor (Met), RhoB, MMP-9",2.40E-04,2.48E-03,16,"COX-2 (PTGS2), PGE2R4, Fra-1, UFO, PDCD4, TGF-beta receptor type II, Neuropilin-1, Bcl-2, MMP-2, Clusterin, CTGF, AKT(PKB), SPRY2, HGF receptor (Met), RhoB, MMP-9"
168,Role of tumor microenvironment in plexiform neurofibroma formation in neurofibromatosis type 1,39,3.15E-05,2.71E-04,3.15E-05,2.71E-04,13,"NGF, PI3K cat class IA, alpha-4/beta-1 integrin, ERK1/2, MMP-2, FGF2, Rac2, SOS, AKT(PKB), Tryptase, PDK (PDPK1), Fibronectin, PDGF-R-beta",4.90E-04,4.06E-03,11,"NGF, PI3K cat class IA, alpha-4/beta-1 integrin, MMP-2, FGF2, Rac2, SOS, AKT(PKB), Tryptase, Fibronectin, PDGF-R-beta"
169,HGF signaling in melanoma,39,3.15E-05,2.71E-04,3.15E-05,2.71E-04,13,"HGF, N-cadherin, PI3K cat class IA, CD44, PKC-alpha, SLUG, N-Ras, ERK1/2, Beta-catenin, AKT(PKB), alpha-MSH, HGF receptor (Met), Fibronectin",1.95E-03,1.11E-02,10,"HGF, N-cadherin, PI3K cat class IA, CD44, PKC-alpha, SLUG, AKT(PKB), alpha-MSH, HGF receptor (Met), Fibronectin"
170,Cell cycle progression in Prostate Cancer,39,3.15E-05,2.71E-04,3.15E-05,2.71E-04,13,"STAT3, Androgen receptor, Tuberin, Tcf(Lef), WNT, ERK1/2, IL-6, Beta-catenin, AKT(PKB), p27KIP1, Frizzled, Prolactin receptor, CDK6",2.14E-02,6.53E-02,8,"Androgen receptor, Tcf(Lef), WNT, IL-6, AKT(PKB), Frizzled, Prolactin receptor, CDK6"
171,Immune response_TSLP signalling,39,3.15E-05,2.71E-04,3.15E-05,2.71E-04,13,"STAT3, PI3K cat class IA, IL7RA, CISH, STAT4, CCL2, IL-8, Bcl-2, ERK1/2, IL-6, NF-kB, AKT(PKB), PDK (PDPK1)",1.95E-03,1.11E-02,10,"PI3K cat class IA, IL7RA, CISH, STAT4, CCL2, IL-8, Bcl-2, IL-6, NF-kB, AKT(PKB)"
172,Langerhans cell migration to lymph nodes in allergic contact dermatitis,35,3.28E-05,3.71E-04,4.62E-05,3.71E-04,12,"IL-1 beta, Laminin 5, TNF-R2, CCL20, alpha-4/beta-1 integrin, ICAM1, CD44, GITRL, Collagen IV, Fibronectin, MMP-9, MDR1",3.28E-05,5.73E-04,12,"IL-1 beta, Laminin 5, TNF-R2, CCL20, alpha-4/beta-1 integrin, ICAM1, CD44, GITRL, Collagen IV, Fibronectin, MMP-9, MDR1"
173,Apoptosis and survival_Role of CDK5 in neuronal death and survival,34,3.32E-05,2.80E-04,3.32E-05,2.80E-04,12,"BAD, NGF, NGFR(TNFRSF16), PI3K cat class IA, Neuregulin 1, Bcl-2, ERK1/2, ErbB3, SOS, AKT(PKB), p53, PDK (PDPK1)",2.99E-02,8.48E-02,7,"NGF, NGFR(TNFRSF16), PI3K cat class IA, Neuregulin 1, Bcl-2, SOS, AKT(PKB)"
174,Signal transduction_Adenosine A1 receptor signaling pathway,62,3.63E-05,3.03E-04,3.63E-05,3.03E-04,17,"BAD, STAT3, G-protein alpha-15, PKC, PKC-alpha, EGFR, G-protein alpha-i family, Adenylate cyclase, ERK1/2, MMP-2, ADA, NF-kB, AKT(PKB), G-protein alpha-q/11, PDK (PDPK1), SFK, IP3 receptor",3.16E-03,1.65E-02,13,"G-protein alpha-15, PKC, PKC-alpha, EGFR, G-protein alpha-i family, Adenylate cyclase, MMP-2, ADA, NF-kB, AKT(PKB), G-protein alpha-q/11, SFK, IP3 receptor"
175,Glucocorticoid-induced elevation of intraocular pressure as glaucoma risk factor,62,3.63E-05,3.03E-04,3.63E-05,3.03E-04,17,"COX-2 (PTGS2), ITGB1, Laminin 5, PI3K cat class IA, COL4A1, PLAT (TPA), ITGB3, Elastin, EGFR, MMP-2, Actin cytoskeletal, LAMB3, Collagen IV, HGF receptor (Met), Fibronectin, LAMA1, MLCK",8.98E-05,1.18E-03,16,"COX-2 (PTGS2), ITGB1, Laminin 5, PI3K cat class IA, COL4A1, PLAT (TPA), ITGB3, Elastin, EGFR, MMP-2, LAMB3, Collagen IV, HGF receptor (Met), Fibronectin, LAMA1, MLCK"
176,Influence of bone marrow cell environment on progression of multiple myeloma,52,3.64E-05,4.18E-04,5.43E-05,4.18E-04,15,"HGF, IL-1 beta, ITGB1, PI3K cat class IA, alpha-4/beta-1 integrin, PTCH1, CD44, PKC-alpha, IL-6, alpha-5/beta-1 integrin, FGF2, HGF receptor (Met), Fibronectin, PI3K reg class IB (p101), IP3 receptor",3.64E-05,5.81E-04,15,"HGF, IL-1 beta, ITGB1, PI3K cat class IA, alpha-4/beta-1 integrin, PTCH1, CD44, PKC-alpha, IL-6, alpha-5/beta-1 integrin, FGF2, HGF receptor (Met), Fibronectin, PI3K reg class IB (p101), IP3 receptor"
177,Development_Endothelial differentiation during embryonic development,51,4.23E-05,3.51E-04,4.23E-05,3.51E-04,15,"TIE2, PI3K cat class IA, PKC, ETS1, WNT, BMP4, SOX18, Neuropilin-1, ERK1/2, Angiopoietin 1, FOXC2, Beta-catenin, AKT(PKB), FOXC1, GLI-2",4.60E-04,4.02E-03,13,"TIE2, PI3K cat class IA, PKC, ETS1, WNT, BMP4, SOX18, Neuropilin-1, Angiopoietin 1, FOXC2, AKT(PKB), FOXC1, GLI-2"
178,IL-6 signaling in Prostate Cancer,40,4.27E-05,3.53E-04,4.27E-05,3.53E-04,13,"STAT3, Androgen receptor, BMX, PI3K cat class IA, PTEN, IL-6, SOS, ERK2 (MAPK1), AKT(PKB), PDK (PDPK1), p27KIP1, Pim-1, Kallikrein 3 (PSA)",2.47E-02,7.23E-02,8,"Androgen receptor, BMX, PI3K cat class IA, IL-6, SOS, AKT(PKB), Pim-1, Kallikrein 3 (PSA)"
179,Renal tubulointerstitial injury in Lupus Nephritis ,65,4.54E-05,5.01E-04,7.00E-05,5.01E-04,17,"IL-1 beta, TNF-R2, MHC class II, RelA (p65 NF-kB subunit), alpha-4/beta-1 integrin, ICAM1, CD44, CCL2, CMKLR1, IL-8, IL-6, CCR5, CSF1, Fibronectin, Vimentin, PLAU (UPA), Collagen III",4.54E-05,6.74E-04,17,"IL-1 beta, TNF-R2, MHC class II, RelA (p65 NF-kB subunit), alpha-4/beta-1 integrin, ICAM1, CD44, CCL2, CMKLR1, IL-8, IL-6, CCR5, CSF1, Fibronectin, Vimentin, PLAU (UPA), Collagen III"
180,Role of osteoblasts in bone lesions formation in multiple myeloma,35,4.62E-05,3.71E-04,4.62E-05,3.71E-04,12,"HGF, RUNX2, alpha-4/beta-1 integrin, WNT, ALPL, Beta-catenin, TAZ, CCR5, Osteoprotegerin, TCF7 (TCF1), BMP2, Frizzled",1.71E-04,1.94E-03,11,"HGF, RUNX2, alpha-4/beta-1 integrin, WNT, ALPL, TAZ, CCR5, Osteoprotegerin, TCF7 (TCF1), BMP2, Frizzled"
181,Pro-oncogenic action of Androgen receptor in breast cancer,35,4.62E-05,3.71E-04,4.62E-05,3.71E-04,12,"Androgen receptor, PIP, AKR1C3, RUNX2, ERK1/2, ErbB3, Beta-catenin, SGK1, FASN, HNF3-alpha, TCF8, Kallikrein 3 (PSA)",1.13E-02,4.22E-02,8,"Androgen receptor, PIP, AKR1C3, RUNX2, SGK1, HNF3-alpha, TCF8, Kallikrein 3 (PSA)"
182,Mechanisms of CAM-DR in multiple myeloma,35,4.62E-05,3.71E-04,4.62E-05,3.71E-04,12,"STAT3, ITGB1, c-IAP2, alpha-4/beta-1 integrin, ICAM1, Cyclin E, WNT3, alpha-5/beta-1 integrin, Fibronectin, p27KIP1, Dsh, Frizzled",3.18E-03,1.65E-02,9,"ITGB1, c-IAP2, alpha-4/beta-1 integrin, ICAM1, Cyclin E, WNT3, alpha-5/beta-1 integrin, Fibronectin, Frizzled"
183,Extracellular matrix-regulated proliferation of airway smooth muscle cells in asthma,35,4.62E-05,3.71E-04,4.62E-05,3.71E-04,12,"PI3K cat class IA, alpha-4/beta-1 integrin, TGF-beta receptor type II, EGFR, ERK1/2, alpha-5/beta-1 integrin, SMAD3, CTGF, Collagen IV, Fibronectin, LAMA1, Collagen III",7.87E-04,5.69E-03,10,"PI3K cat class IA, alpha-4/beta-1 integrin, TGF-beta receptor type II, EGFR, alpha-5/beta-1 integrin, CTGF, Collagen IV, Fibronectin, LAMA1, Collagen III"
184,Immune response_Alternative complement pathway,53,4.66E-05,5.00E-04,6.93E-05,5.00E-04,15,"PTX3, C5L2, FHR-1, C6, C3, Factor I, C3b, C3c, Clusterin, C7, Factor H, iC3b, C3dg, FHR-5, C3a",4.66E-05,6.74E-04,15,"PTX3, C5L2, FHR-1, C6, C3, Factor I, C3b, C3c, Clusterin, C7, Factor H, iC3b, C3dg, FHR-5, C3a"
185,Inhibition of Ephrin receptors in colorectal cancer,30,4.70E-05,3.73E-04,4.70E-05,3.73E-04,11,"Ephrin-A receptor 7, WNT, Ephrin-B receptor 2, TCF7L2 (TCF4), Beta-catenin, Ephrin-A receptors, SMAD3, Ephrin-B receptor 1, Ephrin-B receptors, Ephrin-A receptor 2, Frizzled",9.73E-04,6.42E-03,9,"Ephrin-A receptor 7, WNT, Ephrin-B receptor 2, TCF7L2 (TCF4), Ephrin-A receptors, Ephrin-B receptor 1, Ephrin-B receptors, Ephrin-A receptor 2, Frizzled"
186,Development_Transcription factors in segregation of hepatocytic lineage,30,4.70E-05,3.73E-04,4.70E-05,3.73E-04,11,"p14ARF, Activin A, Alpha 1-antitrypsin, A2M, TGF-beta receptor type II, Activin, Follistatin, Beta-catenin, HGF receptor (Met), p16INK4, C/EBPalpha",1.95E-04,2.12E-03,10,"p14ARF, Activin A, Alpha 1-antitrypsin, A2M, TGF-beta receptor type II, Activin, Follistatin, HGF receptor (Met), p16INK4, C/EBPalpha"
187,Epigenetic alterations in ovarian cancer,82,4.94E-05,3.87E-04,4.94E-05,3.87E-04,20,"GSTP1, N-cadherin, Maspin, HOXA10, Gamma-synuclein, ESR1 (nuclear), AL1A1, MMP-2, p15, H-cadherin, SNAIL1, GLI-1, p16INK4, p27KIP1, DACT3, Ephrin-A receptor 2, MMP-9, GLI-2, CYP11A1, CDK6",3.11E-04,2.97E-03,18,"GSTP1, N-cadherin, Maspin, HOXA10, Gamma-synuclein, ESR1 (nuclear), AL1A1, MMP-2, p15, H-cadherin, GLI-1, p16INK4, DACT3, Ephrin-A receptor 2, MMP-9, GLI-2, CYP11A1, CDK6"
188,Neurophysiological process_Receptor-mediated axon growth repulsion,46,4.99E-05,3.87E-04,4.99E-05,3.87E-04,14,"RHO6, Plexin A2, Semaphorin 3A, EGFR, F-Actin cytoskeleton, Neuropilin-1, Actin cytoskeletal, Fyn, Ephrin-A receptors, CRMP2, Tau (MAPT), c-Fes, Pleiotrophin (OSF1), Ephrin-A receptor 2",6.02E-04,4.74E-03,12,"RHO6, Plexin A2, Semaphorin 3A, EGFR, Neuropilin-1, Fyn, Ephrin-A receptors, CRMP2, Tau (MAPT), c-Fes, Pleiotrophin (OSF1), Ephrin-A receptor 2"
189,Signal transduction_PTEN pathway,46,4.99E-05,3.87E-04,4.99E-05,3.87E-04,14,"BAD, PCNA, Tuberin, PI3K cat class IA, PTEN, Tcf(Lef), EGFR, ERK1/2, Beta-catenin, alpha-5/beta-1 integrin, SOS, AKT(PKB), p53, PDK (PDPK1)",2.33E-01,3.74E-01,6,"PI3K cat class IA, Tcf(Lef), EGFR, alpha-5/beta-1 integrin, SOS, AKT(PKB)"
190,FGF signaling in pancreatic cancer,46,4.99E-05,3.87E-04,4.99E-05,3.87E-04,14,"PI3K cat class IA, Heparanase 1, PLAT (TPA), ERK1/2, MMP-14, Beta-catenin, HBP17, FGF2, SOS, NF-kB, AKT(PKB), PDK (PDPK1), MMP-9, PLAU (UPA)",2.17E-03,1.21E-02,11,"PI3K cat class IA, Heparanase 1, PLAT (TPA), MMP-14, HBP17, FGF2, SOS, NF-kB, AKT(PKB), MMP-9, PLAU (UPA)"
191,Th2 cytokine- and TNF-alpha-induced profibrotic response in asthmatic airway fibroblasts/ myofibroblasts,52,5.43E-05,4.18E-04,5.43E-05,4.18E-04,15,"COX-2 (PTGS2), IL-1 beta, NGF, Biglycan, ETS1, ERK1/2, MMP-2, BDKRB1, ACTA2, NF-kB, SMAD3, PDGF-R-alpha, AKT(PKB), MMP-9, Collagen III",5.64E-04,4.48E-03,13,"COX-2 (PTGS2), IL-1 beta, NGF, Biglycan, ETS1, MMP-2, BDKRB1, ACTA2, NF-kB, PDGF-R-alpha, AKT(PKB), MMP-9, Collagen III"
192,Putative role of Estrogen receptor and Androgen receptor signaling in progression of lung cancer,58,5.64E-05,4.27E-04,5.64E-05,4.27E-04,16,"BAD, Androgen receptor, Tuberin, CYP1A1, ESR1 (nuclear), EGFR, G-protein alpha-i family, Bcl-2, ERK1/2, CYP19, ESR1 (membrane), SOS, ERK2 (MAPK1), Caveolin-1, ERK1 (MAPK3), Kallikrein 3 (PSA)",1.37E-02,4.85E-02,11,"Androgen receptor, CYP1A1, ESR1 (nuclear), EGFR, G-protein alpha-i family, Bcl-2, CYP19, ESR1 (membrane), SOS, Caveolin-1, Kallikrein 3 (PSA)"
193,Role of integrins in eosinophil degranulation in asthma,58,5.64E-05,4.27E-04,5.64E-05,4.27E-04,16,"Galectin-3, PI3K cat class IA, PKC, CCL13, Eotaxin-2, alpha-4/beta-1 integrin, ICAM1, C3b, G-protein alpha-i family, SP-D, ERK1/2, ERK2 (MAPK1), Fc gamma RII alpha, PRG2, Fibronectin, CCL7",5.15E-04,4.24E-03,14,"Galectin-3, PI3K cat class IA, PKC, CCL13, Eotaxin-2, alpha-4/beta-1 integrin, ICAM1, C3b, G-protein alpha-i family, SP-D, Fc gamma RII alpha, PRG2, Fibronectin, CCL7"
