Enrichment analysis report,,,,,,,,,,,,,
Enrichment by Pathway Maps,,,,,down_genes_int_061520_genelist,,,,down_genes_rna_061620_genelist,,,,
#,Maps,Total,min(pValue),Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",p-value,FDR,In Data,"Network Objects from
Active Data",
141,Inflammatory response in ischemia-reperfusion injury during myocardial infarction,21,1.937E-05,2.358E-04,2.468E-05,2.358E-04,8,"IL-1 beta, IL-6, ICAM1, CCL2, C3a, IL-8, TLR4, TLR2",1.937E-05,3.156E-04,8,"IL-1 beta, IL-6, ICAM1, CCL2, C3a, IL-8, TLR4, TLR2",
142,Cell adhesion_PLAU signaling,39,2.041E-05,2.049E-04,2.041E-05,2.049E-04,11,"HGF, PAI2, PLAUR (uPAR), PI3K cat class IA, AKT(PKB), SERPINE2, PLAT (TPA), HGF receptor (Met), EGFR, PLAU (UPA), ERK1/2",8.951E-05,1.042E-03,10,"HGF, PAI2, PLAUR (uPAR), PI3K cat class IA, AKT(PKB), SERPINE2, PLAT (TPA), HGF receptor (Met), EGFR, PLAU (UPA)",
143,FGF2 signaling in melanoma,39,2.041E-05,2.049E-04,2.041E-05,2.049E-04,11,"STAT3, PI3K cat class IA, FGF2, Heparanase 1, Caveolin-1, Collagen IV, SPRY2, Fra-1, Fibronectin, ERK1/2, MMP-2",4.731E-04,3.858E-03,9,"PI3K cat class IA, FGF2, Heparanase 1, Caveolin-1, Collagen IV, SPRY2, Fra-1, Fibronectin, MMP-2",
144,Neurophysiological process_Receptor-mediated axon growth repulsion,46,2.062E-05,2.054E-04,2.062E-05,2.054E-04,12,"Actin cytoskeletal, Fyn, Ephrin-A receptors, CRMP2, c-Fes, Plexin A2, Semaphorin 3A, EGFR, Pleiotrophin (OSF1), Ephrin-A receptor 2, F-Actin cytoskeleton, Neuropilin-1",3.883E-04,3.265E-03,10,"Fyn, Ephrin-A receptors, CRMP2, c-Fes, Plexin A2, Semaphorin 3A, EGFR, Pleiotrophin (OSF1), Ephrin-A receptor 2, Neuropilin-1",
145,"IGF family, invasion and metastasis in colorectal cancer",33,2.435E-05,2.343E-04,2.435E-05,2.343E-04,10,"Beta-catenin, ITGB1, PLAUR (uPAR), PI3K cat class IA, alpha-1/beta-1 integrin, Collagen IV, IBP6, PLAT (TPA), Fibronectin, PLAU (UPA)",1.200E-04,1.318E-03,9,"ITGB1, PLAUR (uPAR), PI3K cat class IA, alpha-1/beta-1 integrin, Collagen IV, IBP6, PLAT (TPA), Fibronectin, PLAU (UPA)",
146,Development_EGF-induced proliferation of Type C cells in SVZ of adult brain,33,2.435E-05,2.343E-04,2.435E-05,2.343E-04,10,"Fyn, PI3K cat class IA, TGF-alpha, DLX2, GLI-1, AKT(PKB), PTCH1, EGFR, ERK1/2, GLI-2",1.200E-04,1.318E-03,9,"Fyn, PI3K cat class IA, TGF-alpha, DLX2, GLI-1, AKT(PKB), PTCH1, EGFR, GLI-2",
147,SHH signaling in melanoma,33,2.435E-05,2.343E-04,2.435E-05,2.343E-04,10,"N-cadherin, GLI-1, SMAD3, PDGF-R-alpha, PTCH1, Vimentin, SLUG, MMP-9, GLI-2, MMP-2",1.200E-04,1.318E-03,9,"N-cadherin, GLI-1, PDGF-R-alpha, PTCH1, Vimentin, SLUG, MMP-9, GLI-2, MMP-2",
148,Pro-tumoral TNF-alpha signaling in melanoma,41,2.514E-05,3.101E-04,3.424E-05,3.101E-04,11,"ITGB1, TNF-R2, alpha-5/beta-1 integrin, PI3K cat class IA, AKT(PKB), ITGA4, alpha-4/beta-1 integrin, Fibronectin, IL-8, MMP-9, MMP-2",2.514E-05,3.973E-04,11,"ITGB1, TNF-R2, alpha-5/beta-1 integrin, PI3K cat class IA, AKT(PKB), ITGA4, alpha-4/beta-1 integrin, Fibronectin, IL-8, MMP-9, MMP-2",
149,Signal transduction_Adenosine A1 receptor signaling pathway,62,2.567E-05,2.436E-04,2.567E-05,2.436E-04,14,"BAD, STAT3, G-protein alpha-15, PKC, AKT(PKB), G-protein alpha-q/11, PKC-alpha, SFK, EGFR, G-protein alpha-i family, Adenylate cyclase, ERK1/2, MMP-2, ADA",1.244E-03,8.141E-03,11,"G-protein alpha-15, PKC, AKT(PKB), G-protein alpha-q/11, PKC-alpha, SFK, EGFR, G-protein alpha-i family, Adenylate cyclase, MMP-2, ADA",
150,Immune response_Histamine H1 receptor signaling in immune response,47,2.611E-05,2.444E-04,2.611E-05,2.444E-04,12,"Histamine H1 receptor, IL-6, MMP-13, iNOS, ERK2 (MAPK1), G-protein alpha-q/11, Tissue factor, ICAM1, PKC-alpha, IL-8, cPLA2, MMP-9",9.884E-05,1.122E-03,11,"Histamine H1 receptor, IL-6, MMP-13, iNOS, G-protein alpha-q/11, Tissue factor, ICAM1, PKC-alpha, IL-8, cPLA2, MMP-9",
151,CHDI_Correlations from Replication data_Causal network (negative correlations),40,2.656E-05,2.470E-04,2.656E-05,2.470E-04,11,"Beta-catenin, PLAUR (uPAR), PKC, AKT(PKB), Collagen IV, Fibronectin, Dsh, WNT, PLAU (UPA), Frizzled, ACM3",5.777E-04,4.467E-03,9,"PLAUR (uPAR), PKC, AKT(PKB), Collagen IV, Fibronectin, WNT, PLAU (UPA), Frizzled, ACM3",
152,Immune response_IL-18 signaling,63,3.111E-05,2.874E-04,3.111E-05,2.874E-04,14,"COX-2 (PTGS2), IL-1 beta, IL-6, IL-18R1, PI3K cat class IA, iNOS, AKT(PKB), ICAM1, CCL2, Fibronectin, IL-8, MMP-9, IL18RAP, ERK1/2",9.540E-05,1.092E-03,13,"COX-2 (PTGS2), IL-1 beta, IL-6, IL-18R1, PI3K cat class IA, iNOS, AKT(PKB), ICAM1, CCL2, Fibronectin, IL-8, MMP-9, IL18RAP",
153,Neuroendocrine transdifferentiation in Prostate Cancer,48,3.282E-05,2.993E-04,3.282E-05,2.993E-04,12,"STAT3, IL-6, Beta-catenin, BMX, PTHrP, ERK2 (MAPK1), AKT(PKB), Oct-3/4, Tcf(Lef), IL-8, EGFR, NT",2.282E-03,1.238E-02,9,"IL-6, BMX, PTHrP, AKT(PKB), Oct-3/4, Tcf(Lef), IL-8, EGFR, NT",
154,K-RAS signaling in lung cancer,48,3.282E-05,2.993E-04,3.282E-05,2.993E-04,12,"COX-2 (PTGS2), GRO-2, Beta-catenin, PA24A, GRO-1, AKT(PKB), SPRY2, CCL2, EGFR, MMP-9, ERK1/2, ENA-78",5.575E-04,4.389E-03,10,"COX-2 (PTGS2), GRO-2, PA24A, GRO-1, AKT(PKB), SPRY2, CCL2, EGFR, MMP-9, ENA-78",
155,Impaired inhibitory action of lipoxins on neutrophil migration in CF,56,3.638E-05,3.219E-04,3.638E-05,3.219E-04,13,"Myosin II, Actin cytoskeletal, Rac2, AKT(PKB), ITGB2, ICAM1, MELC, MYLK1, IL-8, G-protein alpha-i family, MLCK, MRLC, ERK1/2",1.947E-03,1.098E-02,10,"Rac2, AKT(PKB), ITGB2, ICAM1, MELC, MYLK1, IL-8, G-protein alpha-i family, MLCK, MRLC",
156,TLR and EGFR-induced inflammatory signaling in normal and asthmatic airway epithelium,22,3.663E-05,3.219E-04,3.663E-05,3.219E-04,8,"TGF-alpha, TLR3, IL-8, TLR6, EGFR, MMP-9, TLR2, ERK1/2",2.421E-04,2.346E-03,7,"TGF-alpha, TLR3, IL-8, TLR6, EGFR, MMP-9, TLR2",
157,Origin of Langerhans cells in the steady-state and under inflammatory conditions,22,3.663E-05,3.219E-04,3.663E-05,3.219E-04,8,"IL-1 beta, CCL20, SMAD3, CSF1, RUNX3, CCL2, IL-34, TGF-beta receptor type II",2.421E-04,2.346E-03,7,"IL-1 beta, CCL20, CSF1, RUNX3, CCL2, IL-34, TGF-beta receptor type II",
158,Rho-dependent regulation of normal and asthmatic smooth muscle contraction,28,3.692E-05,3.219E-04,3.692E-05,3.219E-04,9,"Histamine H1 receptor, Myosin II, CPI-17, PKC, G-protein alpha-q/11, G-protein alpha-i family, MRLC, EDNRA, ACM3",2.014E-04,2.032E-03,8,"Histamine H1 receptor, CPI-17, PKC, G-protein alpha-q/11, G-protein alpha-i family, MRLC, EDNRA, ACM3",
159,HGF signaling in pancreatic cancer,28,3.692E-05,3.219E-04,3.692E-05,3.219E-04,9,"HGF, PI3K cat class IA, p53, HGF receptor (Met), MMP-9, PLAU (UPA), Neuropilin-1, ERK1/2, MMP-2",1.217E-03,8.084E-03,7,"HGF, PI3K cat class IA, HGF receptor (Met), MMP-9, PLAU (UPA), Neuropilin-1, MMP-2",
160,Development_Astrocyte differentiation (general schema),28,3.692E-05,3.219E-04,3.692E-05,3.219E-04,9,"STAT3, Nestin, MCT1 (SLC16A1), CD44, Vimentin, BMP4, GLAST1/EAAT1, BMP2, LIF",2.014E-04,2.032E-03,8,"Nestin, MCT1 (SLC16A1), CD44, Vimentin, BMP4, GLAST1/EAAT1, BMP2, LIF",
161,CHDI_Correlations from Replication data_Cytoskeleton and adhesion module,64,3.752E-05,3.251E-04,3.752E-05,3.251E-04,14,"PLAUR (uPAR), Actin cytoskeletal, Fyn, MHC class II, AKT(PKB), Collagen IV, ITGB2, ICAM1, MELC, Fibronectin, MyHC, Ephrin-B receptors, PLAU (UPA), MRLC",4.500E-04,3.737E-03,12,"PLAUR (uPAR), Fyn, MHC class II, AKT(PKB), Collagen IV, ITGB2, ICAM1, MELC, Fibronectin, Ephrin-B receptors, PLAU (UPA), MRLC",
162,Immune response_M-CSF-receptor signaling pathway,81,4.086E-05,3.465E-04,4.086E-05,3.465E-04,16,"STAT3, Syk, Beta-catenin, Fyn, PI3K cat class IA, Rac2, PKC, AKT(PKB), CSF1, GRAP2, Tcf(Lef), MSR1, ETS1, IL-34, PLAU (UPA), ERK1/2",1.234E-03,8.141E-03,13,"Syk, Fyn, PI3K cat class IA, Rac2, PKC, AKT(PKB), CSF1, GRAP2, Tcf(Lef), MSR1, ETS1, IL-34, PLAU (UPA)",
163,Activation of TNF-alpha-dependent pro-tumoral effect in colorectal cancer,49,4.099E-05,3.465E-04,4.099E-05,3.465E-04,12,"COX-2 (PTGS2), PGE2R2, ALDR, IL-6, Beta-catenin, c-IAP2, GRO-1, alpha-4/beta-1 integrin, ICAM1, CCL2, IL-8, ERK1/2",6.625E-04,4.982E-03,10,"COX-2 (PTGS2), PGE2R2, ALDR, IL-6, c-IAP2, GRO-1, alpha-4/beta-1 integrin, ICAM1, CCL2, IL-8",
164,Glucocorticoids-mediated inhibition of pro-constrictory and pro-inflammatory signaling in airway smooth muscle cells,49,4.099E-05,3.465E-04,4.099E-05,3.465E-04,12,"COX-2 (PTGS2), IL-1 beta, IL-6, Myosin II, PA24A, GRO-1, Beta-2 adrenergic receptor, CPI-17, PLA2, CD38, MRLC, ERK1/2",6.625E-04,4.982E-03,10,"COX-2 (PTGS2), IL-1 beta, IL-6, PA24A, GRO-1, Beta-2 adrenergic receptor, CPI-17, PLA2, CD38, MRLC",
165,Th17 cells in CF (mouse model),49,4.099E-05,3.465E-04,4.099E-05,3.465E-04,12,"STAT3, IL-1 beta, IL-6, MHC class II, GRO-1, SMAD3, CD14, GCP2, ICAM1, TGF-beta receptor type II, TLR4, MD-2",6.625E-04,4.982E-03,10,"IL-1 beta, IL-6, MHC class II, GRO-1, CD14, GCP2, ICAM1, TGF-beta receptor type II, TLR4, MD-2",
166,CHDI_Correlations from Discovery data_Causal network,73,4.365E-05,3.668E-04,4.365E-05,3.668E-04,15,"Syk, p15, Beta-catenin, PI3K cat class IA, MEF2, SMAD3, PDGF-R-alpha, AKT(PKB), CCL2, Kir3.4, Dsh, WNT, G-protein alpha-i family, Frizzled, ERK1/2",4.722E-03,2.108E-02,11,"Syk, p15, PI3K cat class IA, MEF2, PDGF-R-alpha, AKT(PKB), CCL2, Kir3.4, WNT, G-protein alpha-i family, Frizzled",
167,Regulation of angiogenesis in prostate cancer,51,4.536E-05,5.028E-04,6.272E-05,5.028E-04,12,"Angiopoietin 1, COX-2 (PTGS2), TIE2, PI3K cat class IA, AKT(PKB), Collagen IV, CCL2, IL-8, TGF-beta receptor type II, EGFR, MMP-9, PLAU (UPA)",4.536E-05,5.940E-04,12,"Angiopoietin 1, COX-2 (PTGS2), TIE2, PI3K cat class IA, AKT(PKB), Collagen IV, CCL2, IL-8, TGF-beta receptor type II, EGFR, MMP-9, PLAU (UPA)",
168,Epigenetic alterations in ovarian cancer,82,4.783E-05,3.972E-04,4.783E-05,3.972E-04,16,"GSTP1, p15, N-cadherin, Maspin, HOXA10, SNAIL1, GLI-1, p16INK4, DACT3, Ephrin-A receptor 2, MMP-9, GLI-2, AL1A1, MMP-2, CYP11A1, CDK6",1.214E-04,1.323E-03,15,"GSTP1, p15, N-cadherin, Maspin, HOXA10, GLI-1, p16INK4, DACT3, Ephrin-A receptor 2, MMP-9, GLI-2, AL1A1, MMP-2, CYP11A1, CDK6",
169,Development_Negative regulation of WNT/Beta-catenin signaling in the cytoplasm,82,4.783E-05,3.972E-04,4.783E-05,3.972E-04,16,"Beta-catenin, Prickle-1, TAZ, Nucleoredoxin, PKC-alpha, p53, Tcf(Lef), Dsh, WNT, A20, DACT3, RIPK4, Frizzled, YAP1/TAZ, DACT1, CDK6",1.385E-03,8.777E-03,13,"Prickle-1, TAZ, Nucleoredoxin, PKC-alpha, Tcf(Lef), WNT, A20, DACT3, RIPK4, Frizzled, YAP1/TAZ, DACT1, CDK6",
170,Role of integrins in eosinophil degranulation in asthma,58,5.399E-05,4.456E-04,5.399E-05,4.456E-04,13,"PI3K cat class IA, PKC, ERK2 (MAPK1), Eotaxin-2, Fc gamma RII alpha, alpha-4/beta-1 integrin, ICAM1, PRG2, Fibronectin, C3b, G-protein alpha-i family, ERK1/2, CCL7",6.969E-04,5.159E-03,11,"PI3K cat class IA, PKC, Eotaxin-2, Fc gamma RII alpha, alpha-4/beta-1 integrin, ICAM1, PRG2, Fibronectin, C3b, G-protein alpha-i family, CCL7",
171,Cytoskeleton remodeling_Hyaluronic acid/ CD44 signaling pathways,43,5.546E-05,4.524E-04,5.546E-05,4.524E-04,11,"HGF, Ankyrin 1, Actin cytoskeletal, Fyn, Lck, CD44, HGF receptor (Met), MSN (moesin), Actin, MLCK, ERK1/2",4.154E-03,1.905E-02,8,"HGF, Ankyrin 1, Fyn, CD44, HGF receptor (Met), MSN (moesin), Actin, MLCK",
172,"NF-kB-, AP-1- and MAPKs-mediated proinflammatory cytokine production by eosinophils in asthma",43,5.546E-05,4.524E-04,5.546E-05,4.524E-04,11,"IL-1 beta, IL-6, ST2(L), GRO-1, ERK2 (MAPK1), PRG2, CCL2, IL-8, IL-33, ERK1/2, ENA-78",1.010E-03,6.912E-03,9,"IL-1 beta, IL-6, ST2(L), GRO-1, PRG2, CCL2, IL-8, IL-33, ENA-78",
173,Cytoskeleton remodeling_Keratin filaments,36,5.620E-05,4.558E-04,5.620E-05,4.558E-04,10,"Tubulin beta, Keratin 17, Keratin 16, Keratin 5/14, Keratin 6C, Actin cytoskeletal, Keratin 6A, Keratin 14, Vimentin, Keratin 5",2.481E-04,2.346E-03,9,"Tubulin beta, Keratin 17, Keratin 16, Keratin 5/14, Keratin 6C, Keratin 6A, Keratin 14, Vimentin, Keratin 5",
174,PI3K signaling in gastric cancer,51,6.272E-05,5.028E-04,6.272E-05,5.028E-04,12,"BAD, HGF, Beta-catenin, PI3K cat class IA, PRNP, AKT(PKB), G-protein alpha-q/11, HGF receptor (Met), IL-8, EGFR, BMP2, MDR1",9.218E-04,6.406E-03,10,"HGF, PI3K cat class IA, PRNP, AKT(PKB), G-protein alpha-q/11, HGF receptor (Met), IL-8, EGFR, BMP2, MDR1",
175,Development_Growth factors in regulation of oligodendrocyte progenitor cell proliferation,67,6.425E-05,5.122E-04,6.425E-05,5.122E-04,14,"HGF, NGF, Myelin basic protein, Fyn, PI3K cat class IA, FGF2, PKC, PDGF-R-alpha, AKT(PKB), HGF receptor (Met), Fibronectin, Lyn, EGFR, ERK1/2",1.842E-04,1.930E-03,13,"HGF, NGF, Myelin basic protein, Fyn, PI3K cat class IA, FGF2, PKC, PDGF-R-alpha, AKT(PKB), HGF receptor (Met), Fibronectin, Lyn, EGFR",
176,Role of free fatty acids in obesity and type 2 diabetes,45,6.447E-05,6.463E-04,8.709E-05,6.463E-04,11,"COX-2 (PTGS2), IL-1 beta, IL-6, PI3K cat class IA, PKC-theta, iNOS, AKT(PKB), CCL2, IFN-beta, TLR4, TLR2",6.447E-05,7.983E-04,11,"COX-2 (PTGS2), IL-1 beta, IL-6, PI3K cat class IA, PKC-theta, iNOS, AKT(PKB), CCL2, IFN-beta, TLR4, TLR2",
177,Inhibition of apoptosis in pancreatic cancer,59,6.528E-05,5.174E-04,6.528E-05,5.174E-04,13,"BAD, STAT3, COX-2 (PTGS2), IL-6, PI3K cat class IA, PKR2, AKT(PKB), p53, EGFR, G-protein alpha-i family, Neuropilin-1, ALOX5, ERK1/2",9.381E-03,3.559E-02,9,"COX-2 (PTGS2), IL-6, PI3K cat class IA, PKR2, AKT(PKB), EGFR, G-protein alpha-i family, Neuropilin-1, ALOX5",
178,Inhibition of Ephrin receptors in colorectal cancer,30,6.818E-05,5.284E-04,6.818E-05,5.284E-04,9,"Beta-catenin, Ephrin-A receptors, SMAD3, Ephrin-B receptor 1, WNT, Ephrin-B receptors, Ephrin-A receptor 2, Ephrin-B receptor 2, Frizzled",1.879E-03,1.071E-02,7,"Ephrin-A receptors, Ephrin-B receptor 1, WNT, Ephrin-B receptors, Ephrin-A receptor 2, Ephrin-B receptor 2, Frizzled",
179,Development_Transcription factors in segregation of hepatocytic lineage,30,6.818E-05,5.284E-04,6.818E-05,5.284E-04,9,"Follistatin, Beta-catenin, p14ARF, Activin A, HGF receptor (Met), p16INK4, A2M, TGF-beta receptor type II, Activin",3.400E-04,2.931E-03,8,"Follistatin, p14ARF, Activin A, HGF receptor (Met), p16INK4, A2M, TGF-beta receptor type II, Activin",
180,Development_WNT/Beta-catenin signaling in cell differentiation,30,6.818E-05,5.284E-04,6.818E-05,5.284E-04,9,"Follistatin, Beta-catenin, Tcf(Lef), WNT, SLUG, TCF7 (TCF1), CDX1, BMP2, Frizzled",3.400E-04,2.931E-03,8,"Follistatin, Tcf(Lef), WNT, SLUG, TCF7 (TCF1), CDX1, BMP2, Frizzled",
181,Activation of TGF-beta signaling in advanced colorectal cancer,30,6.818E-05,5.284E-04,6.818E-05,5.284E-04,9,"TGF-beta 2, PI3K cat class IA, SNAIL1, SMAD3, AKT(PKB), IL-8, TGF-beta receptor type II, MMP-9, IBP3",1.879E-03,1.071E-02,7,"TGF-beta 2, PI3K cat class IA, AKT(PKB), IL-8, TGF-beta receptor type II, MMP-9, IBP3",
182,Inhibition of remyelination in multiple sclerosis: regulation of cytoskeleton proteins,44,6.975E-05,5.376E-04,6.975E-05,5.376E-04,11,"Tubulin beta, Myosin II, Myelin basic protein, NGFR(TNFRSF16), TGF-beta, Actin cytoskeletal, Fyn, MELC, PKC-alpha, Fibronectin, MRLC",1.202E-03,8.062E-03,9,"Tubulin beta, Myelin basic protein, NGFR(TNFRSF16), TGF-beta, Fyn, MELC, PKC-alpha, Fibronectin, MRLC",
183,G protein-coupled receptors signaling in lung cancer,76,7.135E-05,5.469E-04,7.135E-05,5.469E-04,15,"STAT3, PGE2R4, Galpha(i)-specific peptide GPCRs, TGF-alpha, Galpha(q)-specific peptide GPCRs, AKT(PKB), G-protein alpha-q/11, CD44, IL-8, EGFR, NT, G-protein alpha-i family, EDNRA, ERK1/2, MMP-2",6.657E-04,4.982E-03,13,"PGE2R4, Galpha(i)-specific peptide GPCRs, TGF-alpha, Galpha(q)-specific peptide GPCRs, AKT(PKB), G-protein alpha-q/11, CD44, IL-8, EGFR, NT, G-protein alpha-i family, EDNRA, MMP-2",
184,Role of alveolar cell senescence in COPD,37,7.268E-05,5.540E-04,7.268E-05,5.540E-04,10,"IL-6, IGFBP7, CTGF, AKT(PKB), Caveolin-1, p53, p16INK4, IL-8, ERK1/2, IBP3",1.531E-03,9.107E-03,8,"IL-6, IGFBP7, CTGF, AKT(PKB), Caveolin-1, p16INK4, IL-8, IBP3",
185,Eosinophil adhesion and transendothelial migration in asthma,68,7.626E-05,5.782E-04,7.626E-05,5.782E-04,14,"PLAUR (uPAR), alpha-1/beta-1 integrin, PKC, Eotaxin-2, Collagen IV, alpha-4/beta-1 integrin, ICAM1, CD44, Fibronectin, C3a, MMP-9, PLAU (UPA), ERK1/2, CCL7",2.152E-04,2.146E-03,13,"PLAUR (uPAR), alpha-1/beta-1 integrin, PKC, Eotaxin-2, Collagen IV, alpha-4/beta-1 integrin, ICAM1, CD44, Fibronectin, C3a, MMP-9, PLAU (UPA), CCL7",
186,Immune response_IFN-alpha/beta signaling via PI3K and NF-kB pathways,94,7.684E-05,5.794E-04,7.684E-05,5.794E-04,17,"STAT3, PCNA, p15, IFI17, PI3K cat class IA, RSAD2, AKT(PKB), ISG15, IRS-2, PKC-alpha, p16INK4, I-TAC, Cyclin E, IFN-beta, ISG54, NMI, ERK1/2",1.713E-03,9.969E-03,14,"p15, IFI17, PI3K cat class IA, RSAD2, AKT(PKB), ISG15, IRS-2, PKC-alpha, p16INK4, I-TAC, Cyclin E, IFN-beta, ISG54, NMI",
187,Pro-oncogenic action of Estradiol/ Estrogen receptors in ovarian cancer,60,7.857E-05,5.893E-04,7.857E-05,5.893E-04,13,"STAT3, BETA-IG-H3, PI3K cat class IA, ERK2 (MAPK1), AKT(PKB), CD44, Fra-1, Fibronectin, Cyclin E, EGFR, MMP-9, PLAU (UPA), IBP3",9.379E-04,6.484E-03,11,"BETA-IG-H3, PI3K cat class IA, AKT(PKB), CD44, Fra-1, Fibronectin, Cyclin E, EGFR, MMP-9, PLAU (UPA), IBP3",
188,Immune response_IFN-alpha/beta signaling via MAPKs,77,8.351E-05,6.229E-04,8.351E-05,6.229E-04,15,"TAP1 (PSF1), Beta-catenin, Matrilysin (MMP-7), RSAD2, Lck, PKC-theta, SMAD3, AKT(PKB), ISG15, FZD7, IFN-beta, ISG54, RIG-G, ERK1/2, PL scramblase 1",7.104E-03,2.932E-02,11,"TAP1 (PSF1), Matrilysin (MMP-7), RSAD2, PKC-theta, AKT(PKB), ISG15, FZD7, IFN-beta, ISG54, RIG-G, PL scramblase 1",
189,Role of TGF-beta 1 in fibrosis development after myocardial infarction,38,9.308E-05,6.810E-04,9.308E-05,6.810E-04,10,"Biglycan, ACTA2, SMAD3, CTGF, Fibronectin, TGF-beta receptor type II, MMP-9, EDNRA, MMP-2, Collagen III",3.846E-04,3.253E-03,9,"Biglycan, ACTA2, CTGF, Fibronectin, TGF-beta receptor type II, MMP-9, EDNRA, MMP-2, Collagen III",
190,WNT signaling in invasive-type melanoma cells,38,9.308E-05,6.810E-04,9.308E-05,6.810E-04,10,"STAT3, Beta-catenin, cPKC (conventional), SFRP3 (FRZB1), SNAIL1, PKC, CD44, TLR3, Vimentin, MMP-2",7.604E-03,3.019E-02,7,"cPKC (conventional), SFRP3 (FRZB1), PKC, CD44, TLR3, Vimentin, MMP-2",
191,IL-6 signaling in breast cancer cells,53,9.373E-05,6.810E-04,9.373E-05,6.810E-04,12,"STAT3, IL-6, N-cadherin, PI3K cat class IA, SNAIL1, AKT(PKB), Jagged1, Vimentin, Carbonic anhydrase IX, MDR1, Fascin, ERK1/2",4.587E-03,2.076E-02,9,"IL-6, N-cadherin, PI3K cat class IA, AKT(PKB), Jagged1, Vimentin, Carbonic anhydrase IX, MDR1, Fascin",
192,EGFR signaling pathway in lung cancer,53,9.373E-05,6.810E-04,9.373E-05,6.810E-04,12,"STAT3, HGF, COX-2 (PTGS2), IL-6, PI3K cat class IA, TGF-alpha, AKT(PKB), HGF receptor (Met), EGFR, MMP-9, Carbonic anhydrase IX, ERK1/2",1.259E-03,8.141E-03,10,"HGF, COX-2 (PTGS2), IL-6, PI3K cat class IA, TGF-alpha, AKT(PKB), HGF receptor (Met), EGFR, MMP-9, Carbonic anhydrase IX",
193,FGF signaling in pancreatic cancer,46,1.080E-04,7.805E-04,1.080E-04,7.805E-04,11,"Beta-catenin, HBP17, PI3K cat class IA, FGF2, Heparanase 1, AKT(PKB), PLAT (TPA), MMP-9, PLAU (UPA), ERK1/2, MMP-14",1.673E-03,9.850E-03,9,"HBP17, PI3K cat class IA, FGF2, Heparanase 1, AKT(PKB), PLAT (TPA), MMP-9, PLAU (UPA), MMP-14",
194,Immune response_HSP60 and HSP70/ TLR signaling pathway,54,1.137E-04,8.089E-04,1.137E-04,8.089E-04,12,"IL-1 beta, IL-6, MHC class II, CD83, iNOS, CD14, ICAM1, IL-8, TLR4, TLR2, ERK1/2, MD-2",3.666E-04,3.140E-03,11,"IL-1 beta, IL-6, MHC class II, CD83, iNOS, CD14, ICAM1, IL-8, TLR4, TLR2, MD-2",
195,"Disruption of apoptosis, proliferation and shedding of epithelial cells in asthma",54,1.137E-04,8.089E-04,1.137E-04,8.089E-04,12,"p15, IL-1 beta, TGF-beta 2, TNF-R2, TGF-alpha, Desmocollin 3, SMAD3, ICAM1, p53, EGFR, MMP-9, ERK1/2",5.212E-03,2.275E-02,9,"p15, IL-1 beta, TGF-beta 2, TNF-R2, TGF-alpha, Desmocollin 3, ICAM1, EGFR, MMP-9",
196,Role of IL-23/ T17 pathogenic axis in psoriasis,54,1.137E-04,8.089E-04,1.137E-04,8.089E-04,12,"STAT3, IL-15, IL-1 beta, IL-6, sIL-15RA, MHC class II, IL-15RA, CCL20, AKT(PKB), IL-8, IL22RA1, ERK1/2",1.462E-03,8.968E-03,10,"IL-15, IL-1 beta, IL-6, sIL-15RA, MHC class II, IL-15RA, CCL20, AKT(PKB), IL-8, IL22RA1",
197,Role of tumor microenvironment in plexiform neurofibroma formation in neurofibromatosis type 1,39,1.181E-04,8.366E-04,1.181E-04,8.366E-04,10,"NGF, PI3K cat class IA, FGF2, Rac2, AKT(PKB), alpha-4/beta-1 integrin, Fibronectin, ERK1/2, PDGF-R-beta, MMP-2",4.731E-04,3.858E-03,9,"NGF, PI3K cat class IA, FGF2, Rac2, AKT(PKB), alpha-4/beta-1 integrin, Fibronectin, PDGF-R-beta, MMP-2",
198,Upregulation of IL-8 expression in colorectal cancer,32,1.192E-04,8.395E-04,1.192E-04,8.395E-04,9,"IL-1 beta, Beta-catenin, SNAIL1, IL-8, WNT, TGF-beta receptor type II, NT, Frizzled, WNT6",2.792E-03,1.451E-02,7,"IL-1 beta, IL-8, WNT, TGF-beta receptor type II, NT, Frizzled, WNT6",
199,The innate immune response to contact allergens,33,1.200E-04,1.043E-03,1.547E-04,1.043E-03,9,"IL-1 beta, IL-6, Biglycan, CD14, CCL2, Caspase-1, IL-8, TLR4, TLR2",1.200E-04,1.318E-03,9,"IL-1 beta, IL-6, Biglycan, CD14, CCL2, Caspase-1, IL-8, TLR4, TLR2",
200,Inhibition of neutrophil migration by proresolving lipid mediators in COPD,71,1.247E-04,8.745E-04,1.247E-04,8.745E-04,14,"IL-1 beta, TNF-R2, Actin cytoskeletal, cPKC (conventional), Rac2, PKC, ITGB2, ICAM1, MSN (moesin), ICAM2, IL-8, G-protein alpha-i family, TLR4, TLR2",3.362E-04,2.931E-03,13,"IL-1 beta, TNF-R2, cPKC (conventional), Rac2, PKC, ITGB2, ICAM1, MSN (moesin), ICAM2, IL-8, G-protein alpha-i family, TLR4, TLR2",
